month,tmk,building,building_value_bucket,sale_count,median_price,mean_price,notes
2019-01,239004082,F,588200,1,659500,659500,"grouped by TMK, building letter, assessed building-value bucket"
2019-01,239004082,I,756100,1,599999,599999,"grouped by TMK, building letter, assessed building-value bucket"
2019-02,239004082,D,637800,1,690000,690000,"grouped by TMK, building letter, assessed building-value bucket"
2019-03,239004082,G,1003400,1,675000,675000,"grouped by TMK, building letter, assessed building-value bucket"
2019-03,239004082,I,834000,1,780000,780000,"grouped by TMK, building letter, assessed building-value bucket"
2019-03,239004082,I,988500,1,820000,820000,"grouped by TMK, building letter, assessed building-value bucket"
2019-03,239004082,K,800000,1,645000,645000,"grouped by TMK, building letter, assessed building-value bucket"
2019-04,239004082,E,617500,1,535000,535000,"grouped by TMK, building letter, assessed building-value bucket"
2019-04,239004082,G,1252100,1,950000,950000,"grouped by TMK, building letter, assessed building-value bucket"
2019-04,239004144,B109,624900,1,625000,625000,"grouped by TMK, building letter, assessed building-value bucket"
2019-05,239004082,J,638300,1,610000,610000,"grouped by TMK, building letter, assessed building-value bucket"
2019-05,239004082,L,988500,1,770000,770000,"grouped by TMK, building letter, assessed building-value bucket"
2019-05,239004082,M,617500,1,510000,510000,"grouped by TMK, building letter, assessed building-value bucket"
2019-05,239004143,A114,1003400,1,700000,700000,"grouped by TMK, building letter, assessed building-value bucket"
2019-05,239004144,B208,948200,1,526000,526000,"grouped by TMK, building letter, assessed building-value bucket"
2019-06,239004082,H,638300,1,515000,515000,"grouped by TMK, building letter, assessed building-value bucket"
2019-06,239004082,I,1252100,1,680000,680000,"grouped by TMK, building letter, assessed building-value bucket"
2019-06,239004082,L,800000,1,655000,655000,"grouped by TMK, building letter, assessed building-value bucket"
2019-07,239004082,D,834000,1,680000,680000,"grouped by TMK, building letter, assessed building-value bucket"
2019-07,239004082,J,617500,1,600000,600000,"grouped by TMK, building letter, assessed building-value bucket"
2019-07,239004143,A210,1252100,1,810000,810000,"grouped by TMK, building letter, assessed building-value bucket"
2019-08,239004082,I,617500,1,645000,645000,"grouped by TMK, building letter, assessed building-value bucket"
2019-10,239004082,H,638300,1,556400,556400,"grouped by TMK, building letter, assessed building-value bucket"
2019-12,239004082,F,617500,1,608000,608000,"grouped by TMK, building letter, assessed building-value bucket"
2019-12,239004082,I,1252100,2,837250,837250,"grouped by TMK, building letter, assessed building-value bucket"
2019-12,239004082,J,899000,1,765000,765000,"grouped by TMK, building letter, assessed building-value bucket"
2019-12,239004144,B209,1066700,1,825000,825000,"grouped by TMK, building letter, assessed building-value bucket"
2020-01,239004082,M,617500,1,599999,599999,"grouped by TMK, building letter, assessed building-value bucket"
2020-02,239004082,I,617500,1,552000,552000,"grouped by TMK, building letter, assessed building-value bucket"
2020-03,239004082,E,617500,2,571700,571700,"grouped by TMK, building letter, assessed building-value bucket"
2020-03,239004082,G,1003400,1,672900,672900,"grouped by TMK, building letter, assessed building-value bucket"
2020-03,239004082,K,617500,1,560000,560000,"grouped by TMK, building letter, assessed building-value bucket"
2020-03,239004143,A114,1003400,1,671100,671100,"grouped by TMK, building letter, assessed building-value bucket"
2020-06,239004082,G,1028700,1,535000,535000,"grouped by TMK, building letter, assessed building-value bucket"
2020-07,239004144,C106,617500,1,560000,560000,"grouped by TMK, building letter, assessed building-value bucket"
2020-08,239004082,M,617500,1,500000,500000,"grouped by TMK, building letter, assessed building-value bucket"
2020-08,239004144,B201,800000,1,789000,789000,"grouped by TMK, building letter, assessed building-value bucket"
2020-09,239004082,G,1003400,1,720000,720000,"grouped by TMK, building letter, assessed building-value bucket"
2020-09,239004143,A109,1003400,1,675000,675000,"grouped by TMK, building letter, assessed building-value bucket"
2020-10,239004082,G,1252100,1,805000,805000,"grouped by TMK, building letter, assessed building-value bucket"
2020-10,239004144,B111,617500,1,560000,560000,"grouped by TMK, building letter, assessed building-value bucket"
2020-12,239004082,J,1252100,1,818000,818000,"grouped by TMK, building letter, assessed building-value bucket"
2020-12,239004143,A111,1028700,1,749400,749400,"grouped by TMK, building letter, assessed building-value bucket"
2020-12,239004144,C106,617500,1,575000,575000,"grouped by TMK, building letter, assessed building-value bucket"
2021-01,239004144,B107,617500,1,543600,543600,"grouped by TMK, building letter, assessed building-value bucket"
2021-02,239004082,I,617500,1,646350,646350,"grouped by TMK, building letter, assessed building-value bucket"
2021-02,239004082,L,988500,1,800000,800000,"grouped by TMK, building letter, assessed building-value bucket"
2021-02,239004082,M,617500,1,539000,539000,"grouped by TMK, building letter, assessed building-value bucket"
2021-03,239004082,D,800000,1,790000,790000,"grouped by TMK, building letter, assessed building-value bucket"
2021-03,239004082,I,1252100,1,840000,840000,"grouped by TMK, building letter, assessed building-value bucket"
2021-03,239004144,B107,617500,1,615000,615000,"grouped by TMK, building letter, assessed building-value bucket"
2021-03,239004144,B110,589600,1,645000,645000,"grouped by TMK, building letter, assessed building-value bucket"
2021-03,239004144,B115,617500,1,650000,650000,"grouped by TMK, building letter, assessed building-value bucket"
2021-04,239004082,D,800000,1,739900,739900,"grouped by TMK, building letter, assessed building-value bucket"
2021-04,239004082,I,617500,1,582000,582000,"grouped by TMK, building letter, assessed building-value bucket"
2021-04,239004143,A205,1395100,1,1285000,1285000,"grouped by TMK, building letter, assessed building-value bucket"
2021-05,239004082,D,617500,1,695000,695000,"grouped by TMK, building letter, assessed building-value bucket"
2021-05,239004082,E,800000,1,760000,760000,"grouped by TMK, building letter, assessed building-value bucket"
2021-05,239004082,I,638300,1,693000,693000,"grouped by TMK, building letter, assessed building-value bucket"
2021-05,239004082,I,800000,1,840000,840000,"grouped by TMK, building letter, assessed building-value bucket"
2021-05,239004082,J,899000,1,825000,825000,"grouped by TMK, building letter, assessed building-value bucket"
2021-06,239004082,M,617500,1,678000,678000,"grouped by TMK, building letter, assessed building-value bucket"
2021-07,239004082,F,800000,1,820000,820000,"grouped by TMK, building letter, assessed building-value bucket"
2021-07,239004082,I,624900,1,695000,695000,"grouped by TMK, building letter, assessed building-value bucket"
2021-07,239004082,I,800000,1,865000,865000,"grouped by TMK, building letter, assessed building-value bucket"
2021-07,239004082,M,800000,1,829000,829000,"grouped by TMK, building letter, assessed building-value bucket"
2021-07,239004143,A204,1252100,1,1100000,1100000,"grouped by TMK, building letter, assessed building-value bucket"
2021-08,239004082,D,588200,1,750000,750000,"grouped by TMK, building letter, assessed building-value bucket"
2021-10,239004082,J,1350100,1,1155000,1155000,"grouped by TMK, building letter, assessed building-value bucket"
2021-11,239004082,E,849600,1,899000,899000,"grouped by TMK, building letter, assessed building-value bucket"
2021-11,239004082,I,756100,1,829000,829000,"grouped by TMK, building letter, assessed building-value bucket"
2021-11,239004082,J,1009100,1,1095000,1095000,"grouped by TMK, building letter, assessed building-value bucket"
2021-11,239004082,M,800000,1,872000,872000,"grouped by TMK, building letter, assessed building-value bucket"
2021-12,239004082,G,1028700,1,535000,535000,"grouped by TMK, building letter, assessed building-value bucket"
2021-12,239004144,B110,589600,1,790000,790000,"grouped by TMK, building letter, assessed building-value bucket"
2022-01,239004143,A112,1127000,1,1050000,1050000,"grouped by TMK, building letter, assessed building-value bucket"
2022-02,239004082,G,1252100,1,1275000,1275000,"grouped by TMK, building letter, assessed building-value bucket"
2022-02,239004082,H,1028700,1,850000,850000,"grouped by TMK, building letter, assessed building-value bucket"
2022-02,239004082,K,800000,1,995000,995000,"grouped by TMK, building letter, assessed building-value bucket"
2022-02,239004144,B205,800000,1,1123000,1123000,"grouped by TMK, building letter, assessed building-value bucket"
2022-03,239004082,D,637800,1,1150000,1150000,"grouped by TMK, building letter, assessed building-value bucket"
2022-03,239004143,A205,1395100,1,1535000,1535000,"grouped by TMK, building letter, assessed building-value bucket"
2022-04,239004082,J,1279400,1,1472500,1472500,"grouped by TMK, building letter, assessed building-value bucket"
2022-04,239004144,B207,800000,1,1180000,1180000,"grouped by TMK, building letter, assessed building-value bucket"
2022-05,239004143,A106,1028700,1,1380000,1380000,"grouped by TMK, building letter, assessed building-value bucket"
2022-05,239004144,B208,948200,1,1300000,1300000,"grouped by TMK, building letter, assessed building-value bucket"
2022-07,239004082,J,1252100,1,1375000,1375000,"grouped by TMK, building letter, assessed building-value bucket"
2022-08,239004082,J,638300,1,1150000,1150000,"grouped by TMK, building letter, assessed building-value bucket"
2022-09,239004082,L,617500,1,950000,950000,"grouped by TMK, building letter, assessed building-value bucket"
2022-10,239004082,E,849600,1,1100000,1100000,"grouped by TMK, building letter, assessed building-value bucket"
2022-10,239004082,J,1350100,1,1479000,1479000,"grouped by TMK, building letter, assessed building-value bucket"
2022-10,239004082,L,617500,1,995000,995000,"grouped by TMK, building letter, assessed building-value bucket"
2022-12,239004082,D,800000,1,1175000,1175000,"grouped by TMK, building letter, assessed building-value bucket"
2022-12,239004144,C105,617500,1,1025000,1025000,"grouped by TMK, building letter, assessed building-value bucket"
2023-01,239004082,J,638300,1,1350000,1350000,"grouped by TMK, building letter, assessed building-value bucket"
2023-02,239004082,M,588200,1,1050000,1050000,"grouped by TMK, building letter, assessed building-value bucket"
2023-06,239004082,K,588200,1,1175000,1175000,"grouped by TMK, building letter, assessed building-value bucket"
2023-07,239004082,G,1031000,1,1425000,1425000,"grouped by TMK, building letter, assessed building-value bucket"
2023-07,239004082,M,617500,1,980000,980000,"grouped by TMK, building letter, assessed building-value bucket"
2023-07,239004082,M,800000,1,1330000,1330000,"grouped by TMK, building letter, assessed building-value bucket"
2023-08,239004082,D,637800,1,1398000,1398000,"grouped by TMK, building letter, assessed building-value bucket"
2023-09,239004082,F,617500,1,787800,787800,"grouped by TMK, building letter, assessed building-value bucket"
2023-09,239004082,F,834000,1,400000,400000,"grouped by TMK, building letter, assessed building-value bucket"
2023-09,239004082,J,1350100,1,1750000,1750000,"grouped by TMK, building letter, assessed building-value bucket"
2023-09,239004143,A212,1282000,1,1660000,1660000,"grouped by TMK, building letter, assessed building-value bucket"
2023-09,239004144,C201,834000,1,1250000,1250000,"grouped by TMK, building letter, assessed building-value bucket"
2023-12,239004144,B103,624900,2,585750,585750,"grouped by TMK, building letter, assessed building-value bucket"
2024-02,239004082,K,800000,1,1100000,1100000,"grouped by TMK, building letter, assessed building-value bucket"
2024-02,239004082,M,588200,1,985000,985000,"grouped by TMK, building letter, assessed building-value bucket"
2024-03,239004082,H,1252100,1,1575000,1575000,"grouped by TMK, building letter, assessed building-value bucket"
2024-03,239004082,I,1252100,1,1650000,1650000,"grouped by TMK, building letter, assessed building-value bucket"
2024-04,239004082,K,617500,1,850000,850000,"grouped by TMK, building letter, assessed building-value bucket"
2024-04,239004082,L,617500,1,965000,965000,"grouped by TMK, building letter, assessed building-value bucket"
2024-05,239004082,M,834000,1,1340000,1340000,"grouped by TMK, building letter, assessed building-value bucket"
2024-06,239004144,C102,764200,1,750000,750000,"grouped by TMK, building letter, assessed building-value bucket"
2024-07,239004082,L,696100,1,725000,725000,"grouped by TMK, building letter, assessed building-value bucket"
2024-09,239004082,K,800000,1,950000,950000,"grouped by TMK, building letter, assessed building-value bucket"
2024-10,239004082,L,696100,1,735000,735000,"grouped by TMK, building letter, assessed building-value bucket"
2024-10,239004143,A202,1399000,1,1368500,1368500,"grouped by TMK, building letter, assessed building-value bucket"
2024-11,239004082,F,800000,1,930000,930000,"grouped by TMK, building letter, assessed building-value bucket"
2024-12,239004082,K,950400,1,1000000,1000000,"grouped by TMK, building letter, assessed building-value bucket"
2025-02,239004082,K,800000,1,960000,960000,"grouped by TMK, building letter, assessed building-value bucket"
2025-03,239004082,L,617500,1,725000,725000,"grouped by TMK, building letter, assessed building-value bucket"
2025-04,239004082,E,617500,1,739000,739000,"grouped by TMK, building letter, assessed building-value bucket"
2025-04,239004144,B112,656900,1,710000,710000,"grouped by TMK, building letter, assessed building-value bucket"
2025-05,239004082,E,656900,1,760000,760000,"grouped by TMK, building letter, assessed building-value bucket"
2025-08,239004082,K,617500,1,710000,710000,"grouped by TMK, building letter, assessed building-value bucket"
2025-08,239004082,L,1128100,1,1375000,1375000,"grouped by TMK, building letter, assessed building-value bucket"
2025-12,239004082,E,617500,1,770000,770000,"grouped by TMK, building letter, assessed building-value bucket"
2026-03,239004082,H,1028700,1,999000,999000,"grouped by TMK, building letter, assessed building-value bucket"
2026-03,239004082,I,624900,1,750000,750000,"grouped by TMK, building letter, assessed building-value bucket"
2026-04,239004082,D,588200,1,740000,740000,"grouped by TMK, building letter, assessed building-value bucket"
2026-05,239004082,E,800000,1,985000,985000,"grouped by TMK, building letter, assessed building-value bucket"
2026-05,239004082,J,1252100,1,930000,930000,"grouped by TMK, building letter, assessed building-value bucket"
2026-05,239004082,K,588200,1,670000,670000,"grouped by TMK, building letter, assessed building-value bucket"
2026-05,239004082,K,617500,1,599000,599000,"grouped by TMK, building letter, assessed building-value bucket"
