month,model,observed_median,expected_median,ci_low,ci_high,gap_dollars,gap_pct,portfolio_gap_dollars,is_post_announcement,notes
2019-01,linear,629750,528310,139782,916838,101440,19.2009,32055161,no,3-month rolling median; linear trend pre-announcement
2019-02,linear,659875,539348,151345,927351,120527,22.3468,38086574,no,3-month rolling median; linear trend pre-announcement
2019-03,linear,690000,550386,162891,937881,139614,25.3665,44117988,no,3-month rolling median; linear trend pre-announcement
2019-04,linear,690000,561424,174422,948427,128576,22.9017,40629902,no,3-month rolling median; linear trend pre-announcement
2019-05,linear,625000,572463,185935,958990,52537,9.1774,16601816,no,3-month rolling median; linear trend pre-announcement
2019-06,linear,625000,583501,197432,969570,41499,7.1121,13113730,no,3-month rolling median; linear trend pre-announcement
2019-07,linear,655000,594539,208912,980166,60461,10.1694,19105643,no,3-month rolling median; linear trend pre-announcement
2019-08,linear,655000,605577,220376,990779,49423,8.1612,15617557,no,3-month rolling median; linear trend pre-announcement
2019-09,linear,662500,616616,231823,1001409,45884,7.4413,14499471,no,3-month rolling median; linear trend pre-announcement
2019-10,linear,600700,627654,243252,1012055,-26954,-4.2944,-8517415,no,3-month rolling median; linear trend pre-announcement
2019-11,linear,556400,638692,254665,1022719,-82292,-12.8845,-26004301,no,3-month rolling median; linear trend pre-announcement
2019-12,linear,686950,649730,266061,1033399,37220,5.7285,11761412,no,3-month rolling median; linear trend pre-announcement
2020-01,linear,708750,660769,277440,1044097,47981,7.2615,15162126,no,3-month rolling median; linear trend pre-announcement
2020-02,linear,599999,671807,288802,1054811,-71808,-10.6888,-22691276,no,3-month rolling median; linear trend pre-announcement
2020-03,linear,583400,682845,300147,1065543,-99445,-14.5633,-31424646,no,3-month rolling median; linear trend pre-announcement
2020-04,linear,567700,693883,311475,1076292,-126183,-18.1851,-39873932,no,3-month rolling median; linear trend pre-announcement
2020-05,linear,583400,704922,322786,1087057,-121522,-17.2390,-38400819,no,3-month rolling median; linear trend pre-announcement
2020-06,linear,535000,715960,334079,1097840,-180960,-25.2751,-57183305,no,3-month rolling median; linear trend pre-announcement
2020-07,linear,547500,726998,345355,1108641,-179498,-24.6903,-56721391,no,3-month rolling median; linear trend pre-announcement
2020-08,linear,560000,738036,356614,1119458,-178036,-24.1230,-56259477,no,3-month rolling median; linear trend pre-announcement
2020-09,linear,644500,749075,367856,1130293,-104575,-13.9605,-33045563,no,3-month rolling median; linear trend pre-announcement
2020-10,linear,682500,760113,379080,1141145,-77613,-10.2107,-24525650,no,3-month rolling median; linear trend pre-announcement
2020-11,linear,690000,771151,390287,1152015,-81151,-10.5234,-25643736,no,3-month rolling median; linear trend pre-announcement
2020-12,linear,715950,782189,401477,1162902,-66239,-8.4684,-20931622,no,3-month rolling median; linear trend pre-announcement
2021-01,linear,646500,793228,412649,1173806,-146728,-18.4975,-46365908,no,3-month rolling median; linear trend pre-announcement
2021-02,linear,646350,804266,423804,1184728,-157916,-19.6348,-49901394,no,3-month rolling median; linear trend pre-announcement
2021-03,linear,646350,815304,434941,1195667,-168954,-20.7228,-53389481,no,3-month rolling median; linear trend pre-announcement
2021-04,linear,650000,826342,446061,1206624,-176342,-21.3401,-55724167,no,3-month rolling median; linear trend pre-announcement
2021-05,linear,739900,837381,457163,1217598,-97481,-11.6411,-30803853,no,3-month rolling median; linear trend pre-announcement
2021-06,linear,739900,848419,468248,1228589,-108519,-12.7907,-34291939,no,3-month rolling median; linear trend pre-announcement
2021-07,linear,760000,859457,479316,1239598,-99457,-11.5721,-31428425,no,3-month rolling median; linear trend pre-announcement
2021-08,linear,750000,870495,490366,1250625,-120495,-13.8422,-38076512,no,3-month rolling median; linear trend pre-announcement
2021-09,linear,789500,881534,501398,1261669,-92034,-10.4402,-29082598,no,3-month rolling median; linear trend pre-announcement
2021-10,linear,952500,892572,512414,1272730,59928,6.7141,18937316,no,3-month rolling median; linear trend pre-announcement
2021-11,linear,1020250,903610,523411,1283809,116640,12.9082,36858230,no,3-month rolling median; linear trend pre-announcement
2021-12,linear,885500,914648,534391,1294905,-29148,-3.1868,-9210856,no,3-month rolling median; linear trend pre-announcement
2022-01,linear,885500,925687,545354,1306019,-40187,-4.3413,-12698943,no,3-month rolling median; linear trend pre-announcement
2022-02,linear,1050000,936725,556299,1317150,113275,12.0927,35794971,no,3-month rolling median; linear trend pre-announcement
2022-03,linear,1059000,947763,567227,1328299,111237,11.7368,35150885,no,3-month rolling median; linear trend pre-announcement
2022-04,linear,1326250,958801,578137,1339465,367449,38.3238,116113799,no,3-month rolling median; linear trend pre-announcement
2022-05,linear,1340000,969840,589030,1350649,370160,38.1672,116970712,no,3-month rolling median; linear trend pre-announcement
2022-06,linear,1333125,980878,599906,1361849,352247,35.9114,111310126,no,3-month rolling median; linear trend pre-announcement
2022-07,linear,1357500,991916,610764,1373068,365584,36.8563,115524540,no,3-month rolling median; linear trend pre-announcement
2022-08,linear,1262500,1002954,621605,1384303,259546,25.8781,82016454,no,3-month rolling median; linear trend pre-announcement
2022-09,linear,1150000,1013993,632429,1395556,136007,13.4131,42978368,no,3-month rolling median; linear trend pre-announcement
2022-10,linear,1100000,1025031,643235,1406826,74969,7.3139,23690281,no,3-month rolling median; linear trend pre-announcement
2022-11,linear,1025000,1036069,654024,1418114,-11069,-1.0684,-3497805,no,3-month rolling median; linear trend pre-announcement
2022-12,linear,1100000,1047107,664796,1429418,52893,5.0513,16714109,no,3-month rolling median; linear trend pre-announcement
2023-01,linear,1225000,1058145,675551,1440740,166855,15.7686,52726023,no,3-month rolling median; linear trend pre-announcement
2023-02,linear,1100000,1069184,686288,1452079,30816,2.8822,9737937,no,3-month rolling median; linear trend pre-announcement
2023-03,linear,1200000,1080222,697009,1463435,119778,11.0883,37849850,no,3-month rolling median; linear trend pre-announcement
2023-04,linear,1050000,1091260,707712,1474808,-41260,-3.7810,-13038236,no,3-month rolling median; linear trend pre-announcement
2023-05,linear,,1102298,718399,1486198,,,,no,3-month rolling median; linear trend pre-announcement
2023-06,linear,1175000,1113337,729068,1497605,61663,5.5386,19485592,no,3-month rolling median; linear trend pre-announcement
2023-07,linear,1252500,1124375,739721,1509029,128125,11.3952,40487506,no,3-month rolling median; linear trend pre-announcement
2023-08,linear,1330000,1135413,750356,1520470,194587,17.1380,61489419,no,3-month rolling median; linear trend pre-announcement
2023-09,linear,1330000,1146451,760975,1531928,183549,16.0101,58001333,no,3-month rolling median; linear trend pre-announcement
2023-10,linear,1324000,1157490,771577,1543402,166510,14.3855,52617247,no,3-month rolling median; linear trend pre-announcement
2023-11,linear,1250000,1168528,782163,1554893,81472,6.9722,25745161,no,3-month rolling median; linear trend pre-announcement
2023-12,linear,585750,1179566,792731,1566401,-593816,-50.3419,-187645925,no,3-month rolling median; linear trend pre-announcement
2024-01,linear,585750,1190604,803283,1577926,-604854,-50.8023,-191134012,no,3-month rolling median; linear trend pre-announcement
2024-02,linear,814125,1201643,813819,1589466,-387518,-32.2490,-122455598,no,3-month rolling median; linear trend pre-announcement
2024-03,linear,1327500,1212681,824338,1601024,114819,9.4682,36282816,no,3-month rolling median; linear trend pre-announcement
2024-04,linear,1042500,1223719,834841,1612597,-181219,-14.8089,-57265270,no,3-month rolling median; linear trend pre-announcement
2024-05,linear,1340000,1234757,845327,1624187,105243,8.5233,33256644,yes,3-month rolling median; linear trend pre-announcement
2024-06,linear,907500,1245796,855798,1635794,-338296,-27.1550,-106901443,yes,3-month rolling median; linear trend pre-announcement
2024-07,linear,750000,1256834,866252,1647416,-506834,-40.3262,-160159529,yes,3-month rolling median; linear trend pre-announcement
2024-08,linear,737500,1267872,876690,1659055,-530372,-41.8317,-167597615,yes,3-month rolling median; linear trend pre-announcement
2024-09,linear,837500,1278910,887112,1670709,-441410,-34.5146,-139485701,yes,3-month rolling median; linear trend pre-announcement
2024-10,linear,1000875,1289949,897517,1682380,-289074,-22.4097,-91347287,yes,3-month rolling median; linear trend pre-announcement
2024-11,linear,950000,1300987,907907,1694066,-350987,-26.9785,-110911874,yes,3-month rolling median; linear trend pre-announcement
2024-12,linear,1000000,1312025,918282,1705769,-312025,-23.7820,-98599960,yes,3-month rolling median; linear trend pre-announcement
2025-01,linear,965000,1323063,928640,1717487,-358063,-27.0632,-113148046,yes,3-month rolling median; linear trend pre-announcement
2025-02,linear,980000,1334102,938983,1729220,-354102,-26.5423,-111896132,yes,3-month rolling median; linear trend pre-announcement
2025-03,linear,842500,1345140,949310,1740969,-502640,-37.3671,-158834218,yes,3-month rolling median; linear trend pre-announcement
2025-04,linear,725000,1356178,959622,1752734,-631178,-46.5409,-199452305,yes,3-month rolling median; linear trend pre-announcement
2025-05,linear,725000,1367216,969919,1764514,-642216,-46.9726,-202940391,yes,3-month rolling median; linear trend pre-announcement
2025-06,linear,742250,1378255,980200,1776309,-636005,-46.1457,-200977477,yes,3-month rolling median; linear trend pre-announcement
2025-07,linear,760000,1389293,990466,1788120,-629293,-45.2959,-198856563,yes,3-month rolling median; linear trend pre-announcement
2025-08,linear,1042500,1400331,1000717,1799946,-357831,-25.5533,-113074649,yes,3-month rolling median; linear trend pre-announcement
2025-09,linear,1042500,1411369,1010952,1811786,-368869,-26.1356,-116562736,yes,3-month rolling median; linear trend pre-announcement
2025-10,linear,1042500,1422408,1021173,1823642,-379908,-26.7088,-120050822,yes,3-month rolling median; linear trend pre-announcement
2025-11,linear,,1433446,1031379,1835513,,,,yes,3-month rolling median; linear trend pre-announcement
2025-12,linear,770000,1444484,1041570,1847398,-674484,-46.6938,-213136994,yes,3-month rolling median; linear trend pre-announcement
2026-01,linear,770000,1455522,1051747,1859298,-685522,-47.0980,-216625080,yes,3-month rolling median; linear trend pre-announcement
2026-02,linear,770000,1466561,1061909,1871213,-696561,-47.4962,-220113167,yes,3-month rolling median; linear trend pre-announcement
2026-03,linear,874500,1477599,1072056,1883142,-603099,-40.8161,-190579253,yes,3-month rolling median; linear trend pre-announcement
2026-04,linear,807250,1488637,1082189,1895085,-681387,-45.7725,-215318339,yes,3-month rolling median; linear trend pre-announcement
2026-05,linear,800000,1499675,1092308,1907043,-699675,-46.6551,-221097425,yes,3-month rolling median; linear trend pre-announcement
2026-06,linear,770000,1510714,1102412,1919015,-740714,-49.0307,-234065512,yes,3-month rolling median; linear trend pre-announcement
2026-07,linear,800000,1521752,1112503,1931001,-721752,-47.4290,-228073598,yes,3-month rolling median; linear trend pre-announcement
2019-01,log_linear,629750,565159,367022,870260,64591,11.4288,20410740,no,3-month rolling median; log-linear CAGR pre-announcement
2019-02,log_linear,659875,572200,371812,880588,87675,15.3224,27705270,no,3-month rolling median; log-linear CAGR pre-announcement
2019-03,log_linear,690000,579329,376656,891056,110671,19.1033,34972079,no,3-month rolling median; log-linear CAGR pre-announcement
2019-04,log_linear,690000,586546,381557,901664,103454,17.6377,32691324,no,3-month rolling median; log-linear CAGR pre-announcement
2019-05,log_linear,625000,593854,386515,912416,31146,5.2447,9842154,no,3-month rolling median; log-linear CAGR pre-announcement
2019-06,log_linear,625000,601252,391530,923312,23748,3.9497,7504215,no,3-month rolling median; log-linear CAGR pre-announcement
2019-07,log_linear,655000,608743,396603,934356,46257,7.5987,14617149,no,3-month rolling median; log-linear CAGR pre-announcement
2019-08,log_linear,655000,616327,401734,945550,38673,6.2747,12220592,no,3-month rolling median; log-linear CAGR pre-announcement
2019-09,log_linear,662500,624006,406923,956896,38494,6.1689,12164178,no,3-month rolling median; log-linear CAGR pre-announcement
2019-10,log_linear,600700,631780,412172,968396,-31080,-4.9194,-9821265,no,3-month rolling median; log-linear CAGR pre-announcement
2019-11,log_linear,556400,639651,417481,980053,-83251,-13.0151,-26307315,no,3-month rolling median; log-linear CAGR pre-announcement
2019-12,log_linear,686950,647620,422850,991868,39330,6.0730,12428248,no,3-month rolling median; log-linear CAGR pre-announcement
2020-01,log_linear,708750,655688,428280,1003845,53062,8.0925,16767438,no,3-month rolling median; log-linear CAGR pre-announcement
2020-02,log_linear,599999,663857,433772,1015986,-63858,-9.6193,-20179253,no,3-month rolling median; log-linear CAGR pre-announcement
2020-03,log_linear,583400,672128,439326,1028294,-88728,-13.2011,-28038072,no,3-month rolling median; log-linear CAGR pre-announcement
2020-04,log_linear,567700,680502,444943,1040770,-112802,-16.5763,-35645368,no,3-month rolling median; log-linear CAGR pre-announcement
2020-05,log_linear,583400,688980,450622,1053417,-105580,-15.3241,-33363231,no,3-month rolling median; log-linear CAGR pre-announcement
2020-06,log_linear,535000,697564,456366,1066239,-162564,-23.3045,-51370070,no,3-month rolling median; log-linear CAGR pre-announcement
2020-07,log_linear,547500,706254,462173,1079237,-158754,-22.4783,-50166302,no,3-month rolling median; log-linear CAGR pre-announcement
2020-08,log_linear,560000,715053,468046,1092415,-155053,-21.6841,-48996749,no,3-month rolling median; log-linear CAGR pre-announcement
2020-09,log_linear,644500,723962,473984,1105775,-79462,-10.9759,-25109835,no,3-month rolling median; log-linear CAGR pre-announcement
2020-10,log_linear,682500,732981,479989,1119320,-50481,-6.8871,-15951994,no,3-month rolling median; log-linear CAGR pre-announcement
2020-11,log_linear,690000,742113,486060,1133053,-52113,-7.0222,-16467661,no,3-month rolling median; log-linear CAGR pre-announcement
2020-12,log_linear,715950,751358,492198,1146976,-35408,-4.7126,-11189079,no,3-month rolling median; log-linear CAGR pre-announcement
2021-01,log_linear,646500,760719,498404,1161093,-114219,-15.0146,-36093297,no,3-month rolling median; log-linear CAGR pre-announcement
2021-02,log_linear,646350,770197,504679,1175406,-123847,-16.0799,-39135567,no,3-month rolling median; log-linear CAGR pre-announcement
2021-03,log_linear,646350,779792,511023,1189919,-133442,-17.1125,-42167748,no,3-month rolling median; log-linear CAGR pre-announcement
2021-04,log_linear,650000,789507,517436,1204634,-139507,-17.6702,-44084306,no,3-month rolling median; log-linear CAGR pre-announcement
2021-05,log_linear,739900,799343,523920,1219555,-59443,-7.4365,-18784111,no,3-month rolling median; log-linear CAGR pre-announcement
2021-06,log_linear,739900,809302,530475,1234685,-69402,-8.5755,-21931040,no,3-month rolling median; log-linear CAGR pre-announcement
2021-07,log_linear,760000,819385,537102,1250027,-59385,-7.2475,-18765575,no,3-month rolling median; log-linear CAGR pre-announcement
2021-08,log_linear,750000,829593,543800,1265584,-79593,-9.5942,-25151405,no,3-month rolling median; log-linear CAGR pre-announcement
2021-09,log_linear,789500,839929,550572,1281359,-50429,-6.0039,-15935423,no,3-month rolling median; log-linear CAGR pre-announcement
2021-10,log_linear,952500,850393,557417,1297356,102107,12.0071,32265869,no,3-month rolling median; log-linear CAGR pre-announcement
2021-11,log_linear,1020250,860987,564336,1313579,159263,18.4977,50326964,no,3-month rolling median; log-linear CAGR pre-announcement
2021-12,log_linear,885500,871714,571330,1330030,13786,1.5815,4356349,no,3-month rolling median; log-linear CAGR pre-announcement
2022-01,log_linear,885500,882574,578399,1346713,2926,0.3315,924504,no,3-month rolling median; log-linear CAGR pre-announcement
2022-02,log_linear,1050000,893570,585544,1363632,156430,17.5062,49431904,no,3-month rolling median; log-linear CAGR pre-announcement
2022-03,log_linear,1059000,904702,592767,1380790,154298,17.0551,48758016,no,3-month rolling median; log-linear CAGR pre-announcement
2022-04,log_linear,1326250,915974,600066,1398192,410276,44.7913,129647300,no,3-month rolling median; log-linear CAGR pre-announcement
2022-05,log_linear,1340000,927385,607444,1415839,412615,44.4922,130386210,no,3-month rolling median; log-linear CAGR pre-announcement
2022-06,log_linear,1333125,938939,614901,1433738,394186,41.9820,124562693,no,3-month rolling median; log-linear CAGR pre-announcement
2022-07,log_linear,1357500,950637,622437,1451890,406863,42.7990,128568691,no,3-month rolling median; log-linear CAGR pre-announcement
2022-08,log_linear,1262500,962481,630054,1470301,300019,31.1715,94806135,no,3-month rolling median; log-linear CAGR pre-announcement
2022-09,log_linear,1150000,974472,637751,1488974,175528,18.0127,55466952,no,3-month rolling median; log-linear CAGR pre-announcement
2022-10,log_linear,1100000,986612,645530,1507913,113388,11.4926,35830562,no,3-month rolling median; log-linear CAGR pre-announcement
2022-11,log_linear,1025000,998904,653392,1527122,26096,2.6125,8246377,no,3-month rolling median; log-linear CAGR pre-announcement
2022-12,log_linear,1100000,1011349,661336,1546605,88651,8.7656,28013800,no,3-month rolling median; log-linear CAGR pre-announcement
2023-01,log_linear,1225000,1023949,669365,1566367,201051,19.6349,63532229,no,3-month rolling median; log-linear CAGR pre-announcement
