month,transfer_count,arms_length_sale_count,median_price,mean_price,median_ppsf,mean_ppsf,total_volume,rolling_3mo_median_price,annualized_transfer_rate,price_index,median_price_yoy_pct,rolling_12mo_appreciation_pct,notes
2019-01,3,2,629750,629750,,,1259499,629750,36.00,100.0000,,,ppsf omitted — sqft unavailable in county extract
2019-02,1,1,690000,690000,,,690000,659875,12.00,109.5674,,,ppsf omitted — sqft unavailable in county extract
2019-03,5,4,727500,730000,,,2920000,690000,60.00,115.5221,,,ppsf omitted — sqft unavailable in county extract
2019-04,5,3,625000,703333,,,2110000,690000,60.00,99.2458,,,ppsf omitted — sqft unavailable in county extract
2019-05,5,5,610000,623200,,,3116000,625000,60.00,96.8639,,,ppsf omitted — sqft unavailable in county extract
2019-06,4,3,655000,616667,,,1850000,625000,48.00,104.0096,,,ppsf omitted — sqft unavailable in county extract
2019-07,3,3,680000,696667,,,2090000,655000,36.00,107.9794,,,ppsf omitted — sqft unavailable in county extract
2019-08,3,1,645000,645000,,,645000,655000,36.00,102.4217,,,ppsf omitted — sqft unavailable in county extract
2019-09,0,0,,,,,,662500,0.00,,,,ppsf omitted — sqft unavailable in county extract
2019-10,1,1,556400,556400,,,556400,600700,12.00,88.3526,,,ppsf omitted — sqft unavailable in county extract
2019-11,0,0,,,,,,556400,0.00,,,,ppsf omitted — sqft unavailable in county extract
2019-12,5,5,817500,774500,,,3872500,686950,60.00,129.8135,,,ppsf omitted — sqft unavailable in county extract
2020-01,1,1,599999,599999,,,599999,708750,12.00,95.2758,-4.7242,-4.7242,ppsf omitted — sqft unavailable in county extract
2020-02,3,1,552000,552000,,,552000,599999,36.00,87.6539,-20.0000,-20.0000,ppsf omitted — sqft unavailable in county extract
2020-03,6,5,583400,609480,,,3047400,583400,72.00,92.6400,-19.8076,-19.8076,ppsf omitted — sqft unavailable in county extract
2020-04,2,0,,,,,,567700,24.00,,,,ppsf omitted — sqft unavailable in county extract
2020-05,2,0,,,,,,583400,24.00,,,,ppsf omitted — sqft unavailable in county extract
2020-06,2,1,535000,535000,,,535000,535000,24.00,84.9544,-18.3206,-18.3206,ppsf omitted — sqft unavailable in county extract
2020-07,4,1,560000,560000,,,560000,547500,48.00,88.9242,-17.6471,-17.6471,ppsf omitted — sqft unavailable in county extract
2020-08,2,2,644500,644500,,,1289000,560000,24.00,102.3423,-0.0775,-0.0775,ppsf omitted — sqft unavailable in county extract
2020-09,3,2,697500,697500,,,1395000,644500,36.00,110.7583,,,ppsf omitted — sqft unavailable in county extract
2020-10,3,2,682500,682500,,,1365000,682500,36.00,108.3764,22.6636,22.6636,ppsf omitted — sqft unavailable in county extract
2020-11,0,0,,,,,,690000,0.00,,,,ppsf omitted — sqft unavailable in county extract
