month,transfer_count,hi_count,non_hi_count,unknown_count,hi_pct,non_hi_pct,unknown_pct,rolling_3mo_hi_pct,rolling_3mo_non_hi_pct,notes
2019-01,3,0,3,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2019-02,1,0,1,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2019-03,5,1,4,0,20.0000,80.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2019-04,5,1,4,0,20.0000,80.0000,0.0000,20.0000,80.0000,buyer residency proxy from current owner mailing address
2019-05,5,0,5,0,0.0000,100.0000,0.0000,20.0000,80.0000,buyer residency proxy from current owner mailing address
2019-06,4,0,4,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2019-07,3,0,3,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2019-08,3,1,2,0,33.3333,66.6667,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2019-09,0,0,0,0,,,,16.6667,83.3333,buyer residency proxy from current owner mailing address
2019-10,1,0,1,0,0.0000,100.0000,0.0000,16.6667,83.3333,buyer residency proxy from current owner mailing address
2019-11,0,0,0,0,,,,0.0000,100.0000,buyer residency proxy from current owner mailing address
2019-12,5,1,4,0,20.0000,80.0000,0.0000,10.0000,90.0000,buyer residency proxy from current owner mailing address
2020-01,1,0,1,0,0.0000,100.0000,0.0000,10.0000,90.0000,buyer residency proxy from current owner mailing address
2020-02,3,0,3,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2020-03,6,1,5,0,16.6667,83.3333,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2020-04,2,0,2,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2020-05,2,0,2,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2020-06,2,1,1,0,50.0000,50.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2020-07,4,2,2,0,50.0000,50.0000,0.0000,50.0000,50.0000,buyer residency proxy from current owner mailing address
2020-08,2,0,2,0,0.0000,100.0000,0.0000,50.0000,50.0000,buyer residency proxy from current owner mailing address
2020-09,3,0,3,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2020-10,3,0,3,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2020-11,0,0,0,0,,,,0.0000,100.0000,buyer residency proxy from current owner mailing address
2020-12,3,0,3,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2021-01,3,2,1,0,66.6667,33.3333,0.0000,33.3333,66.6667,buyer residency proxy from current owner mailing address
2021-02,3,2,1,0,66.6667,33.3333,0.0000,66.6667,33.3333,buyer residency proxy from current owner mailing address
2021-03,5,2,3,0,40.0000,60.0000,0.0000,66.6667,33.3333,buyer residency proxy from current owner mailing address
2021-04,7,1,6,0,14.2857,85.7143,0.0000,40.0000,60.0000,buyer residency proxy from current owner mailing address
2021-05,6,1,5,0,16.6667,83.3333,0.0000,16.6667,83.3333,buyer residency proxy from current owner mailing address
2021-06,2,1,1,0,50.0000,50.0000,0.0000,16.6667,83.3333,buyer residency proxy from current owner mailing address
2021-07,5,1,4,0,20.0000,80.0000,0.0000,20.0000,80.0000,buyer residency proxy from current owner mailing address
2021-08,3,1,2,0,33.3333,66.6667,0.0000,33.3333,66.6667,buyer residency proxy from current owner mailing address
2021-09,0,0,0,0,,,,26.6667,73.3333,buyer residency proxy from current owner mailing address
2021-10,2,0,2,0,0.0000,100.0000,0.0000,16.6667,83.3333,buyer residency proxy from current owner mailing address
2021-11,5,0,5,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2021-12,5,2,3,0,40.0000,60.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2022-01,2,0,2,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2022-02,5,0,5,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2022-03,3,0,3,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2022-04,2,0,2,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2022-05,2,0,2,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2022-06,2,0,2,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2022-07,1,0,1,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2022-08,1,1,0,0,100.0000,0.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2022-09,1,0,1,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2022-10,3,1,2,0,33.3333,66.6667,0.0000,33.3333,66.6667,buyer residency proxy from current owner mailing address
2022-11,3,0,3,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2022-12,2,0,2,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2023-01,3,0,3,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2023-02,2,0,2,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2023-03,0,0,0,0,,,,0.0000,100.0000,buyer residency proxy from current owner mailing address
2023-04,0,0,0,0,,,,0.0000,100.0000,buyer residency proxy from current owner mailing address
2023-05,2,0,2,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2023-06,1,0,1,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2023-07,3,1,2,0,33.3333,66.6667,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2023-08,1,0,1,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2023-09,7,0,7,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2023-10,1,0,0,1,0.0000,0.0000,100.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2023-11,1,0,1,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2023-12,3,0,3,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2024-01,1,0,1,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2024-02,3,0,3,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2024-03,6,1,5,0,16.6667,83.3333,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2024-04,3,1,2,0,33.3333,66.6667,0.0000,16.6667,83.3333,buyer residency proxy from current owner mailing address
2024-05,2,0,2,0,0.0000,100.0000,0.0000,16.6667,83.3333,buyer residency proxy from current owner mailing address
2024-06,2,1,1,0,50.0000,50.0000,0.0000,33.3333,66.6667,buyer residency proxy from current owner mailing address
2024-07,1,0,0,1,0.0000,0.0000,100.0000,0.0000,50.0000,buyer residency proxy from current owner mailing address
2024-08,0,0,0,0,,,,25.0000,25.0000,buyer residency proxy from current owner mailing address
2024-09,1,0,1,0,0.0000,100.0000,0.0000,0.0000,50.0000,buyer residency proxy from current owner mailing address
2024-10,4,2,2,0,50.0000,50.0000,0.0000,25.0000,75.0000,buyer residency proxy from current owner mailing address
2024-11,3,0,3,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2024-12,1,0,1,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2025-01,0,0,0,0,,,,0.0000,100.0000,buyer residency proxy from current owner mailing address
2025-02,1,0,1,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2025-03,4,0,4,0,0.0000,100.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2025-04,2,1,1,0,50.0000,50.0000,0.0000,0.0000,100.0000,buyer residency proxy from current owner mailing address
2025-05,2,1,1,0,50.0000,50.0000,0.0000,50.0000,50.0000,buyer residency proxy from current owner mailing address
2025-06,0,0,0,0,,,,50.0000,50.0000,buyer residency proxy from current owner mailing address
2025-07,0,0,0,0,,,,50.0000,50.0000,buyer residency proxy from current owner mailing address
2025-08,2,1,1,0,50.0000,50.0000,0.0000,50.0000,50.0000,buyer residency proxy from current owner mailing address
2025-09,0,0,0,0,,,,50.0000,50.0000,buyer residency proxy from current owner mailing address
2025-10,1,0,1,0,0.0000,100.0000,0.0000,25.0000,75.0000,buyer residency proxy from current owner mailing address
2025-11,3,1,2,0,33.3333,66.6667,0.0000,16.6667,83.3333,buyer residency proxy from current owner mailing address
2025-12,2,1,1,0,50.0000,50.0000,0.0000,33.3333,66.6667,buyer residency proxy from current owner mailing address
2026-01,1,0,1,0,0.0000,100.0000,0.0000,33.3333,66.6667,buyer residency proxy from current owner mailing address
2026-02,0,0,0,0,,,,25.0000,75.0000,buyer residency proxy from current owner mailing address
2026-03,3,1,2,0,33.3333,66.6667,0.0000,16.6667,83.3333,buyer residency proxy from current owner mailing address
2026-04,1,0,1,0,0.0000,100.0000,0.0000,16.6667,83.3333,buyer residency proxy from current owner mailing address
2026-05,5,1,4,0,20.0000,80.0000,0.0000,20.0000,80.0000,buyer residency proxy from current owner mailing address
2026-06,0,0,0,0,,,,10.0000,90.0000,buyer residency proxy from current owner mailing address
2026-07,0,0,0,0,,,,20.0000,80.0000,buyer residency proxy from current owner mailing address
