parid,unit,tmk,building,prior_sale_date,current_sale_date,prior_price,current_price,appreciation_pct,annualized_appreciation_pct,days_between,era,notes
390040820065,I 114,239004082,I,2019/01/21,2021/11/16,599999,829000,38.1669,13.5344,1030,pre_announcement,
390040820098,D 110,239004082,D,2019/02/21,2022/03/26,690000,1150000,66.6667,21.5678,1129,pre_announcement,
390040820098,D 110,239004082,D,2022/03/26,2023/08/11,1150000,1398000,21.5652,15.6594,503,pre_announcement,
390040820199,K 209,239004082,K,2019/03/02,2022/02/10,645000,995000,54.2636,18.4199,1076,pre_announcement,
390040820113,E 101,239004082,E,2019/04/15,2025/04/18,535000,739000,38.1308,6.3450,2195,post_announcement_pre_passage,
390040820207,M 107,239004082,M,2019/05/04,2020/01/21,510000,599999,17.6469,24.6012,262,pre_announcement,
390041430013,A114,239004143,A114,2019/05/21,2020/03/17,700000,671100,-4.1286,-5.0098,301,pre_announcement,
390041440022,B208,239004144,B208,2019/05/21,2022/05/11,526000,1300000,147.1483,49.4898,1086,pre_announcement,
390040820058,I 106,239004082,I,2019/08/26,2021/02/16,645000,646350,0.2093,0.1416,540,pre_announcement,
390040820143,J 203,239004082,J,2019/12/05,2021/05/13,765000,825000,7.8431,5.4566,525,pre_announcement,
390040820222,F 102,239004082,F,2019/12/05,2023/09/28,608000,787800,29.5724,7.7540,1393,pre_announcement,
390040820114,E 102,239004082,E,2020/03/19,2025/12/05,560000,770000,37.5000,6.5629,2087,post_announcement_pre_passage,
390040820003,G 103,239004082,G,2020/06/24,2021/12/02,535000,535000,0.0000,0.0000,526,pre_announcement,
390041440034,C106,239004144,C106,2020/07/27,2020/12/04,560000,575000,2.6786,7.5258,130,pre_announcement,
390041440007,B107,239004144,B107,2021/01/07,2021/03/13,543600,615000,13.1347,73.8067,65,pre_announcement,
390041440010,B110,239004144,B110,2021/03/23,2021/12/27,645000,790000,22.4806,29.4303,279,pre_announcement,
390040820084,I 215,239004082,I,2021/03/25,2024/03/04,840000,1650000,96.4286,32.7633,1075,pre_announcement,
390041430019,A205,239004143,A205,2021/04/07,2022/03/24,1285000,1535000,19.4553,20.2451,351,pre_announcement,
390040820108,D 208,239004082,D,2021/04/26,2022/12/03,739900,1175000,58.8052,36.6529,586,pre_announcement,
390040820118,E 202,239004082,E,2021/05/28,2026/05/23,760000,985000,29.6053,5.9381,1821,post_passage,
390040820062,I 110,239004082,I,2021/07/17,2026/03/12,695000,750000,7.9137,1.7013,1699,post_passage,
390040820159,J 220,239004082,J,2021/10/06,2022/10/17,1155000,1479000,28.0519,27.2499,376,pre_announcement,
390040820159,J 220,239004082,J,2022/10/17,2023/09/13,1479000,1750000,18.3232,20.2192,331,pre_announcement,
390040820117,E 201,239004082,E,2021/11/22,2022/10/21,899000,1100000,22.3582,24.5235,333,pre_announcement,
390040820032,H 104,239004082,H,2022/02/14,2026/03/03,850000,999000,17.5294,4.3319,1478,post_passage,
390040820161,L 101,239004082,L,2022/09/20,2025/03/14,950000,725000,-23.6842,-9.5482,906,post_announcement_pre_passage,
390041440003,B103,239004144,B103,2023/12/04,2023/12/05,999000,172500,-82.7327,-30218.1306,1,pre_announcement,
