period_type,period_label,period_start,period_end,year,total_units,transfer_count,unique_units_transferred,turnover_rate,avg_ownership_duration_days,first_time_owner_transfers,repeat_owner_transfers,median_days_between_sales,sales_per_month,inventory_turnover,notes
annual,2019,2019/01/01,2019/12/31,2019,316,35,33,10.4430,,0,35,540,2.92,11.0759,
annual,2020,2020/01/01,2020/12/31,2020,316,31,24,7.5949,,0,31,540,2.58,9.8101,
annual,2021,2021/01/01,2021/12/31,2021,316,46,41,12.9747,,1,45,540,3.83,14.5570,
annual,2022,2022/01/01,2022/12/31,2022,316,27,26,8.2278,,0,27,540,2.25,8.5443,
annual,2023,2023/01/01,2023/12/31,2023,316,24,19,6.0127,,0,24,540,2.00,7.5949,
annual,2024,2024/01/01,2024/12/31,2024,316,27,25,7.9114,,0,27,540,2.25,8.5443,
annual,2025,2025/01/01,2025/12/31,2025,316,17,15,4.7468,,0,17,540,1.42,5.3797,
annual,2026,2026/01/01,2026/07/15,2026,316,10,10,3.1646,,0,10,540,0.83,3.1646,
policy_window,pre_announcement,2019/01/01,2024/04/30,,316,176,124,39.2405,818,,,540,2.75,10.4430,liquidity metrics for policy window
policy_window,post_announcement_pre_passage,2024/05/01,2025/12/14,,316,30,28,8.8608,818,,,540,1.50,5.6962,liquidity metrics for policy window
policy_window,post_passage,2025/12/15,2026/07/15,,316,11,11,3.4810,818,,,540,1.38,5.2215,liquidity metrics for policy window
