DIVISION-TMK,ZONE - TMK,SECTION - TMK,PLAT - TMK,PARCEL - TMK,CPR - TMK,PARCEL YEAR,LAND CLASS,TAX RATE CLASS,ASSESSED LAND VALUE,LAND EXEMPTION,ASSESSED BUILDING VALUE,BUILDING EXEMPTION
2,3,9,004,143,0000,2026,11,11,000000000000,000000000000,000000000000,000000000000
2,3,9,004,143,0001,2026,11,11,000000083500,000000000000,000001003400,000000000000
2,3,9,004,143,0002,2026,11,11,000000083500,000000000000,000001003400,000000000000
2,3,9,004,143,0003,2026,11,11,000000083500,000000000000,000001003400,000000000000
2,3,9,004,143,0004,2026,11,11,000000083500,000000000000,000001003400,000000000000
2,3,9,004,143,0005,2026,11,11,000000102900,000000000000,000001031000,000000000000
2,3,9,004,143,0006,2026,11,11,000000101700,000000000000,000001028700,000000000000
2,3,9,004,143,0007,2026,11,11,000000083500,000000000000,000001003400,000000000000
2,3,9,004,143,0008,2026,11,11,000000083500,000000000000,000001003400,000000000000
2,3,9,004,143,0009,2026,11,11,000000083500,000000000000,000001003400,000000000000
2,3,9,004,143,0010,2026,11,11,000000083500,000000000000,000001003400,000000000000
2,3,9,004,143,0011,2026,11,11,000000101700,000000000000,000001028700,000000000000
2,3,9,004,143,0012,2026,11,11,000000101700,000000000000,000001127000,000000000000
2,3,9,004,143,0013,2026,11,11,000000083500,000000000000,000001003400,000000000000
2,3,9,004,143,0014,2026,11,11,000000083500,000000000000,000001003400,000000000000
2,3,9,004,143,0015,2026,11,11,000000100800,000000000000,000001252100,000000000000
2,3,9,004,143,0016,2026,11,11,000000100800,000000000000,000001399000,000000000000
2,3,9,004,143,0017,2026,11,11,000000100800,000000000000,000001252100,000000000000
2,3,9,004,143,0018,2026,11,11,000000100800,000000000000,000001252100,000000000000
2,3,9,004,143,0019,2026,11,11,000000129400,000000000000,000001395100,000000000000
2,3,9,004,143,0020,2026,11,11,000000129400,000000000000,000001279400,000000000000
2,3,9,004,143,0021,2026,11,11,000000100800,000000000000,000001252100,000000000000
2,3,9,004,143,0022,2026,11,11,000000100800,000000000000,000001252100,000000000000
2,3,9,004,143,0023,2026,11,11,000000100800,000000000000,000001252100,000000000000
2,3,9,004,143,0024,2026,11,11,000000100800,000000000000,000001252100,000000000000
2,3,9,004,143,0025,2026,11,11,000000117100,000000000000,000001282000,000000000000
2,3,9,004,143,0026,2026,11,11,000000117100,000000000000,000001282000,000000000000
2,3,9,004,143,0027,2026,11,11,000000100800,000000000000,000001252100,000000000000
2,3,9,004,143,0028,2026,11,11,000000100800,000000000000,000001252100,000000000000
