DIVISION - TMK,ZONE - TMK,SECTION - TMK,PLAT - TMK,PARCEL - TMK,CPR - TMK,TAX YEAR,ACRES,SQFT,LEGAL DESCRIPTION
2,3,9,004,144,0000,2026,3.3800,,
2,3,9,004,144,0001,2026,,,"APT B-101   MAUI KAMAOLE   CMS 1146, 1218 & 1311 TOG/PRKG SPACE 21 (AS GIVEN)   UND 0.00271 (0.02710 PERCENT) (AS GIVEN) INT IN COMMON ELEM INCL LAND"
2,3,9,004,144,0002,2026,,,"APT B-102   MAUI KAMAOLE   CMS 1146, 1218 & 1311 TOG/PRKG SPACE 30 (AS GIVEN) UND 1.797% (AS GIVEN) INT IN ALL COMMON ELEMENTS & IN LAND"
2,3,9,004,144,0003,2026,,,"APT B-103   MAUI KAMAOLE   CMS 1146, 1218 & 1311   TOG/PS B2 UND 0.00330 (0.330%) INT IN COMM ELEM INCL LAND"
2,3,9,004,144,0004,2026,,,"APT B-104   MAUI KAMAOLE   CMS 1146, 1218 & 1311 TOG/PRKG STALL (NO B-28) UND 0.2179 PERCENTAGE (AS GIVEN) INT IN COMM ELEM"
2,3,9,004,144,0005,2026,,,"APT B-105   MAUI KAMAOLE   CMS 1146, 1218 & 1311 TOG/PRKG STALL NO B-16 UND 0.2710 % INT IN COMMON ELEMENTS"
2,3,9,004,144,0006,2026,,,"APT B-106   MAUI KAMAOLE   CMS 1146, 1218 & 1311 TOG/PRKG STALL NO B-15 UND 0.2710 % INT IN COMMON ELEMENTS"
2,3,9,004,144,0007,2026,,,
2,3,9,004,144,0008,2026,,,
2,3,9,004,144,0009,2026,,,"APT B-109   MAUI KAMAOLE PH II (AS GIVEN)  CM 1146, 1218 & 1311   TOG/PRKG STALL NO B-12 (AS GIVEN) UND 0.00330 (0.330%) INT IN COMMON ELEMENTS INCL LAND"
2,3,9,004,144,0010,2026,,,"APT B-110   MAUI KAMAOLE   CMS 1146, 1218 & 1311   TOG/PS UND 2.203 (AS GIVEN) PERCENTAGE INT IN COMM ELEM & LAND"
2,3,9,004,144,0011,2026,,,"APT B-111   MAUI KAMAOLE   CMS 1146, 1218 & 1311   TOG/PS UND 0.00271 (0.271%) INT IN LAND & COMM ELEM"
2,3,9,004,144,0012,2026,,,"APT B-112   MAUI KAMAOLE   CMS 1146, 1218 & 1311   TOG/PS UND .271 PERCENT INT IN COMM ELEM INCL LAND"
2,3,9,004,144,0013,2026,,,"APT B-114   MAUI KAMAOLE   CMS 1146, 1218 & 1311 TOG/PRKG STALL NO B-25 UND 0.2710 % INT IN COMMON ELEMENTS"
2,3,9,004,144,0014,2026,,,"APT B-115   MAUI KAMAOLE   CMS 1146, 1218 & 1311   TOG/PS UND 1.797% INT IN COMMON ELEMENTS & LAND"
2,3,9,004,144,0015,2026,,,"APT B-201   MAUI KAMAOLE   CMS 1146, 1218 & 1311   TOG/PS UND 2.166% (AS GIVEN) INT IN COMM ELEM INCL LAND"
2,3,9,004,144,0016,2026,,,"APT B-202   MAUI KAMAOLE   CM 1146, 1218 & 1311 TOG/PS 19 (AS GIVEN) UND 0.00327 (0.327%) INT IN COMM ELEM INCL LAND"
2,3,9,004,144,0017,2026,,,"APT B-203   MAUI KAMAOLE   CMS 1146, 1218 & 1311 TOG/PRKG STALL NO B-18 UND 0.380 % INT IN COMMON ELEMENTS"
2,3,9,004,144,0018,2026,,,"APT B-204   MAUI KAMAOLE   CMS 1146, 1218 & 1311 TOG/PRKG STALL NO B-17 UND 0.380 % INT IN COMMON ELEMENTS"
2,3,9,004,144,0019,2026,,,"APT B-205   MAUI KAMAOLE   CMS 1146, 1218 & 1311   TOG/PS UND 0.327 PERCENTAGE INT IN COMM ELEM INCL LAND"
2,3,9,004,144,0020,2026,,,APT B-206   MAUI KAMAOLE PHASE II (AS GIVEN)  CM 1218 TOG/PS 9   UND 2.166 PERCENT (AS GIVEN) INT IN COMM ELEM INCL LAND
2,3,9,004,144,0021,2026,,,"APT B-207   MAUI KAMAOLE   CMS 1146, 1218 & 1311   TOG/PS UND 2.166 PERCENTAGE (AS GIVEN) INT IN COMM ELEM & LAND"
2,3,9,004,144,0022,2026,,,"APT B-208   MAUI KAMAOLE   CMS 1146, 1218 & 1311   TOG/PS UND 2.166 PERCENTAGE INT IN COMM ELEM & LAND (AS GIVEN)"
2,3,9,004,144,0023,2026,,,APT B-209   MAUI KAMAOLE PH II (AS GIVEN) CM 1218 (AS GIVEN)   TOG/PS   UND 2.774% (AS GIVEN) INT IN COMM ELEM INCL LAND
2,3,9,004,144,0024,2026,,,"APT B-210   MAUI KAMAOLE   CMS 1146, 1218 & 1311   TOG/PS UND 0.00420 (0.420%) INT IN COMMON ELEMENTS INCL LAND"
2,3,9,004,144,0025,2026,,,"APT B-211   MAUI KAMAOLE   CMS 1146, 1218 & 1311 TOG/PRKG STALL NO B-04 UND 0.3270 % INT IN COMMON ELEMENTS"
2,3,9,004,144,0026,2026,,,"APT B-212   MAUI KAMAOLE   CMS 1146, 1218 & 1311 TOG/PRKG STALL NO B-03 UND 0.3270 % INT IN COMMON ELEMENTS"
2,3,9,004,144,0027,2026,,,APT B-214   MAUI KAMAOLE PH II (AS GIVEN) CM 1218 (AS GIVEN)   TOG/PRKG STALL NO 2  (AS GIVEN) UND 2.166 % INT IN COMMON ELEMENTS AND LAND (AS GIVEN)
2,3,9,004,144,0028,2026,,,"APT B-215   MAUI KAMAOLE   CMS 1146, 1218 & 1311 TOG/PRKG STALL NO 1   (AS GIVEN) UND 2.166% (AS GIVEN) INT IN COMMON ELEMENTS INCL LAND"
2,3,9,004,144,0029,2026,,,APT C-101   MAUI KAMAOLE PH II (AS GIVEN) CM 1218 (AS GIVEN)   TOG/PS NO 11 (AS GIVEN) UND 2.179% INT (AS GIVEN) IN COMM ELEM AND LAND
2,3,9,004,144,0030,2026,,,"APT C-102   MAUI KAMAOLE   CMS 1146, 1218 & 1311   TOG/PS UND 0.330% INT IN COMM ELEM INCL LAND"
2,3,9,004,144,0031,2026,,,APT C-103   MAUI KAMAOLE PH II (AS GIVEN) CM 1218 (AS GIVEN)   TOG/PS NO 9 (AS GIVEN) UND 1.797% INT (AS GIVEN) IN COMM ELEM AND LAND
2,3,9,004,144,0032,2026,,,"APT C-104   MAUI KAMAOLE   CMS 1146, 1218 & 1311 TOG/PRKG STALL NO C-08 UND 0.2710 % INT IN COMMON ELEMENTS"
2,3,9,004,144,0033,2026,,,"APT C-105   MAUI KAMAOLE   CM 1146,1218 & 1311   TOG/PS UND 0.00271 (0.271%) INT IN COMM ELEM INCL LAND"
2,3,9,004,144,0034,2026,,,"APT C-106  MAUI KAMAOLE  CM 1146, 1218 & 1311  TOG/PS C-06 UND 0.00271 (0.271 %) INT IN COMM ELEM INCL LAND"
