DIVISION - TMK,ZONE - TMK,SECTION - TMK,PLAT - TMK,PARCEL - TMK,CPR - TMK,PARCEL YEAR,MULTIPLE CLASS FLAG,STREET NUMBER PRE,STREET NUMBER,ADDITIONAL STREET NUMBER,STREET DIRECTION,STREET,STREET NAME SUFFIX,UNIT DESCRIPTION,UNIT,PARCEL ACRES,NEIGHBORHOOD CODE
2,3,9,004,144,0000,2026,,,2777,,S,KIHEI,RD,,,,C396
2,3,9,004,144,0001,2026,,,2777,,S,KIHEI,RD,UNIT,B101,,C396
2,3,9,004,144,0002,2026,,,2777,,S,KIHEI,RD,UNIT,B102,,C396
2,3,9,004,144,0003,2026,,,2777,,S,KIHEI,RD,UNIT,B103,,C396
2,3,9,004,144,0004,2026,,,2777,,S,KIHEI,RD,UNIT,B104,,C396
2,3,9,004,144,0005,2026,,,2777,,S,KIHEI,RD,UNIT,B105,,C396
2,3,9,004,144,0006,2026,,,2777,,S,KIHEI,RD,UNIT,B106,,C396
2,3,9,004,144,0007,2026,,,2777,,S,KIHEI,RD,UNIT,B107,,C396
2,3,9,004,144,0008,2026,,,2777,,S,KIHEI,RD,UNIT,B108,,C396
2,3,9,004,144,0009,2026,,,2777,,S,KIHEI,RD,UNIT,B109,,C396
2,3,9,004,144,0010,2026,,,2777,,S,KIHEI,RD,UNIT,B110,,C396
2,3,9,004,144,0011,2026,,,2777,,S,KIHEI,RD,UNIT,B111,,C396
2,3,9,004,144,0012,2026,,,2777,,S,KIHEI,RD,UNIT,B112,,C396
2,3,9,004,144,0013,2026,,,2777,,S,KIHEI,RD,UNIT,B114,,C396
2,3,9,004,144,0014,2026,,,2777,,S,KIHEI,RD,UNIT,B115,,C396
2,3,9,004,144,0015,2026,,,2777,,S,KIHEI,RD,UNIT,B201,,C396
2,3,9,004,144,0016,2026,,,2777,,S,KIHEI,RD,UNIT,B202,,C396
2,3,9,004,144,0017,2026,,,2777,,S,KIHEI,RD,UNIT,B203,,C396
2,3,9,004,144,0018,2026,,,2777,,S,KIHEI,RD,UNIT,B204,,C396
2,3,9,004,144,0019,2026,,,2777,,S,KIHEI,RD,UNIT,B205,,C396
2,3,9,004,144,0020,2026,,,2777,,S,KIHEI,RD,UNIT,B206,,C396
2,3,9,004,144,0021,2026,,,2777,,S,KIHEI,RD,UNIT,B207,,C396
2,3,9,004,144,0022,2026,,,2777,,S,KIHEI,RD,UNIT,B208,,C396
2,3,9,004,144,0023,2026,,,2777,,S,KIHEI,RD,UNIT,B209,,C396
2,3,9,004,144,0024,2026,,,2777,,S,KIHEI,RD,UNIT,B210,,C396
2,3,9,004,144,0025,2026,,,2777,,S,KIHEI,RD,UNIT,B211,,C396
2,3,9,004,144,0026,2026,,,2777,,S,KIHEI,RD,UNIT,B212,,C396
2,3,9,004,144,0027,2026,,,2777,,S,KIHEI,RD,UNIT,B214,,C396
2,3,9,004,144,0028,2026,,,2777,,S,KIHEI,RD,UNIT,B215,,C396
2,3,9,004,144,0029,2026,,,2777,,S,KIHEI,RD,UNIT,C101,,C396
2,3,9,004,144,0030,2026,,,2777,,S,KIHEI,RD,UNIT,C102,,C396
2,3,9,004,144,0031,2026,,,2777,,S,KIHEI,RD,UNIT,C103,,C396
2,3,9,004,144,0032,2026,,,2777,,S,KIHEI,RD,UNIT,C104,,C396
2,3,9,004,144,0033,2026,,,2777,,S,KIHEI,RD,UNIT,C105,,C396
2,3,9,004,144,0034,2026,,,2777,,S,KIHEI,RD,UNIT,C106,,C396
2,3,9,004,144,0035,2026,,,2777,,S,KIHEI,RD,UNIT,C107,,C396
2,3,9,004,144,0036,2026,,,2777,,S,KIHEI,RD,UNIT,C108,,C396
2,3,9,004,144,0037,2026,,,2777,,S,KIHEI,RD,UNIT,C109,,C396
2,3,9,004,144,0038,2026,,,2777,,S,KIHEI,RD,UNIT,C110,,C396
2,3,9,004,144,0039,2026,,,2777,,S,KIHEI,RD,UNIT,C201,,C396
2,3,9,004,144,0040,2026,,,2777,,S,KIHEI,RD,UNIT,C202,,C396
2,3,9,004,144,0041,2026,,,2777,,S,KIHEI,RD,UNIT,C203,,C396
2,3,9,004,144,0042,2026,,,2777,,S,KIHEI,RD,UNIT,C204,,C396
2,3,9,004,144,0043,2026,,,2777,,S,KIHEI,RD,UNIT,C205,,C396
2,3,9,004,144,0044,2026,,,2777,,S,KIHEI,RD,UNIT,C206,,C396
2,3,9,004,144,0045,2026,,,2777,,S,KIHEI,RD,UNIT,C207,,C396
2,3,9,004,144,0046,2026,,,2777,,S,KIHEI,RD,UNIT,C208,,C396
2,3,9,004,144,0047,2026,,,2777,,S,KIHEI,RD,UNIT,C209,,C396
2,3,9,004,144,0048,2026,,,2777,,S,KIHEI,RD,UNIT,C210,,C396
