DIVISION - TMK,ZONE - TMK,SECTION - TMK,PLAT - TMK,PARCEL - TMK,CPR - TMK,PARCEL YEAR,MULTIPLE CLASS FLAG,STREET NUMBER PRE,STREET NUMBER,ADDITIONAL STREET NUMBER,STREET DIRECTION,STREET,STREET NAME SUFFIX,UNIT DESCRIPTION,UNIT,PARCEL ACRES,NEIGHBORHOOD CODE
2,3,9,004,082,0000,2026,,,2777,,S,KIHEI,RD,UNIT,C396,000000000023.3200,3923-2
2,3,9,004,082,0001,2026,,,2777,,S,KIHEI,RD,UNIT,G 101,,C396
2,3,9,004,082,0002,2026,,,2777,,S,KIHEI,RD,UNIT,G 102,,C396
2,3,9,004,082,0003,2026,,,2777,,S,KIHEI,RD,UNIT,G 103,,C396
2,3,9,004,082,0004,2026,,,2777,,S,KIHEI,RD,UNIT,G 104,,C396
2,3,9,004,082,0005,2026,,,2777,,S,KIHEI,RD,UNIT,G 105,,C396
2,3,9,004,082,0006,2026,,,2777,,S,KIHEI,RD,UNIT,G 106,,C396
2,3,9,004,082,0007,2026,,,2777,,S,KIHEI,RD,UNIT,G 107,,C396
2,3,9,004,082,0008,2026,,,2777,,S,KIHEI,RD,UNIT,G 108,,C396
2,3,9,004,082,0009,2026,,,2777,,S,KIHEI,RD,UNIT,G 109,,C396
2,3,9,004,082,0010,2026,,,2777,,S,KIHEI,RD,UNIT,G 110,,C396
2,3,9,004,082,0011,2026,,,2777,,S,KIHEI,RD,UNIT,G 111,,C396
2,3,9,004,082,0012,2026,,,2777,,S,KIHEI,RD,UNIT,G 112,,C396
2,3,9,004,082,0013,2026,,,2777,,S,KIHEI,RD,UNIT,G 114,,C396
2,3,9,004,082,0014,2026,,,2777,,S,KIHEI,RD,UNIT,G 115,,C396
2,3,9,004,082,0015,2026,,,2777,,S,KIHEI,RD,UNIT,G 201,,C396
2,3,9,004,082,0016,2026,,,2777,,S,KIHEI,RD,UNIT,G 202,,C396
2,3,9,004,082,0017,2026,,,2777,,S,KIHEI,RD,UNIT,G 203,,C396
2,3,9,004,082,0018,2026,,,2777,,S,KIHEI,RD,UNIT,G 204,,C396
2,3,9,004,082,0019,2026,,,2777,,S,KIHEI,RD,UNIT,G 205,,C396
2,3,9,004,082,0020,2026,,,2777,,S,KIHEI,RD,UNIT,G 206,,C396
2,3,9,004,082,0021,2026,,,2777,,S,KIHEI,RD,UNIT,G 207,,C396
2,3,9,004,082,0022,2026,,,2777,,S,KIHEI,RD,UNIT,G 208,,C396
2,3,9,004,082,0023,2026,,,2777,,S,KIHEI,RD,UNIT,G 209,,C396
2,3,9,004,082,0024,2026,,,2777,,S,KIHEI,RD,UNIT,G 210,,C396
2,3,9,004,082,0025,2026,,,2777,,S,KIHEI,RD,UNIT,G 211,,C396
2,3,9,004,082,0026,2026,,,2777,,S,KIHEI,RD,UNIT,G 212,,C396
2,3,9,004,082,0027,2026,,,2777,,S,KIHEI,RD,UNIT,G 214,,C396
2,3,9,004,082,0028,2026,,,2777,,S,KIHEI,RD,UNIT,G 215,,C396
2,3,9,004,082,0029,2026,,,2777,,S,KIHEI,RD,UNIT,H 101,,C396
2,3,9,004,082,0030,2026,,,2777,,S,KIHEI,RD,UNIT,H 102,,C396
2,3,9,004,082,0031,2026,,,2777,,S,KIHEI,RD,UNIT,H 103,,C396
2,3,9,004,082,0032,2026,,,2777,,S,KIHEI,RD,UNIT,H 104,,C396
2,3,9,004,082,0033,2026,,,2777,,S,KIHEI,RD,UNIT,H 105,,C396
2,3,9,004,082,0034,2026,,,2777,,S,KIHEI,RD,UNIT,H 106,,C396
2,3,9,004,082,0035,2026,,,2777,,S,KIHEI,RD,UNIT,H 107,,C396
2,3,9,004,082,0036,2026,,,2777,,S,KIHEI,RD,UNIT,H 108,,C396
2,3,9,004,082,0037,2026,,,2777,,S,KIHEI,RD,UNIT,H 109,,C396
2,3,9,004,082,0038,2026,,,2777,,S,KIHEI,RD,UNIT,H 110,,C396
2,3,9,004,082,0039,2026,,,2777,,S,KIHEI,RD,UNIT,H 111,,C396
2,3,9,004,082,0040,2026,,,2777,,S,KIHEI,RD,UNIT,H 112,,C396
2,3,9,004,082,0041,2026,,,2777,,S,KIHEI,RD,UNIT,H 201,,C396
2,3,9,004,082,0042,2026,,,2777,,S,KIHEI,RD,UNIT,H 202,,C396
2,3,9,004,082,0043,2026,,,2777,,S,KIHEI,RD,UNIT,H 203,,C396
2,3,9,004,082,0044,2026,,,2777,,S,KIHEI,RD,UNIT,H 204,,C396
2,3,9,004,082,0045,2026,,,2777,,S,KIHEI,RD,UNIT,H 205,,C396
2,3,9,004,082,0046,2026,,,2777,,S,KIHEI,RD,UNIT,H 206,,C396
2,3,9,004,082,0047,2026,,,2777,,S,KIHEI,RD,UNIT,H 207,,C396
2,3,9,004,082,0048,2026,,,2777,,S,KIHEI,RD,UNIT,H 208,,C396
2,3,9,004,082,0049,2026,,,2777,,S,KIHEI,RD,UNIT,H 209,,C396
2,3,9,004,082,0050,2026,,,2777,,S,KIHEI,RD,UNIT,H 210,,C396
2,3,9,004,082,0051,2026,,,2777,,S,KIHEI,RD,UNIT,H 211,,C396
2,3,9,004,082,0052,2026,,,2777,,S,KIHEI,RD,UNIT,H 212,,C396
2,3,9,004,082,0053,2026,,,2777,,S,KIHEI,RD,UNIT,I 101,,C396
2,3,9,004,082,0054,2026,,,2777,,S,KIHEI,RD,UNIT,I 102,,C396
2,3,9,004,082,0055,2026,,,2777,,S,KIHEI,RD,UNIT,I 103,,C396
2,3,9,004,082,0056,2026,,,2777,,S,KIHEI,RD,UNIT,I 104,,C396
2,3,9,004,082,0057,2026,,,2777,,S,KIHEI,RD,UNIT,I 105,,C396
2,3,9,004,082,0058,2026,,,2777,,S,KIHEI,RD,UNIT,I 106,,C396
2,3,9,004,082,0059,2026,,,2777,,S,KIHEI,RD,UNIT,I 107,,C396
2,3,9,004,082,0060,2026,,,2777,,S,KIHEI,RD,UNIT,I 108,,C396
2,3,9,004,082,0061,2026,,,2777,,S,KIHEI,RD,UNIT,I 109,,C396
2,3,9,004,082,0062,2026,,,2777,,S,KIHEI,RD,UNIT,I 110,,C396
2,3,9,004,082,0063,2026,,,2777,,S,KIHEI,RD,UNIT,I 111,,C396
2,3,9,004,082,0064,2026,,,2777,,S,KIHEI,RD,UNIT,I 112,,C396
2,3,9,004,082,0065,2026,,,2777,,S,KIHEI,RD,UNIT,I 114,,C396
2,3,9,004,082,0066,2026,,,2777,,S,KIHEI,RD,UNIT,I 115,,C396
2,3,9,004,082,0067,2026,,,2777,,S,KIHEI,RD,UNIT,I 116,,C396
2,3,9,004,082,0068,2026,,,2777,,S,KIHEI,RD,UNIT,I 117,,C396
2,3,9,004,082,0069,2026,,,2777,,S,KIHEI,RD,UNIT,I 118,,C396
2,3,9,004,082,0070,2026,,,2777,,S,KIHEI,RD,UNIT,I 119,,C396
2,3,9,004,082,0071,2026,,,2777,,S,KIHEI,RD,UNIT,I 201,,C396
2,3,9,004,082,0072,2026,,,2777,,S,KIHEI,RD,UNIT,I 202,,C396
2,3,9,004,082,0073,2026,,,2777,,S,KIHEI,RD,UNIT,I 203,,C396
2,3,9,004,082,0074,2026,,,2777,,S,KIHEI,RD,UNIT,I 204,,C396
2,3,9,004,082,0075,2026,,,2777,,S,KIHEI,RD,UNIT,I 205,,C396
2,3,9,004,082,0076,2026,,,2777,,S,KIHEI,RD,UNIT,I 206,,C396
2,3,9,004,082,0077,2026,,,2777,,S,KIHEI,RD,UNIT,I 207,,C396
2,3,9,004,082,0078,2026,,,2777,,S,KIHEI,RD,UNIT,I 208,,C396
2,3,9,004,082,0079,2026,,,2777,,S,KIHEI,RD,UNIT,I 209,,C396
2,3,9,004,082,0080,2026,,,2777,,S,KIHEI,RD,UNIT,I 210,,C396
2,3,9,004,082,0081,2026,,,2777,,S,KIHEI,RD,UNIT,I 211,,C396
2,3,9,004,082,0082,2026,,,2777,,S,KIHEI,RD,UNIT,I 212,,C396
2,3,9,004,082,0083,2026,,,2777,,S,KIHEI,RD,UNIT,I 214,,C396
2,3,9,004,082,0084,2026,,,2777,,S,KIHEI,RD,UNIT,I 215,,C396
2,3,9,004,082,0085,2026,,,2777,,S,KIHEI,RD,UNIT,I 216,,C396
2,3,9,004,082,0086,2026,,,2777,,S,KIHEI,RD,UNIT,I 217,,C396
2,3,9,004,082,0087,2026,,,2777,,S,KIHEI,RD,UNIT,I 218,,C396
2,3,9,004,082,0088,2026,,,2777,,S,KIHEI,RD,UNIT,I 219,,C396
2,3,9,004,082,0089,2026,,,2777,,S,KIHEI,RD,UNIT,D 101,,C396
2,3,9,004,082,0090,2026,,,2777,,S,KIHEI,RD,UNIT,D 102,,C396
