DIVISION-TMK,ZONE - TMK,SECTION - TMK,PLAT - TMK,PARCEL - TMK,CPR - TMK,PARCEL YEAR,LAND CLASS,TAX RATE CLASS,ASSESSED LAND VALUE,LAND EXEMPTION,ASSESSED BUILDING VALUE,BUILDING EXEMPTION
2,2,1,008,082,0000,2026,11,11,000014587100,000000000000,000000000000,000000000000
2,2,1,008,082,0001,2026,11,11,000000106000,000000000000,000001151000,000000000000
2,2,1,008,082,0002,2026,11,11,000000094300,000000000000,000001325400,000000000000
2,2,1,008,082,0003,2026,11,11,000000106000,000000000000,000001151000,000000000000
2,2,1,008,082,0004,2026,11,11,000000094300,000000000000,000001177800,000000000000
2,2,1,008,082,0005,2026,11,11,000000095100,000000000000,000000989700,000000000000
2,2,1,008,082,0006,2026,11,11,000000083400,000000000000,000001012300,000000000000
2,2,1,008,082,0007,2026,11,11,000000106000,000000000000,000001298600,000000000000
2,2,1,008,082,0008,2026,12,12,000000094300,000000000000,000001177800,000000200000
2,2,1,008,082,0009,2026,11,11,000000101400,000000000000,000001184500,000000000000
2,2,1,008,082,0010,2026,11,11,000000096600,000000000000,000001305700,000000000000
2,2,1,008,082,0011,2026,11,11,000000095100,000000000000,000000989700,000000000000
2,2,1,008,082,0012,2026,11,11,000000083400,000000000000,000001012300,000000000000
2,2,1,008,082,0013,2026,11,11,000000095100,000000000000,000000989700,000000000000
2,2,1,008,082,0014,2026,11,11,000000083400,000000000000,000001012300,000000000000
2,2,1,008,082,0015,2026,11,11,000000106000,000000000000,000001151000,000000000000
2,2,1,008,082,0016,2026,11,11,000000094300,000000000000,000001177800,000000000000
2,2,1,008,082,0017,2026,11,11,000000101400,000000000000,000001184500,000000000000
2,2,1,008,082,0018,2026,11,11,000000096600,000000000000,000001305700,000000000000
2,2,1,008,082,0019,2026,11,11,000000095100,000000000000,000000989700,000000000000
2,2,1,008,082,0020,2026,11,11,000000083400,000000000000,000001012300,000000000000
2,2,1,008,082,0021,2026,11,11,000000095100,000000000000,000000989700,000000000000
2,2,1,008,082,0022,2026,11,9,000000083400,000000000000,000001012300,000000300000
2,2,1,008,082,0023,2026,11,11,000000101400,000000000000,000001184500,000000000000
2,2,1,008,082,0024,2026,11,11,000000096600,000000000000,000001305700,000000000000
2,2,1,008,082,0025,2026,11,11,000000095100,000000000000,000000989700,000000000000
2,2,1,008,082,0026,2026,11,11,000000083400,000000000000,000001012300,000000000000
2,2,1,008,082,0027,2026,11,11,000000106000,000000000000,000001151000,000000000000
2,2,1,008,082,0028,2026,11,11,000000094300,000000000000,000001177800,000000000000
2,2,1,008,082,0029,2026,11,11,000000106000,000000000000,000001151000,000000000000
2,2,1,008,082,0030,2026,11,11,000000094300,000000000000,000001177800,000000000000
2,2,1,008,082,0031,2026,11,11,000000101400,000000000000,000000863500,000000000000
2,2,1,008,082,0032,2026,11,9,000000096600,000000000000,000000973600,000000300000
2,2,1,008,082,0033,2026,11,11,000000106000,000000000000,000000843900,000000000000
2,2,1,008,082,0034,2026,11,11,000000094300,000000000000,000001008400,000000000000
2,2,1,008,082,0035,2026,11,11,000000106000,000000000000,000000843900,000000000000
2,2,1,008,082,0036,2026,11,11,000000094300,000000000000,000000869800,000000000000
2,2,1,008,082,0037,2026,11,11,000000106000,000000000000,000000843900,000000000000
2,2,1,008,082,0038,2026,11,11,000000094300,000000000000,000000869800,000000000000
2,2,1,008,082,0039,2026,11,11,000000095100,000000000000,000000730700,000000000000
2,2,1,008,082,0040,2026,11,11,000000083400,000000000000,000000753400,000000000000
2,2,1,008,082,0041,2026,11,11,000000095100,000000000000,000001110900,000000000000
2,2,1,008,082,0042,2026,11,11,000000083400,000000000000,000001012300,000000000000
2,2,1,008,082,0043,2026,11,11,000000106000,000000000000,000001151000,000000000000
2,2,1,008,082,0044,2026,11,11,000000094300,000000000000,000001177800,000000000000
2,2,1,008,082,0045,2026,11,11,000000106000,000000000000,000001151000,000000000000
2,2,1,008,082,0046,2026,11,11,000000094300,000000000000,000001177800,000000000000
2,2,1,008,082,0047,2026,11,11,000000095100,000000000000,000000989700,000000000000
2,2,1,008,082,0048,2026,11,11,000000083400,000000000000,000001012300,000000000000
2,2,1,008,082,0049,2026,11,11,000000106000,000000000000,000001151000,000000000000
2,2,1,008,082,0050,2026,11,11,000000094300,000000000000,000001177800,000000000000
2,2,1,008,082,0051,2026,11,11,000000106000,000000000000,000001151000,000000000000
2,2,1,008,082,0052,2026,11,11,000000094300,000000000000,000001177800,000000000000
2,2,1,008,082,0053,2026,11,11,000000095100,000000000000,000000989700,000000000000
2,2,1,008,082,0054,2026,11,11,000000083400,000000000000,000001012300,000000000000
2,2,1,008,082,0055,2026,11,11,000000106000,000000000000,000001151000,000000000000
2,2,1,008,082,0056,2026,11,11,000000094300,000000000000,000001177800,000000000000
2,2,1,008,082,0057,2026,11,11,000000106000,000000000000,000001151000,000000000000
2,2,1,008,082,0058,2026,11,11,000000094300,000000000000,000001177800,000000000000
2,2,1,008,082,0059,2026,11,11,000000101400,000000000000,000001184500,000000000000
2,2,1,008,082,0060,2026,11,11,000000096600,000000000000,000001305700,000000000000
2,2,1,008,082,0061,2026,11,11,000000106000,000000000000,000001172200,000000000000
2,2,1,008,082,0062,2026,11,11,000000094300,000000000000,000001538700,000000000000
2,2,1,008,082,0063,2026,11,11,000000095100,000000000000,000001012400,000000000000
2,2,1,008,082,0064,2026,11,11,000000083400,000000000000,000001315900,000000000000
2,2,1,008,082,0065,2026,11,11,000000106000,000000000000,000001172200,000000000000
2,2,1,008,082,0066,2026,11,11,000000094300,000000000000,000001538700,000000000000
2,2,1,008,082,0067,2026,11,11,000000095500,000000000000,000001012300,000000000000
2,2,1,008,082,0068,2026,11,11,000000086600,000000000000,000001315300,000000000000
2,2,1,008,082,0069,2026,11,11,000000101400,000000000000,000001206500,000000000000
2,2,1,008,082,0070,2026,11,11,000000096600,000000000000,000001642500,000000000000
2,2,1,008,082,0071,2026,11,11,000000101400,000000000000,000001206500,000000000000
2,2,1,008,082,0072,2026,11,11,000000096600,000000000000,000001642500,000000000000
2,2,1,008,082,0073,2026,11,11,000000106000,000000000000,000001151000,000000000000
2,2,1,008,082,0074,2026,11,11,000000094300,000000000000,000001198600,000000000000
2,2,1,008,082,0075,2026,11,11,000000106000,000000000000,000001151000,000000000000
2,2,1,008,082,0076,2026,11,11,000000094300,000000000000,000001177800,000000000000
2,2,1,008,082,0077,2026,11,11,000000106000,000000000000,000001151000,000000000000
2,2,1,008,082,0078,2026,11,11,000000094300,000000000000,000001177800,000000000000
2,2,1,008,082,0079,2026,11,11,000000095100,000000000000,000000989700,000000000000
2,2,1,008,082,0080,2026,11,11,000000083400,000000000000,000001012300,000000000000
2,2,1,008,082,0081,2026,11,11,000000101400,000000000000,000001184500,000000000000
