DIVISION - TMK,ZONE - TMK,SECTION - TMK,PLAT - TMK,PARCEL - TMK,CPR - TMK,TAX YEAR,ACRES,SQFT,LEGAL DESCRIPTION
2,2,1,008,082,0000,2026,16.7270,,LOT 98   MAP 26   LCAPP 1804   16.727 AC
2,2,1,008,082,0001,2026,,,APT 101   THE PALMS AT WAILEA   CM 725   UND 0.726897 PERCENTAGE INT IN ALL COMMON ELEMENTS INCL THE LAND
2,2,1,008,082,0002,2026,,,APT 102   THE PALMS AT WAILEA   CM 725 UND 0.64664% INT IN COMM ELEM INCL LAND
2,2,1,008,082,0003,2026,,,"APT 103 ""THE PALMS AT WAILEA"" CONDO MAP 725 UND 0.726897% INT IN ALL COMMON ELEMENTS INCL THE LAND"
2,2,1,008,082,0004,2026,,,APT 104   THE PALMS @ WAILEA   CONDO MAP 725 UND 0.646664% INT IN COMMON ELEMENTS INCL LAND
2,2,1,008,082,0005,2026,,,APT 201   THE PALMS AT WAILEA   CM 725 UND 0.651896% INT IN COMM ELEM INCL LAND
2,2,1,008,082,0006,2026,,,APT 202   THE PALMS AT WAILEA   CM 725 UND 0.571663% INT IN COMM ELEM INCL LAND
2,2,1,008,082,0007,2026,,,APT 203   THE PALMS AT WAILEA   CM 725 UND 0.726897% INT IN COMM ELEM INCL LAND
2,2,1,008,082,0008,2026,,,APT 204   THE PALMS AT WAILEA   CONDO MAP 725 AN UND 0.646664% INT IN ALL COMMON ELEMENTS INCL THE LAND
2,2,1,008,082,0009,2026,,,APT 205   THE PALMS AT WAILEA   CONDO MAP 725 UND .695065% INT IN ALL COMMON ELEMENTS INCL THE LAND
2,2,1,008,082,0010,2026,,,APT 206   THE PALMS AT WAILEA   CONDO MAP 725 UND 0.661925% INT IN ALL COMMON ELEMENTS INCLUDING THE LAND
2,2,1,008,082,0011,2026,,,UNIT 207   PALMS AT WAILEA   CM 725 UND .651896% INT IN COMM ELEM INCL THE LAND
2,2,1,008,082,0012,2026,,,APT 208   THE PALMS AT WAILEA   CM 725 UND 0.571663% INT IN COMM ELEM INCL LAND
2,2,1,008,082,0013,2026,,,APT 301   THE PALMS AT WAILEA   CM 725 UND 0.651896% INT IN COMM ELEM INCL LAND
2,2,1,008,082,0014,2026,,,APT 302   THE PALMS AT WAILEA   CONDO MAP 725 UND 0.571663% INT IN ALL COMMON ELEMENTS & IN THE LAND
