DIVISION - TMK,ZONE - TMK,SECTION - TMK,PLAT - TMK,PARCEL - TMK,CPR - TMK,PARCEL YEAR,MULTIPLE CLASS FLAG,STREET NUMBER PRE,STREET NUMBER,ADDITIONAL STREET NUMBER,STREET DIRECTION,STREET,STREET NAME SUFFIX,UNIT DESCRIPTION,UNIT,PARCEL ACRES,NEIGHBORHOOD CODE
2,2,1,008,082,0000,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,C221,000000000016.7270,2185-2
2,2,1,008,082,0001,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,101,,C221
2,2,1,008,082,0002,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,102,,C221
2,2,1,008,082,0003,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,103,,C221
2,2,1,008,082,0004,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,104,,C221
2,2,1,008,082,0005,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,201,,C221
2,2,1,008,082,0006,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,202,,C221
2,2,1,008,082,0007,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,203,,C221
2,2,1,008,082,0008,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,204,,C221
2,2,1,008,082,0009,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,205,,C221
2,2,1,008,082,0010,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,206,,C221
2,2,1,008,082,0011,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,207,,C221
2,2,1,008,082,0012,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,208,,C221
2,2,1,008,082,0013,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,301,,C221
2,2,1,008,082,0014,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,302,,C221
2,2,1,008,082,0015,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,303,,C221
2,2,1,008,082,0016,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,304,,C221
2,2,1,008,082,0017,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,305,,C221
2,2,1,008,082,0018,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,306,,C221
2,2,1,008,082,0019,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,307,,C221
2,2,1,008,082,0020,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,308,,C221
2,2,1,008,082,0021,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,401,,C221
2,2,1,008,082,0022,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,402,,C221
2,2,1,008,082,0023,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,403,,C221
2,2,1,008,082,0024,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,404,,C221
2,2,1,008,082,0025,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,405,,C221
2,2,1,008,082,0026,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,406,,C221
2,2,1,008,082,0027,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,501,,C221
2,2,1,008,082,0028,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,502,,C221
2,2,1,008,082,0029,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,503,,C221
2,2,1,008,082,0030,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,504,,C221
2,2,1,008,082,0031,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,601,,C221
2,2,1,008,082,0032,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,602,,C221
2,2,1,008,082,0033,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,603,,C221
2,2,1,008,082,0034,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,604,,C221
2,2,1,008,082,0035,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,605,,C221
2,2,1,008,082,0036,2026,,,3200,,,WAILEA ALANUI,DR,UNIT,606,,C221
