DIVISION - TMK,ZONE - TMK,SECTION - TMK,PLAT - TMK,PARCEL - TMK,CPR - TMK,TAX YEAR,ACRES,SQFT,LEGAL DESCRIPTION
2,2,1,008,083,0000,2026,14.5000,,"LOT 99   MAP 26   LCAPP 1804   14.5 AC SUBJ/ESMTS 91, 92, 93, 145, 146, 224 & 306"
2,2,1,008,083,0001,2026,,,
2,2,1,008,083,0002,2026,,,
2,2,1,008,083,0003,2026,,,APT 2403   THE PALMS AT WAILEA - PH 2   CM 841   TOG/PS UND 0.822625% INT IN COMM ELEM & LAND
2,2,1,008,083,0004,2026,,,APT 2404   PALMS AT WAILEA-PH 2   CM 841   TOG/PS UND 0.731825% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0005,2026,,,APT 2405   THE PALMS OF WAILEA - PH 2   CM 841 UND 0.822625% INT IN COMM ELEM AND LAND
2,2,1,008,083,0006,2026,,,APT 2406   PALMS AT WAILEA-PHASE 2   CM 841 UND 0.731825% INT IN ALL COMM ELEM INCL LAND
2,2,1,008,083,0007,2026,,,
2,2,1,008,083,0008,2026,,,
2,2,1,008,083,0009,2026,,,APT 2501   THE PALMS AT WAILEA- PHASE 2   CM 841 UND 0.737747% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0010,2026,,,
2,2,1,008,083,0011,2026,,,
2,2,1,008,083,0012,2026,,,
2,2,1,008,083,0013,2026,,,
2,2,1,008,083,0014,2026,,,
2,2,1,008,083,0015,2026,,,APT 2507   THE PALMS AT WAILEA-PH2   CM 841 UND 0.822625% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0016,2026,,,APT 2508   THE PALMS AT WAILEA - PH 2   CM 841 UND 0.731825% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0017,2026,,,
2,2,1,008,083,0018,2026,,,
2,2,1,008,083,0019,2026,,,APT 2603   THE PALMS AT WAILEA-PH 2   CM 841 UND 0.822625% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0020,2026,,,
2,2,1,008,083,0021,2026,,,APT 2605   THE PALMS OF WAILEA - PH 2   CM 841 UND 0.822625% INT IN COMM ELEM AND LAND
2,2,1,008,083,0022,2026,,,APT 2606   THE PALMS AT WAILEA-PH2   CM 841   TOG/PS UND 0.731825% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0023,2026,,,
2,2,1,008,083,0024,2026,,,APT 2608   THE PALMS AT WAILEA - PH 2   CM 841   TOG/PS UND 0.731825% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0025,2026,,,
2,2,1,008,083,0026,2026,,,APT NO 2702   THE PALMS AT WAILEA - PHASE 2   CM 841 UND 0.646947% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0027,2026,,,APT 2703   PALMS AT WAILEA-PHASE 2   CM 841   TOG/PS UND 0.822625% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0028,2026,,,
2,2,1,008,083,0029,2026,,,
2,2,1,008,083,0030,2026,,,APT 2706   THE PALMS AT WAILEA-PH 2   CM 841   TOG/PS UND 0.731825% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0031,2026,,,APT 2707   THE PALMS AT WAILEA - PH 2   CM 841 UND 0.822625% INT IN COMM ELEM AND LAND
2,2,1,008,083,0032,2026,,,APT 2708   THE PALMS AT WAILEA - PH 2   CM 841 UND 0.731825% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0033,2026,,,
2,2,1,008,083,0034,2026,,,
2,2,1,008,083,0035,2026,,,APT 2803   THE PALMS AT WAILEA-PH2   CM 841   TOG/PS UND 1.137957% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0036,2026,,,APT 2804   PALMS AT WAILEA-PH 2   CM 841 UND 1.074792% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0037,2026,,,APT 2805   THE PALMS AT WAILEA-PH 2   CM 841 UND 0.981524% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0038,2026,,,
2,2,1,008,083,0039,2026,,,
2,2,1,008,083,0040,2026,,,
2,2,1,008,083,0041,2026,,,
2,2,1,008,083,0042,2026,,,
2,2,1,008,083,0043,2026,,,APT 2903   THE PALMS AT WAILEA-PHASE 2   CM 841 UND 1.137957% INT IN COMM ELEM & LAND
2,2,1,008,083,0044,2026,,,APT 2904 THE PALMS AT WAILEA-PHASE 2 CM 841 UND 1.074792% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0045,2026,,,
2,2,1,008,083,0046,2026,,,
2,2,1,008,083,0047,2026,,,APT 2907   THE PALMS AT WAILEA-PH2   CM 841 UND 0.981524 INT IN COMM ELEM INCL LAND
2,2,1,008,083,0048,2026,,,
2,2,1,008,083,0049,2026,,,
2,2,1,008,083,0050,2026,,,
2,2,1,008,083,0051,2026,,,APT 3003   THE PALMS AT WAILEA-PH 2   CM 841   TOG/PS UND 0.822625% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0052,2026,,,
2,2,1,008,083,0053,2026,,,
2,2,1,008,083,0054,2026,,,
2,2,1,008,083,0055,2026,,,
2,2,1,008,083,0056,2026,,,
2,2,1,008,083,0057,2026,,,APT 3101   THE PALMS AT WAILEA-PH 2   CM 841 UND 0.981524% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0058,2026,,,
2,2,1,008,083,0059,2026,,,APT 3103   THE PALMS AT WAILEA-PHASE 2   CM 841   TOG/PS UND 0.981524% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0060,2026,,,
2,2,1,008,083,0061,2026,,,
2,2,1,008,083,0062,2026,,,APT 3106   PALMS AT WAILEA-PH 2   CM 841   TOG/PS UND 1.074792% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0063,2026,,,
2,2,1,008,083,0064,2026,,,APT 3108   THE PALMS AT WAILEA-PH 2   CM 841 UND 0.924281% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0065,2026,,,APT 3201   THE PALMS AT WAILEA - PH 2   CM 841 UND 0.981524% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0066,2026,,,
2,2,1,008,083,0067,2026,,,APT 3203   THE PALMS AT WAILEA-PH 2   CM 841 UND 1.13795% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0068,2026,,,
2,2,1,008,083,0069,2026,,,
2,2,1,008,083,0070,2026,,,APT 3206   THE PALMS AT WAILEA -PH 2   CM 841 UND 0.924281 PERCENTAGE INT IN COMM ELEM AND LAND
2,2,1,008,083,0071,2026,,,
2,2,1,008,083,0072,2026,,,APT 3208   THE PALMS AT WAILEA-PH2   CM 841 UND 0.924281% INT IN COMM ELEM AND LAND
2,2,1,008,083,0073,2026,,,
2,2,1,008,083,0074,2026,,,
2,2,1,008,083,0075,2026,,,
2,2,1,008,083,0076,2026,,,
2,2,1,008,083,0077,2026,,,
2,2,1,008,083,0078,2026,,,APT NO 3306   THE PALMS AT WAILEA - PH 2   CM 841 UND 0.731825% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0079,2026,,,APT 3307   THE PALMS AT WAILEA-PH 2   CM 841   TOG/ PS UND 0.786601% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0080,2026,,,APT 3308   PALMS AT WAILEA-PH 2   CM 841 UND 0.749097 PERCENTAGE INT IN ALL COMM ELEM INCL LAND
2,2,1,008,083,0081,2026,,,APT 3401   PALMS AT WAILEA - PH 2   CM 841 UND 0.981524% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0082,2026,,,
2,2,1,008,083,0083,2026,,,
2,2,1,008,083,0084,2026,,,
2,2,1,008,083,0085,2026,,,
2,2,1,008,083,0086,2026,,,APT 3406   THE PALMS AT WAILEA-PHASE 2   CM 841 UND 1.074792% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0087,2026,,,APT 3407   PALMS AT WAILEA-PH2   CM 841 UND 0.981524 PERCENTAGE INT IN COMM ELEM INCL LAND
2,2,1,008,083,0088,2026,,,
2,2,1,008,083,0089,2026,,,
2,2,1,008,083,0090,2026,,,
2,2,1,008,083,0091,2026,,,
2,2,1,008,083,0092,2026,,,
2,2,1,008,083,0093,2026,,,
2,2,1,008,083,0094,2026,,,
2,2,1,008,083,0095,2026,,,
2,2,1,008,083,0096,2026,,,APT 3508   THE PALMS AT WAILEA-PHASE 2   CM 841 UND 0.731825% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0097,2026,,,
2,2,1,008,083,0098,2026,,,
2,2,1,008,083,0099,2026,,,APT 3603   THE PALMS AT WAILEA - PH 2   CM 841   TOG/PS UND 0.822625% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0100,2026,,,
2,2,1,008,083,0101,2026,,,
2,2,1,008,083,0102,2026,,,
2,2,1,008,083,0103,2026,,,
2,2,1,008,083,0104,2026,,,APT 3608   THE PALMS OF WAILEA- PH 2   CM 841 UND 0.646947% INT IN COMM ELEM INCL LAND
2,2,1,008,083,0105,2026,,,
2,2,1,008,083,0106,2026,,,
2,2,1,008,083,0107,2026,,,
