DIVISION - TMK,ZONE - TMK,SECTION - TMK,PLAT - TMK,PARCEL - TMK,CPR - TMK,PARCEL YEAR,MULTIPLE CLASS FLAG,STREET NUMBER PRE,STREET NUMBER,ADDITIONAL STREET NUMBER,STREET DIRECTION,STREET,STREET NAME SUFFIX,UNIT DESCRIPTION,UNIT,PARCEL ACRES,NEIGHBORHOOD CODE
2,2,1,008,083,0000,2026,,,3150,,,WAILEA ALANUI,,UNIT,C228,000000000014.5000,2185-2
2,2,1,008,083,0001,2026,,,3150,,,WAILEA ALANUI,,UNIT,2401,,C228
2,2,1,008,083,0002,2026,,,3150,,,WAILEA ALANUI,,UNIT,2402,,C228
2,2,1,008,083,0003,2026,,,3150,,,WAILEA ALANUI,,UNIT,2403,,C228
2,2,1,008,083,0004,2026,,,3150,,,WAILEA ALANUI,DR,UNIT,2404,,C228
2,2,1,008,083,0005,2026,,,3150,,,WAILEA ALANUI,,UNIT,2405,,C228
2,2,1,008,083,0006,2026,,,3150,,,WAILEA ALANUI,,UNIT,2406,,C228
2,2,1,008,083,0007,2026,,,3150,,,WAILEA ALANUI,,UNIT,2407,,C228
2,2,1,008,083,0008,2026,,,3150,,,WAILEA ALANUI,,UNIT,2408,,C228
2,2,1,008,083,0009,2026,,,3150,,,WAILEA ALANUI,,UNIT,2501,,C228
2,2,1,008,083,0010,2026,,,3150,,,WAILEA ALANUI,,UNIT,2502,,C228
2,2,1,008,083,0011,2026,,,3150,,,WAILEA ALANUI,,UNIT,2503,,C228
2,2,1,008,083,0012,2026,,,3150,,,WAILEA ALANUI,,UNIT,2504,,C228
2,2,1,008,083,0013,2026,,,3150,,,WAILEA ALANUI,,UNIT,2505,,C228
2,2,1,008,083,0014,2026,,,3200,,,WAILEA ALANUI,,UNIT,2506,,C228
2,2,1,008,083,0015,2026,,,3150,,,WAILEA ALANUI,,UNIT,2507,,C228
2,2,1,008,083,0016,2026,,,3150,,,WAILEA ALANUI,,UNIT,2508,,C228
2,2,1,008,083,0017,2026,,,3150,,,WAILEA ALANUI,,UNIT,2601,,C228
2,2,1,008,083,0018,2026,,,3150,,,WAILEA ALANUI,,UNIT,2602,,C228
2,2,1,008,083,0019,2026,,,3150,,,WAILEA ALANUI,,UNIT,2603,,C228
2,2,1,008,083,0020,2026,,,3150,,,WAILEA ALANUI,,UNIT,2604,,C228
2,2,1,008,083,0021,2026,,,3150,,,WAILEA ALANUI,,UNIT,2605,,C228
2,2,1,008,083,0022,2026,,,3150,,,WAILEA ALANUI,,UNIT,2606,,C228
2,2,1,008,083,0023,2026,,,3150,,,WAILEA ALANUI,,UNIT,2607,,C228
2,2,1,008,083,0024,2026,,,3150,,,WAILEA ALANUI,,UNIT,2608,,C228
2,2,1,008,083,0025,2026,,,3150,,,WAILEA ALANUI,,UNIT,2701,,C228
2,2,1,008,083,0026,2026,,,3150,,,WAILEA ALANUI,,UNIT,2702,,C228
2,2,1,008,083,0027,2026,,,3150,,,WAILEA ALANUI,,UNIT,2703,,C228
2,2,1,008,083,0028,2026,,,3150,,,WAILEA ALANUI,,UNIT,2704,,C228
2,2,1,008,083,0029,2026,,,3150,,,WAILEA ALANUI,,UNIT,2705,,C228
2,2,1,008,083,0030,2026,,,3150,,,WAILEA ALANUI,,UNIT,2706,,C228
2,2,1,008,083,0031,2026,,,3150,,,WAILEA ALANUI,,UNIT,2707,,C228
2,2,1,008,083,0032,2026,,,3150,,,WAILEA ALANUI,,UNIT,2708,,C228
2,2,1,008,083,0033,2026,,,3150,,,WAILEA ALANUI,,UNIT,2801,,C228
2,2,1,008,083,0034,2026,,,3150,,,WAILEA ALANUI,,UNIT,2802,,C228
2,2,1,008,083,0035,2026,,,3150,,,WAILEA ALANUI,,UNIT,2803,,C228
2,2,1,008,083,0036,2026,,,3150,,,WAILEA ALANUI,,UNIT,2804,,C228
2,2,1,008,083,0037,2026,,,3150,,,WAILEA ALANUI,,UNIT,2805,,C228
2,2,1,008,083,0038,2026,,,3150,,,WAILEA ALANUI,,UNIT,2806,,C228
2,2,1,008,083,0039,2026,,,3150,,,WAILEA ALANUI,,UNIT,2807,,C228
2,2,1,008,083,0040,2026,,,3150,,,WAILEA ALANUI,,UNIT,2808,,C228
2,2,1,008,083,0041,2026,,,3150,,,WAILEA ALANUI,,UNIT,2901,,C228
2,2,1,008,083,0042,2026,,,3150,,,WAILEA ALANUI,DR,UNIT,2902,,C228
2,2,1,008,083,0043,2026,,,3150,,,WAILEA ALANUI,,UNIT,2903,,C228
2,2,1,008,083,0044,2026,,,3150,,,WAILEA ALANUI,,UNIT,2904,,C228
2,2,1,008,083,0045,2026,,,3150,,,WAILEA ALANUI,,UNIT,2905,,C228
2,2,1,008,083,0046,2026,,,3150,,,WAILEA ALANUI,,UNIT,2906,,C228
2,2,1,008,083,0047,2026,,,3150,,,WAILEA ALANUI,,UNIT,2907,,C228
2,2,1,008,083,0048,2026,,,3150,,,WAILEA ALANUI,,UNIT,2908,,C228
2,2,1,008,083,0049,2026,,,3150,,,WAILEA ALANUI,,UNIT,3001,,C228
2,2,1,008,083,0050,2026,,,3150,,,WAILEA ALANUI,,UNIT,3002,,C228
2,2,1,008,083,0051,2026,,,3150,,,WAILEA ALANUI,,UNIT,3003,,C228
2,2,1,008,083,0052,2026,,,3150,,,WAILEA ALANUI,,UNIT,3004,,C228
2,2,1,008,083,0053,2026,,,3150,,,WAILEA ALANUI,,UNIT,3005,,C228
2,2,1,008,083,0054,2026,,,3150,,,WAILEA ALANUI,,UNIT,3006,,C228
2,2,1,008,083,0055,2026,,,3150,,,WAILEA ALANUI,,UNIT,3007,,C228
2,2,1,008,083,0056,2026,,,3150,,,WAILEA ALANUI,,UNIT,3008,,C228
2,2,1,008,083,0057,2026,,,3150,,,WAILEA ALANUI,,UNIT,3101,,C228
2,2,1,008,083,0058,2026,,,3150,,,WAILEA ALANUI,,UNIT,3102,,C228
2,2,1,008,083,0059,2026,,,3150,,,WAILEA ALANUI,,UNIT,3103,,C228
2,2,1,008,083,0060,2026,,,3150,,,WAILEA ALANUI,,UNIT,3104,,C228
2,2,1,008,083,0061,2026,,,3150,,,WAILEA ALANUI,,UNIT,3105,,C228
2,2,1,008,083,0062,2026,,,3150,,,WAILEA ALANUI,,UNIT,3106,,C228
2,2,1,008,083,0063,2026,,,3150,,,WAILEA ALANUI,,UNIT,3107,,C228
2,2,1,008,083,0064,2026,,,3150,,,WAILEA ALANUI,,UNIT,3108,,C228
2,2,1,008,083,0065,2026,,,3150,,,WAILEA ALANUI,,UNIT,3201,,C228
2,2,1,008,083,0066,2026,,,3150,,,WAILEA ALANUI,,UNIT,3202,,C228
2,2,1,008,083,0067,2026,,,3150,,,WAILEA ALANUI,,UNIT,3203,,C228
2,2,1,008,083,0068,2026,,,3150,,,WAILEA ALANUI,,UNIT,3204,,C228
2,2,1,008,083,0069,2026,,,3150,,,WAILEA ALANUI,,UNIT,3205,,C228
2,2,1,008,083,0070,2026,,,3150,,,WAILEA ALANUI,,UNIT,3206,,C228
2,2,1,008,083,0071,2026,,,3150,,,WAILEA ALANUI,,UNIT,3207,,C228
2,2,1,008,083,0072,2026,,,3150,,,WAILEA ALANUI,,UNIT,3208,,C228
2,2,1,008,083,0073,2026,,,3150,,,WAILEA ALANUI,,UNIT,3301,,C228
2,2,1,008,083,0074,2026,,,3150,,,WAILEA ALANUI,,UNIT,3302,,C228
2,2,1,008,083,0075,2026,,,3150,,,WAILEA ALANUI,DR,UNIT,3303,,C228
2,2,1,008,083,0076,2026,,,3150,,,WAILEA ALANUI,,UNIT,3304,,C228
2,2,1,008,083,0077,2026,,,3150,,,WAILEA ALANUI,,UNIT,3305,,C228
2,2,1,008,083,0078,2026,,,3150,,,WAILEA ALANUI,,UNIT,3306,,C228
2,2,1,008,083,0079,2026,,,3150,,,WAILEA ALANUI,,UNIT,3307,,C228
2,2,1,008,083,0080,2026,,,3150,,,WAILEA ALANUI,DR,UNIT,3308,,C228
2,2,1,008,083,0081,2026,,,3150,,,WAILEA ALANUI,,UNIT,3401,,C228
2,2,1,008,083,0082,2026,,,3150,,,WAILEA ALANUI,,UNIT,3402,,C228
2,2,1,008,083,0083,2026,,,3150,,,WAILEA ALANUI,,UNIT,3403,,C228
2,2,1,008,083,0084,2026,,,3150,,,WAILEA ALANUI,,UNIT,3404,,C228
2,2,1,008,083,0085,2026,,,3150,,,WAILEA ALANUI,,UNIT,3405,,C228
2,2,1,008,083,0086,2026,,,3150,,,WAILEA ALANUI,,UNIT,3406,,C228
2,2,1,008,083,0087,2026,,,3150,,,WAILEA ALANUI,,UNIT,3407,,C228
2,2,1,008,083,0088,2026,,,3150,,,WAILEA ALANUI,,UNIT,3408,,C228
2,2,1,008,083,0089,2026,,,3150,,,WAILEA ALANUI,,UNIT,3501,,C228
2,2,1,008,083,0090,2026,,,3150,,,WAILEA ALANUI,,UNIT,3502,,C228
2,2,1,008,083,0091,2026,,,3150,,,WAILEA ALANUI,,UNIT,3503,,C228
2,2,1,008,083,0092,2026,,,3150,,,WAILEA ALANUI,,UNIT,3504,,C228
2,2,1,008,083,0093,2026,,,3150,,,WAILEA ALANUI,,UNIT,3505,,C228
2,2,1,008,083,0094,2026,,,3150,,,WAILEA ALANUI,,UNIT,3506,,C228
