PARID,SALEDATE,PRICE,RECORDDATE,INSTRUNO,INSTRUTYPE,LANDCOURT_NO,CERT_NO,BOOK,PAGE,CONV_TAX,DOC_TYPE,VALCODE,VALCODE,SALETYP
390041440000     ,2025/01/01,          ,2025/01/01,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440000     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440000     ,1996/04/03,          ,1996/08/13,9600116453          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390041440000     ,1994/11/30,          ,1995/01/26,9500011697          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390041440000     ,1989/10/09,          ,1989/10/27,8900164963          ,                                        ,                                        ,                                        ,23810   ,316     ,0.00                                    ,                                        ,                                        ,  ,
390041440000     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440000     ,1989/05/30,          ,1989/06/07,8900083064          ,Fee conveyance                          ,                                        ,                                        ,23270   ,384     ,0.00                                    ,                                        ,                                        ,  ,
390041440000     ,1989/05/17,          ,1989/08/22,8900126800          ,                                        ,                                        ,                                        ,23552   ,688     ,                                        ,                                        ,                                        ,  ,
390041440001     ,2014/04/10,    480000,2014/04/25,A52280108           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,720                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440001     ,2012/09/27,      1000,2012/11/09,A46960226           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1.5                                     ,Apartment deed                          ,Involved add'l parcels                  ,1 ,Improved
390041440001     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440001     ,2006/05/30,      1000,2006/06/16,06-111079           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1.5                                     ,Deed                                    ,                                        ,  ,
390041440001     ,2004/11/09,    515000,2004/11/18,04-232563           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,515                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440001     ,1996/06/03,    210000,1996/06/12,9600081663          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,210.00                                  ,                                        ,Valid                                   ,X ,Improved
390041440001     ,1989/10/27,    140000,1989/10/27,8900164960          ,Fee conveyance                          ,                                        ,                                        ,23810   ,285     ,70.00                                   ,                                        ,Valid                                   ,X ,Improved
390041440001     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440002     ,2012/04/06,    415000,2012/04/16,A44890708           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,622.5                                   ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440002     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440002     ,2004/11/18,    475000,2004/11/24,04-237518           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,475                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440002     ,2001/05/14,          ,2001/11/05,01-174165           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,Deed to trust                           ,                                        ,  ,
390041440002     ,2000/11/06,    240000,2000/11/09,00-157476           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,240.00                                  ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440002     ,1999/04/19,    165000,1999/04/26,9900064199          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,165.00                                  ,                                        ,Foreclosure                             ,5 ,Improved
390041440002     ,1998/07/08,    165000,1998/07/15,9800102433          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,165.00                                  ,                                        ,Foreclosure                             ,5 ,Improved
390041440002     ,1995/04/03,    180000,1995/05/08,9500060874          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,180.00                                  ,                                        ,Valid                                   ,X ,Improved
390041440002     ,1993/02/09,    200000,1993/02/17,9300025213          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,100.00                                  ,                                        ,Valid                                   ,X ,Improved
390041440002     ,1990/02/27,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390041440002     ,1989/12/11,    175000,1989/12/11,8900188567          ,Fee conveyance                          ,                                        ,                                        ,23978   ,587     ,87.50                                   ,                                        ,Valid                                   ,X ,Improved
390041440002     ,1989/11/14,    172000,1989/11/14,8900173876          ,Fee conveyance                          ,                                        ,                                        ,23870   ,478     ,86.00                                   ,                                        ,                                        ,  ,
390041440002     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440003     ,2023/12/05,          ,2023/12/11,A87451142           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,2.3                                     ,Correction deed                         ,                                        ,  ,
390041440003     ,2023/12/05,    172500,2023/12/11,A87451144           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,258.75                                  ,Apartment deed                          ,Other                                   ,2 ,Improved
390041440003     ,2023/12/04,    999000,2023/12/11,A87451143           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,2497.5                                  ,Apartment deed                          ,Other                                   ,2 ,Improved
390041440003     ,2023/10/16,          ,2023/11/03,A87070546           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Affidavit (all types)                   ,                                        ,  ,
390041440003     ,2023/02/13,          ,2023/02/15,A84460502           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,Quitclaim apartment deed                ,                                        ,  ,
390041440003     ,2016/04/21,          ,2016/05/02,A59660445           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0                                       ,Apartment deed                          ,                                        ,  ,
390041440003     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440003     ,2004/02/09,    308333,2004/02/18,04-033575           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,308.3                                   ,Warranty deed                           ,Other                                   ,7 ,Improved
390041440003     ,2003/08/11,    370000,2003/08/19,03-173021           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,370                                     ,Warranty deed                           ,Valid Sale                              ,0 ,Improved
390041440003     ,2001/08/17,    259000,2001/09/21,01-149159           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,259.00                                  ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440003     ,1995/05/01,    210000,          ,                    ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid                                   ,X ,Improved
390041440003     ,1993/02/12,          ,1993/04/15,9300059775          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0.00                                    ,                                        ,                                        ,  ,
390041440003     ,1989/10/20,    180000,1989/10/23,8900161788          ,Fee conveyance                          ,                                        ,                                        ,23789   ,241     ,90.00                                   ,                                        ,Valid                                   ,X ,Improved
390041440003     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440003     ,1900/01/01,    210000,1995/05/23,9500068153          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,210.00                                  ,                                        ,                                        ,  ,
390041440004     ,2015/09/11,    530000,2015/09/24,A57450222           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,795                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440004     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440004     ,2005/08/23,          ,2005/09/16,05-186860           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0                                       ,Apartment deed                          ,                                        ,  ,
390041440004     ,2005/08/23,          ,2005/09/16,05-186861           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0                                       ,Apartment deed                          ,                                        ,  ,
390041440004     ,2005/08/23,          ,2005/09/16,05-186862           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0                                       ,Apartment deed                          ,                                        ,  ,
390041440004     ,2001/03/02,         0,2001/03/09,01-033399           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,Quitclaim deed                          ,                                        ,  ,
390041440004     ,1990/07/05,    280000,1990/07/12,9000105128          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,140.00                                  ,                                        ,Valid                                   ,X ,Improved
390041440004     ,1989/10/20,    180000,1989/10/20,8900161390          ,Fee conveyance                          ,                                        ,                                        ,23786   ,618     ,90.00                                   ,                                        ,Valid                                   ,X ,Improved
390041440004     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440005     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440005     ,2002/07/24,    265000,2002/07/31,02-132213           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,265.00                                  ,Warranty deed                           ,                                        ,  ,
390041440005     ,1997/03/07,    160000,1997/03/12,9700032884          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,160.00                                  ,                                        ,Foreclosure                             ,5 ,Improved
390041440005     ,1990/01/31,    152500,1990/01/31,9000013593          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,76.25                                   ,                                        ,Valid                                   ,X ,Improved
390041440005     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440006     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440006     ,2004/03/27,          ,2005/05/24,05-102948           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0                                       ,Quitclaim deed                          ,                                        ,  ,
390041440006     ,2003/06/13,    320000,2003/06/19,03-124092           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,320                                     ,Apartment deed                          ,                                        ,  ,
390041440006     ,2003/06/11,    320000,2003/06/11,                    ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid                                   ,X ,Improved
390041440006     ,1989/10/20,    149000,1989/10/20,8900161382          ,Fee conveyance                          ,                                        ,                                        ,23786   ,525     ,74.50                                   ,                                        ,Valid                                   ,X ,Improved
390041440006     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440007     ,2022/03/19,          ,2022/03/19,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Ownership correction                    ,                                        ,  ,
390041440007     ,2021/03/13,    615000,2021/03/19,A77480355           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1537.5                                  ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440007     ,2021/01/07,    543600,2021/01/29,A76991029           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,815.4                                   ,Apartment deed                          ,Related individuals                     ,4 ,Improved
390041440007     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440007     ,2007/06/04,          ,2007/06/20,07-110350           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0                                       ,Apartment deed                          ,                                        ,  ,
390041440007     ,2004/12/22,    475000,2005/01/05,05-001920           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,475                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440007     ,2003/04/29,       101,2003/05/05,03-083145           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1                                       ,Apartment deed                          ,Other                                   ,7 ,
390041440007     ,2003/03/27,    350000,2003/05/01,03-080646           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,350                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440007     ,1989/11/02,    149000,1989/11/02,8900168511          ,Fee conveyance                          ,                                        ,                                        ,23836   ,213     ,74.50                                   ,                                        ,Valid                                   ,X ,Improved
390041440007     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440008     ,2013/11/11,          ,2013/12/09,A50910135           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0                                       ,T O D                                   ,                                        ,  ,Improved
390041440008     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440008     ,1990/03/20,    188200,1990/03/27,9000041996          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,94.10                                   ,                                        ,Valid Sale                              ,0 ,Improved
390041440008     ,1990/03/15,    188200,1990/03/27,9000041995          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,94.10                                   ,                                        ,Valid Sale                              ,0 ,Improved
390041440008     ,1990/01/11,    151680,1990/01/12,9000004723          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,75.80                                   ,                                        ,Valid Sale                              ,0 ,Improved
390041440008     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440009     ,2019/04/24,    625000,2019/05/10,A70690661           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1562.5                                  ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440009     ,2014/03/20,    535000,2014/04/01,A52040403           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,802.5                                   ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440009     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440009     ,2007/08/14,          ,2007/08/23,07-151315           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0                                       ,Apartment deed                          ,                                        ,  ,
390041440009     ,1990/08/16,    300000,1990/08/24,9000130147          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,150.00                                  ,                                        ,Valid                                   ,X ,Improved
390041440009     ,1989/10/20,    184000,1989/10/20,8900161386          ,Fee conveyance                          ,                                        ,                                        ,23786   ,565     ,92.00                                   ,                                        ,Valid                                   ,X ,Improved
390041440009     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440010     ,2021/12/27,    790000,2022/01/14,A80490740           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1975                                    ,Exchange deed                           ,Valid Sale                              ,0 ,Improved
390041440010     ,2021/03/23,    645000,2021/04/07,A77670653           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1612.5                                  ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440010     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440010     ,1991/08/01,    270000,          ,                    ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid                                   ,X ,Improved
390041440010     ,1991/07/30,    270000,1991/08/02,9100104539          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,135.00                                  ,                                        ,                                        ,  ,
390041440010     ,1989/11/01,    171000,          ,                    ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid                                   ,X ,Improved
390041440010     ,1989/09/25,    171000,1989/11/06,8900169884          ,Fee conveyance                          ,                                        ,                                        ,23846   ,274     ,85.50                                   ,                                        ,                                        ,  ,
390041440010     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440011     ,2020/10/24,    560000,2020/10/30,A76080565           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,840                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440011     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440011     ,2005/10/17,          ,2005/10/21,05-214973           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0                                       ,Deed to trust                           ,                                        ,  ,
390041440011     ,2001/03/28,    240000,2001/04/23,01-058256           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,240.00                                  ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440011     ,2000/12/05,         0,2000/12/20,00-178679           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,Quitclaim deed                          ,                                        ,  ,
390041440011     ,1989/11/01,    168000,          ,                    ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid                                   ,X ,Improved
390041440011     ,1989/10/23,    168000,1989/11/30,8900182213          ,Fee conveyance                          ,                                        ,                                        ,23930   ,450     ,84.00                                   ,                                        ,                                        ,  ,
390041440011     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440011     ,1900/01/01,          ,1993/05/21,9300081785          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0.00                                    ,                                        ,                                        ,  ,
390041440011     ,1900/01/01,          ,1993/05/21,9300081789          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0.00                                    ,                                        ,                                        ,  ,
390041440012     ,2025/04/14,    710000,2025/05/12,A9263000246         ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1775                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440012     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440012     ,2003/12/05,          ,2003/12/29,03-286980           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0                                       ,Quitclaim deed                          ,                                        ,  ,
390041440012     ,2003/12/03,    397500,2003/12/11,03-272917           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,397.5                                   ,Warranty deed                           ,Valid Sale                              ,0 ,Improved
390041440012     ,1992/01/13,    240000,1992/02/12,9200020690          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,120.00                                  ,                                        ,                                        ,  ,
390041440012     ,1989/10/20,    168000,1989/10/20,8900161392          ,Fee conveyance                          ,                                        ,                                        ,23786   ,645     ,84.00                                   ,                                        ,Valid                                   ,X ,Improved
390041440012     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440013     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440013     ,2005/09/14,          ,2005/09/30,05-198087           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0                                       ,Quitclaim apartment deed                ,                                        ,  ,
390041440013     ,2003/09/15,          ,2003/09/18,03-200240           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0                                       ,Apartment deed                          ,Other                                   ,7 ,Improved
390041440013     ,2003/09/10,    332000,2003/09/18,03-200239           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,332                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440013     ,1999/05/20,    166000,1999/05/26,9900084189          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,166.00                                  ,                                        ,Valid                                   ,X ,Improved
390041440013     ,1989/11/30,    175000,1989/11/30,8900182232          ,Fee conveyance                          ,                                        ,                                        ,23930   ,565     ,87.50                                   ,                                        ,Valid                                   ,X ,Improved
390041440013     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440014     ,2021/03/01,    650000,2021/03/08,A77370188           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1625                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390041440014     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440014     ,2009/02/17,    420000,2009/02/23,09-025872           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,420                                     ,Trustee's limited warranty deed         ,                                        ,  ,
390041440014     ,2006/02/22,          ,2006/03/03,06-040911           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0                                       ,Quitclaim apartment deed                ,                                        ,  ,
390041440014     ,2006/02/10,    670000,2006/03/01,06-039402           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1675                                    ,Apartment deed                          ,                                        ,  ,
390041440014     ,1999/05/03,    178000,1999/06/07,9900092105          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,178.00                                  ,                                        ,Valid                                   ,X ,Improved
390041440014     ,1992/01/22,          ,1992/07/16,9200113982          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0.00                                    ,                                        ,                                        ,  ,
390041440014     ,1989/10/20,    158000,1989/10/20,8900161395          ,Fee conveyance                          ,                                        ,                                        ,23786   ,673     ,79.00                                   ,                                        ,Valid                                   ,X ,Improved
390041440014     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440015     ,2020/10/29,          ,2020/11/06,A76150702           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,Apartment deed                          ,                                        ,  ,
390041440015     ,2020/08/15,    789000,2020/08/20,A75370158           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1972.5                                  ,Exchange deed                           ,Valid Sale                              ,0 ,Improved
390041440015     ,2020/04/26,          ,2020/05/18,A74430483           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,Apartment deed                          ,                                        ,  ,
390041440015     ,2017/11/20,    695000,2017/11/27,A65400331           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1737.5                                  ,Exchange deed                           ,Valid Sale                              ,0 ,Improved
390041440015     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390041440015     ,2002/11/06,      1001,2002/11/13,02-201672           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1.00                                    ,Apartment deed                          ,Other                                   ,7 ,
390041440015     ,2002/05/23,      1001,2002/06/04,02-097358           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1.00                                    ,Apartment deed                          ,                                        ,  ,
390041440015     ,2000/04/19,          ,2000/05/11,0000064293          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1.00                                    ,                                        ,                                        ,  ,
390041440015     ,2000/04/12,    308000,2000/04/19,0000052214          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,308.00                                  ,                                        ,Valid                                   ,X ,Improved
390041440015     ,1990/02/27,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390041440015     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390041440016     ,2022/11/08,          ,2022/11/29,A83680362           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,Deed to trust                           ,                                        ,  ,
390041440016     ,2015/07/20,    610000,2015/07/31,A56900662           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1525                                    ,Warranty deed                           ,Valid Sale                              ,0 ,Improved
390041440016     ,2014/08/20,          ,2014/08/26,A53510223           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,Warranty deed                           ,                                        ,  ,
390041440016     ,2013/10/30,          ,2013/11/18,A50700091           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0                                       ,Warranty deed                           ,                                        ,  ,Improved
