PARID,SALEDATE,PRICE,RECORDDATE,INSTRUNO,INSTRUTYPE,LANDCOURT_NO,CERT_NO,BOOK,PAGE,CONV_TAX,DOC_TYPE,VALCODE,VALCODE,SALETYP
390040820000     ,2025/01/01,          ,2025/01/01,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390040820000     ,2024/09/20,          ,2024/09/30,A9039000436         ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
390040820000     ,2016/02/29,          ,2016/03/07,A59100661           ,Recorded document                       ,                                        ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
390040820000     ,2014/05/08,          ,2014/05/28,A52610310           ,Recorded document                       ,                                        ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,Related individuals                     ,4 ,Vacant Land
390040820000     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390040820000     ,2005/06/09,          ,2005/06/09,                    ,Easements                               ,                                        ,                                        ,        ,        ,                                        ,Cancellation of easememt                ,                                        ,  ,
390040820000     ,2002/11/22,          ,2002/12/02,02-214603           ,Easements                               ,                                        ,                                        ,        ,        ,                                        ,Grant of easement                       ,                                        ,  ,
390040820000     ,2002/11/20,          ,2002/12/02,02-214602           ,Easements                               ,                                        ,                                        ,        ,        ,                                        ,Cancellation of easememt                ,                                        ,  ,
390040820000     ,2002/08/05,          ,2002/08/22,02-148195           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
390040820000     ,2002/08/05,          ,2002/08/07,02-138223           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
390040820000     ,2002/08/01,          ,2002/08/07,02-138222           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
390040820000     ,2002/07/09,          ,2002/07/15,02-123085           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
390040820000     ,2001/03/28,          ,2001/04/04,01-048419           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
390040820000     ,2000/10/26,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820000     ,1999/05/17,          ,1999/05/27,9900084963          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820000     ,1996/12/16,          ,1996/12/23,9600180020          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820000     ,1996/04/17,          ,1996/05/21,9600070349          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820000     ,1996/04/03,          ,1996/08/13,9600116453          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820000     ,1995/02/13,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820000     ,1994/11/30,          ,1995/01/26,9500011697          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820000     ,1991/05/28,          ,1991/05/29,9100069170          ,                                        ,                                        ,                                        ,        ,        ,0.00                                    ,                                        ,                                        ,  ,
390040820000     ,1990/11/07,          ,1990/11/08,9000173490          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820000     ,1990/03/30,   6190000,1990/04/02,9000046011          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820000     ,1990/03/28,          ,1990/08/08,9000121964          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820000     ,1989/06/05,          ,1989/06/07,8900083507          ,                                        ,                                        ,                                        ,23272   ,29      ,                                        ,                                        ,                                        ,  ,
390040820000     ,1989/02/14,          ,1989/03/14,8900034210          ,Fee conveyance                          ,                                        ,                                        ,22944   ,401     ,0.00                                    ,                                        ,                                        ,  ,
390040820000     ,1989/02/02,          ,1989/02/06,8900016511          ,                                        ,                                        ,                                        ,22836   ,286     ,0.00                                    ,                                        ,                                        ,  ,
390040820000     ,1988/12/14,          ,1989/02/06,8900016510          ,                                        ,                                        ,                                        ,22836   ,267     ,0.00                                    ,                                        ,                                        ,  ,
390040820000     ,1988/12/09,          ,1989/02/06,8900016512          ,                                        ,                                        ,                                        ,22836   ,297     ,0.00                                    ,                                        ,                                        ,  ,
390040820000     ,1988/04/08,          ,1988/05/23,8800070857          ,Fee conveyance                          ,                                        ,                                        ,21953   ,689     ,0.00                                    ,                                        ,                                        ,  ,
390040820000     ,1900/01/01,          ,1998/04/30,9800060784          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820000     ,1900/01/01,          ,1990/04/02,9000046013          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820001     ,2017/10/23,    550000,2017/10/27,A65090038           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,825                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390040820001     ,2016/02/29,          ,2016/03/07,A59100661           ,Recorded document                       ,                                        ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,Other                                   ,2 ,Improved
390040820001     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390040820001     ,2000/10/26,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820001     ,1999/05/17,          ,1999/05/27,9900084963          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820001     ,1996/04/17,          ,1996/05/21,9600070349          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820001     ,1995/02/13,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820001     ,1991/01/01,    275000,          ,                    ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid                                   ,X ,Improved
390040820001     ,1990/11/28,    275000,1991/03/25,9100037613          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,137.50                                  ,                                        ,                                        ,  ,
390040820001     ,1900/01/01,          ,1998/04/30,9800060784          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820001     ,1900/01/01,          ,1990/04/02,9000046013          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820002     ,2016/02/29,          ,2016/03/07,A59100661           ,Recorded document                       ,                                        ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,Other                                   ,2 ,Improved
390040820002     ,2013/03/15,    257500,2013/03/21,A48280454           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,386.25                                  ,Apartment deed                          ,Related individuals                     ,4 ,Improved
390040820002     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390040820002     ,2003/09/05,    445000,2003/09/15,03-196746           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,445                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390040820002     ,2003/03/05,    350000,2003/03/12,03-045872           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,350                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390040820002     ,2000/10/26,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820002     ,1999/05/17,          ,1999/05/27,9900084963          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820002     ,1996/07/01,    205000,1996/07/15,9600099613          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,205.00                                  ,                                        ,Valid                                   ,X ,Improved
390040820002     ,1996/04/17,          ,1996/05/21,9600070349          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820002     ,1995/02/13,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820002     ,1991/01/01,    250000,          ,                    ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid                                   ,X ,Improved
390040820002     ,1990/11/28,    250000,1991/01/11,9100003685          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,125.00                                  ,                                        ,                                        ,  ,
390040820002     ,1900/01/01,          ,1990/04/02,9000046013          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820002     ,1900/01/01,          ,1998/04/30,9800060784          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820003     ,2021/12/02,    535000,2022/01/06,A80410716           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,802.5                                   ,Deed                                    ,Related individuals                     ,4 ,Improved
390040820003     ,2020/06/24,    535000,2020/07/01,A74870162           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,802.5                                   ,Commissioner's deed                     ,Other                                   ,2 ,Improved
390040820003     ,2016/02/29,          ,2016/03/07,A59100661           ,Recorded document                       ,                                        ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,Other                                   ,2 ,Improved
390040820003     ,2013/08/02,      1900,2013/08/02,A49620698           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,2.85                                    ,Quitclaim apartment deed                ,Other                                   ,2 ,Improved
390040820003     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390040820003     ,2003/12/11,          ,2003/12/16,03-277392           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0                                       ,Quitclaim deed                          ,                                        ,  ,
390040820003     ,2000/10/26,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820003     ,1999/05/17,          ,1999/05/27,9900084963          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820003     ,1997/05/15,          ,1997/06/17,9700079426          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0.00                                    ,                                        ,                                        ,  ,
390040820003     ,1996/04/17,          ,1996/05/21,9600070349          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820003     ,1995/02/13,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820003     ,1993/03/26,    290000,1993/04/01,9300052204          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,145.00                                  ,                                        ,Valid                                   ,X ,Improved
390040820003     ,1991/02/01,    285000,          ,                    ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,                                        ,Valid                                   ,X ,Improved
390040820003     ,1990/11/28,    285000,1991/02/19,9100021408          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,142.50                                  ,                                        ,                                        ,  ,
390040820003     ,1900/01/01,          ,1993/06/28,9300103207          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0.00                                    ,                                        ,                                        ,  ,
390040820003     ,1900/01/01,          ,1990/04/02,9000046013          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820003     ,1900/01/01,          ,1998/04/30,9800060784          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820004     ,2018/03/02,          ,2018/03/12,A66450413           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,                                        ,Apartment deed                          ,                                        ,  ,
390040820004     ,2016/02/29,          ,2016/03/07,A59100661           ,Recorded document                       ,                                        ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
390040820004     ,2012/08/22,    550000,2012/08/31,A46260135           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,825                                     ,Exchange deed                           ,Valid Sale                              ,0 ,Improved
390040820004     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390040820004     ,2000/10/26,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820004     ,1999/08/23,    265000,1999/08/27,9900138551          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,265.00                                  ,                                        ,Valid                                   ,X ,Improved
390040820004     ,1999/05/17,          ,1999/05/27,9900084963          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820004     ,1996/04/17,          ,1996/05/21,9600070349          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820004     ,1995/02/13,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820004     ,1990/11/28,    285000,1990/12/21,9000194706          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,142.50                                  ,                                        ,Valid                                   ,X ,Improved
390040820004     ,1900/01/01,          ,1990/04/02,9000046013          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820004     ,1900/01/01,          ,1998/04/30,9800060784          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820004     ,1900/01/01,          ,1992/08/07,9200129125          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,0.00                                    ,                                        ,                                        ,  ,
390040820005     ,2016/02/29,          ,2016/03/07,A59100661           ,Recorded document                       ,                                        ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
390040820005     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390040820005     ,2000/10/26,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820005     ,1999/05/17,          ,1999/05/27,9900084963          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820005     ,1996/04/17,          ,1996/05/21,9600070349          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820005     ,1995/02/13,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820005     ,1992/04/13,    285000,1992/04/15,9200057000          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,142.50                                  ,                                        ,Valid                                   ,X ,Improved
390040820005     ,1991/01/17,    241000,1991/01/30,9100011933          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,120.50                                  ,                                        ,Valid                                   ,X ,Improved
390040820005     ,1991/01/14,    241000,1991/01/30,9100011932          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,120.50                                  ,                                        ,Valid                                   ,X ,Improved
390040820005     ,1900/01/01,          ,1998/04/30,9800060784          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820005     ,1900/01/01,          ,1990/04/02,9000046013          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
390040820006     ,2018/08/22,    620000,2018/09/07,A68240204           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1550                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
390040820006     ,2016/02/29,          ,2016/03/07,A59100661           ,Recorded document                       ,                                        ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
390040820006     ,2010/09/15,          ,2010/09/15,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Route Slip                              ,                                        ,  ,
390040820006     ,2006/02/22,    792000,2006/02/28,06-038443           ,Fee conveyance                          ,                                        ,                                        ,        ,        ,1980                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
