PARID,SALEDATE,PRICE,RECORDDATE,INSTRUNO,INSTRUTYPE,LANDCOURT_NO,CERT_NO,BOOK,PAGE,CONV_TAX,DOC_TYPE,VALCODE,VALCODE,SALETYP
210080820000     ,2026/04/08,          ,2026/05/29,                    ,Recorded document                       ,T13297219                               ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820000     ,2024/09/19,          ,2024/10/25,                    ,Recorded document                       ,T12716184                               ,12716184                                ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820000     ,2007/08/27,          ,2007/09/25,                    ,Route slip                              ,3660140                                 ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820000     ,2005/11/02,          ,2005/11/29,                    ,Recorded document                       ,3360984                                 ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820000     ,1990/10/29,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
210080820000     ,1989/09/18,          ,1989/09/26,0000000000          ,                                        ,1669456                                 ,315856                                  ,        ,        ,                                        ,                                        ,                                        ,  ,
210080820000     ,1988/07/14,   7440000,1988/07/14,0000000000          ,Fee conveyance                          ,1564562                                 ,315856                                  ,        ,        ,3720.00                                 ,                                        ,Valid Sale                              ,0 ,Improved
210080820000     ,1988/07/14,   6200000,1988/07/14,0000000000          ,Fee conveyance                          ,1564561                                 ,315855                                  ,        ,        ,3100.00                                 ,                                        ,                                        ,  ,
210080820000     ,1900/01/01,          ,1991/10/22,0000000000          ,                                        ,1859392                                 ,315856                                  ,        ,        ,0.00                                    ,                                        ,                                        ,  ,
210080820001     ,2024/09/19,          ,2024/10/25,                    ,Recorded document                       ,T12716184                               ,12716184                                ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820001     ,2010/12/06,    685000,2010/12/13,                    ,Fee conveyance                          ,4028799                                 ,1006535                                 ,        ,        ,1712.5                                  ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080820001     ,2009/03/06,          ,2009/04/01,                    ,Fee conveyance                          ,3843965                                 ,941345                                  ,        ,        ,0                                       ,Warranty deed                           ,                                        ,  ,
210080820001     ,2003/02/06,    575000,2003/02/12,                    ,Fee conveyance                          ,2891504                                 ,636802                                  ,        ,        ,575                                     ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080820001     ,2002/10/21,    477500,2002/10/25,                    ,Fee conveyance                          ,2854481                                 ,626630                                  ,        ,        ,477.50                                  ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080820001     ,1999/04/20,    279000,1999/04/29,0000000000          ,Fee conveyance                          ,2539809                                 ,530,635                                 ,        ,        ,279.00                                  ,                                        ,Valid                                   ,X ,Improved
210080820001     ,1991/04/29,    425000,1991/05/03,0000000000          ,Fee conveyance                          ,1817400                                 ,368854                                  ,        ,        ,212.50                                  ,                                        ,Valid                                   ,X ,Improved
210080820001     ,1990/10/29,          ,          ,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
210080820002     ,2024/09/19,          ,2024/10/25,                    ,Recorded document                       ,T12716184                               ,12716184                                ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080820002     ,2020/12/18,   1100000,2021/01/11,                    ,Fee conveyance                          ,T11333162                               ,1206485                                 ,        ,        ,4400                                    ,Apartment deed                          ,Other                                   ,2 ,Improved
210080820002     ,2014/04/16,          ,2014/04/22,                    ,Fee conveyance                          ,T8877076                                ,1077096                                 ,        ,        ,                                        ,Apartment deed                          ,                                        ,  ,
