PARID,SALEDATE,PRICE,RECORDDATE,INSTRUNO,INSTRUTYPE,LANDCOURT_NO,CERT_NO,BOOK,PAGE,CONV_TAX,DOC_TYPE,VALCODE,VALCODE,SALETYP
210080830000     ,2020/10/12,          ,2020/12/02,                    ,Recorded document                       ,T11293419                               ,336088                                  ,        ,        ,                                        ,Grant of easement                       ,                                        ,  ,
210080830000     ,2020/06/08,          ,2020/08/14,                    ,Recorded document                       ,T11183321                               ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830000     ,2019/12/10,          ,2020/01/10,T10966225           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Declaration of/Restatement of CPR       ,                                        ,  ,
210080830000     ,2017/12/04,          ,2017/12/22,                    ,Recorded document                       ,T10217497                               ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,Other                                   ,7 ,
210080830000     ,2017/04/18,          ,2017/05/04,                    ,Recorded document                       ,T9985173                                ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830000     ,2010/08/18,          ,2010/08/18,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830000     ,1991/04/18,          ,1991/04/25,0000000000          ,                                        ,1815194                                 ,315856                                  ,        ,        ,                                        ,                                        ,                                        ,  ,
210080830000     ,1989/10/16,          ,1989/01/01,0000000000          ,                                        ,                                        ,                                        ,        ,        ,                                        ,                                        ,                                        ,  ,
210080830000     ,1989/09/15,   9000000,1989/09/25,0000000000          ,Fee conveyance                          ,1669328                                 ,336088                                  ,        ,        ,4500.00                                 ,                                        ,                                        ,  ,
210080830000     ,1989/09/15,   4700000,1989/09/25,0000000000          ,Fee conveyance                          ,1669326                                 ,336087                                  ,        ,        ,2350.00                                 ,                                        ,                                        ,  ,
210080830000     ,1989/02/10,  98641000,1989/02/10,8900018846          ,Fee conveyance                          ,1612904                                 ,325213                                  ,22849   ,1       ,49320.50                                ,                                        ,                                        ,  ,
210080830000     ,1900/01/01,          ,1994/02/23,0000000000          ,                                        ,2121264                                 ,336088                                  ,        ,        ,                                        ,                                        ,                                        ,  ,
210080830000     ,1900/01/01,          ,          ,0000000000          ,                                        ,1815194                                 ,315856                                  ,        ,        ,                                        ,                                        ,                                        ,  ,
210080830000     ,1900/01/01,          ,          ,0000000000          ,                                        ,1826377                                 ,315856                                  ,        ,        ,                                        ,                                        ,                                        ,  ,
210080830000     ,1900/01/01,          ,          ,0000000000          ,                                        ,1864388                                 ,336088                                  ,        ,        ,                                        ,                                        ,                                        ,  ,
210080830001     ,2020/06/08,          ,2020/08/14,                    ,Recorded document                       ,T11183321                               ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830001     ,2020/04/01,          ,2020/04/01,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Correction                              ,                                        ,  ,
210080830001     ,2020/03/18,    725000,2020/03/31,                    ,Fee conveyance                          ,T11047026                               ,1191686                                 ,        ,        ,1450                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080830001     ,2019/12/10,          ,2020/01/10,T10966225           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Declaration of/Restatement of CPR       ,                                        ,  ,
210080830001     ,2017/12/04,          ,2017/12/22,                    ,Recorded document                       ,T10217497                               ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830001     ,2017/04/18,          ,2017/05/04,                    ,Recorded document                       ,T9985173                                ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830001     ,2015/03/18,          ,2015/03/20,                    ,Land Court Order (all types)            ,T9209082                                ,889449                                  ,        ,        ,                                        ,Land Court Order (all types)            ,Other                                   ,2 ,
210080830001     ,2010/08/18,          ,2010/08/18,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830001     ,2007/12/04,          ,2007/12/19,                    ,Fee conveyance                          ,3693783                                 ,889449                                  ,        ,        ,0                                       ,Apartment deed                          ,                                        ,  ,
210080830001     ,2007/11/29,    830000,2007/12/07,                    ,Fee conveyance                          ,3689300                                 ,888033                                  ,        ,        ,1660                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080830001     ,2001/03/13,    325000,2001/03/30,                    ,Fee conveyance                          ,2693764                                 ,577,948                                 ,        ,        ,325.00                                  ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080830001     ,1997/02/28,    186850,1997/02/21,0000000000          ,Fee conveyance                          ,                                        ,                                        ,        ,        ,186.90                                  ,                                        ,Developer sale                          ,8 ,Improved
210080830001     ,1900/01/01,          ,          ,0000000000          ,                                        ,1815194                                 ,315856                                  ,        ,        ,                                        ,                                        ,                                        ,  ,
210080830002     ,2020/06/08,          ,2020/08/14,                    ,Recorded document                       ,T11183321                               ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830002     ,2019/12/10,          ,2020/01/10,T10966225           ,Recorded document                       ,                                        ,                                        ,        ,        ,                                        ,Declaration of/Restatement of CPR       ,                                        ,  ,
210080830002     ,2017/12/04,          ,2017/12/22,                    ,Recorded document                       ,T10217497                               ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830002     ,2017/04/18,          ,2017/05/04,                    ,Recorded document                       ,T9985173                                ,                                        ,        ,        ,0                                       ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830002     ,2016/03/10,    685000,2016/03/15,                    ,Fee conveyance                          ,T9570067                                ,1113064                                 ,        ,        ,1712.5                                  ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080830002     ,2010/08/18,          ,2010/08/18,                    ,Route slip                              ,                                        ,                                        ,        ,        ,                                        ,Amendment of CPR, HPR or Declaration    ,                                        ,  ,
210080830002     ,2009/06/12,    670000,2009/06/19,                    ,Fee conveyance                          ,3870471                                 ,949336                                  ,        ,        ,1675                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080830002     ,2007/02/02,          ,2007/02/07,                    ,Fee conveyance                          ,3556648                                 ,844601                                  ,        ,        ,0                                       ,Quitclaim apartment deed                ,                                        ,  ,
210080830002     ,2007/02/02,          ,2007/03/15,                    ,Fee conveyance                          ,3574393                                 ,849711                                  ,        ,        ,0                                       ,Quitclaim apartment deed                ,                                        ,  ,
210080830002     ,2006/12/21,          ,2007/01/10,                    ,Fee conveyance                          ,3538480                                 ,840761                                  ,        ,        ,0                                       ,Apartment deed                          ,                                        ,  ,
210080830002     ,2006/12/21,          ,2006/12/29,                    ,Fee conveyance                          ,3534395                                 ,839702                                  ,        ,        ,0                                       ,Apartment deed                          ,                                        ,  ,
210080830002     ,2003/09/17,          ,2004/06/04,                    ,Fee conveyance                          ,3119081                                 ,700119                                  ,        ,        ,0                                       ,Limited warranty/apartment deed         ,                                        ,  ,
210080830002     ,2000/01/19,    330000,2000/01/25,0000000000          ,Fee conveyance                          ,2602977                                 ,547,388                                 ,        ,        ,330.00                                  ,                                        ,Valid                                   ,X ,Improved
210080830002     ,1997/04/17,    204450,1997/05/12,0000000000          ,Fee conveyance                          ,2380295                                 ,491569                                  ,        ,        ,204.50                                  ,                                        ,Developer sale                          ,8 ,Improved
210080830002     ,1900/01/01,          ,          ,0000000000          ,                                        ,1815194                                 ,315856                                  ,        ,        ,                                        ,                                        ,                                        ,  ,
210080830003     ,2024/11/01,   1150000,2024/11/07,                    ,Fee conveyance                          ,T12729100                               ,1277000                                 ,        ,        ,3450                                    ,Apartment deed                          ,Valid Sale                              ,0 ,Improved
210080830003     ,2024/10/18,          ,2024/11/07,                    ,Land Court Order (all types)            ,T12729099                               ,                                        ,        ,        ,                                        ,Land Court Order (all types)            ,                                        ,  ,
