tmk_key,cpr,parid,boc_tmk,unit,boc_unit,condominium_name,street_address,document_number,instrument_code,recording_date,grantor,grantee,description,scraped_at
239004082,0001,390040820001,2-3-9-004-082-0001,G 101,G101,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 101,A65330972,R,,,,,2026-07-15T19:41:40
239004082,0001,390040820001,2-3-9-004-082-0001,G 101,G101,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 101,A2006208163,M,,,,,2026-07-15T19:41:40
239004082,0001,390040820001,2-3-9-004-082-0001,G 101,G101,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 101,65090038,,,,,,2026-07-15T19:41:40
239004082,0001,390040820001,2-3-9-004-082-0001,G 101,G101,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 101,A56890386,M,,,,,2026-07-15T19:41:40
239004082,0001,390040820001,2-3-9-004-082-0001,G 101,G101,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 101,90194704,,,,,,2026-07-15T19:41:40
239004082,0001,390040820001,2-3-9-004-082-0001,G 101,G101,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 101,91037613,,,,,,2026-07-15T19:41:40
239004082,0001,390040820001,2-3-9-004-082-0001,G 101,G101,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 101,91037614,,,,,,2026-07-15T19:41:40
239004082,0001,390040820001,2-3-9-004-082-0001,G 101,G101,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 101,91051777,,,,,,2026-07-15T19:41:40
239004082,0001,390040820001,2-3-9-004-082-0001,G 101,G101,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 101,91037614,UKN,,,,,2026-07-15T19:41:40
239004082,0001,390040820001,2-3-9-004-082-0001,G 101,G101,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 101,"A76480131/AD
A76810265/AD
A76991029/AD
A77180202/D
A77340464/D
A77370188/D
A77670653/AD
A77830115/D
A77970394/AD
A78020553/AD
A78080152/AD
A78250344/AD
A78570961/AD
A78940286/AD
A78940287/M
A79570943/D
A79860510/AGM
A79900170/AD
A79920571/M
A80000213/AD
A80140930/AD
A80141102/AD
A80261188/NL",,,,,,2026-07-15T19:41:40
