tmk_key,cpr,parid,boc_tmk,unit,boc_unit,condominium_name,street_address
239004082,0001,390040820001,2-3-9-004-082-0001,G 101,G101,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 101
239004082,0002,390040820002,2-3-9-004-082-0002,G 102,G102,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 102
239004082,0003,390040820003,2-3-9-004-082-0003,G 103,G103,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 103
239004082,0004,390040820004,2-3-9-004-082-0004,G 104,G104,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 104
239004082,0005,390040820005,2-3-9-004-082-0005,G 105,G105,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 105
239004082,0006,390040820006,2-3-9-004-082-0006,G 106,G106,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 106
239004082,0007,390040820007,2-3-9-004-082-0007,G 107,G107,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 107
239004082,0008,390040820008,2-3-9-004-082-0008,G 108,G108,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 108
239004082,0009,390040820009,2-3-9-004-082-0009,G 109,G109,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 109
239004082,0010,390040820010,2-3-9-004-082-0010,G 110,G110,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 110
239004082,0011,390040820011,2-3-9-004-082-0011,G 111,G111,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 111
239004082,0012,390040820012,2-3-9-004-082-0012,G 112,G112,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 112
239004082,0013,390040820013,2-3-9-004-082-0013,G 114,G114,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 114
239004082,0014,390040820014,2-3-9-004-082-0014,G 115,G115,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 115
239004082,0015,390040820015,2-3-9-004-082-0015,G 201,G201,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 201
239004082,0016,390040820016,2-3-9-004-082-0016,G 202,G202,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 202
239004082,0017,390040820017,2-3-9-004-082-0017,G 203,G203,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 203
239004082,0018,390040820018,2-3-9-004-082-0018,G 204,G204,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 204
239004082,0019,390040820019,2-3-9-004-082-0019,G 205,G205,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 205
239004082,0020,390040820020,2-3-9-004-082-0020,G 206,G206,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 206
239004082,0021,390040820021,2-3-9-004-082-0021,G 207,G207,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 207
239004082,0022,390040820022,2-3-9-004-082-0022,G 208,G208,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 208
239004082,0023,390040820023,2-3-9-004-082-0023,G 209,G209,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 209
239004082,0024,390040820024,2-3-9-004-082-0024,G 210,G210,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 210
239004082,0025,390040820025,2-3-9-004-082-0025,G 211,G211,MAUI KAMAOLE PHASE III,2777 S KIHEI RD UNIT G 211
