scope,tmk,period,building_value_bucket,transfer_count,priced_sale_count,median_sale_price,hi_pct_transfers,non_hi_pct_transfers,unknown_pct_transfers,units_in_bucket
collective,"239004082,239004143,239004144",pre_bill9,1003400,10,6,675000,0.0000,100.0000,0.0000,24
collective,"239004082,239004143,239004144",pre_bill9,1009100,2,1,1095000,0.0000,100.0000,0.0000,1
collective,"239004082,239004143,239004144",pre_bill9,1028700,7,5,749400,28.5714,71.4286,0.0000,8
collective,"239004082,239004143,239004144",pre_bill9,1031000,2,1,1425000,0.0000,100.0000,0.0000,3
collective,"239004082,239004143,239004144",pre_bill9,1066700,2,1,825000,50.0000,50.0000,0.0000,2
collective,"239004082,239004143,239004144",pre_bill9,1127000,1,1,1050000,0.0000,100.0000,0.0000,1
collective,"239004082,239004143,239004144",pre_bill9,1252100,20,13,857000,0.0000,100.0000,0.0000,38
collective,"239004082,239004143,239004144",pre_bill9,1279400,1,1,1472500,0.0000,100.0000,0.0000,7
collective,"239004082,239004143,239004144",pre_bill9,1282000,1,1,1660000,0.0000,100.0000,0.0000,8
collective,"239004082,239004143,239004144",pre_bill9,1350100,6,3,1479000,0.0000,100.0000,0.0000,1
collective,"239004082,239004143,239004144",pre_bill9,1395100,2,2,1410000,0.0000,100.0000,0.0000,1
collective,"239004082,239004143,239004144",pre_bill9,588200,6,5,985000,0.0000,100.0000,0.0000,15
collective,"239004082,239004143,239004144",pre_bill9,589600,2,2,717500,100.0000,0.0000,0.0000,2
collective,"239004082,239004143,239004144",pre_bill9,617500,37,29,600000,29.7297,70.2703,0.0000,68
collective,"239004082,239004143,239004144",pre_bill9,624900,7,4,660000,0.0000,100.0000,0.0000,7
collective,"239004082,239004143,239004144",pre_bill9,637800,3,3,1150000,0.0000,100.0000,0.0000,1
collective,"239004082,239004143,239004144",pre_bill9,638300,11,6,651500,27.2727,72.7273,0.0000,17
collective,"239004082,239004143,239004144",pre_bill9,696100,1,0,,0.0000,0.0000,100.0000,2
collective,"239004082,239004143,239004144",pre_bill9,756100,3,2,714500,0.0000,100.0000,0.0000,1
collective,"239004082,239004143,239004144",pre_bill9,768100,1,0,,0.0000,100.0000,0.0000,1
collective,"239004082,239004143,239004144",pre_bill9,800000,30,17,840000,23.3333,76.6667,0.0000,59
collective,"239004082,239004143,239004144",pre_bill9,834000,8,4,730000,0.0000,100.0000,0.0000,18
collective,"239004082,239004143,239004144",pre_bill9,849600,2,2,999500,0.0000,100.0000,0.0000,1
collective,"239004082,239004143,239004144",pre_bill9,896300,1,0,,0.0000,100.0000,0.0000,5
collective,"239004082,239004143,239004144",pre_bill9,897900,1,0,,0.0000,100.0000,0.0000,1
collective,"239004082,239004143,239004144",pre_bill9,899000,3,2,795000,0.0000,100.0000,0.0000,1
collective,"239004082,239004143,239004144",pre_bill9,948200,2,2,913000,0.0000,100.0000,0.0000,1
collective,"239004082,239004143,239004144",pre_bill9,950400,1,0,,0.0000,100.0000,0.0000,1
collective,"239004082,239004143,239004144",pre_bill9,988500,3,3,800000,0.0000,100.0000,0.0000,11
collective,"239004082,239004143,239004144",post_bill9,1003400,1,0,,100.0000,0.0000,0.0000,24
collective,"239004082,239004143,239004144",post_bill9,1028700,1,1,999000,0.0000,100.0000,0.0000,8
collective,"239004082,239004143,239004144",post_bill9,1128100,1,1,1375000,0.0000,100.0000,0.0000,2
collective,"239004082,239004143,239004144",post_bill9,1252100,6,1,930000,0.0000,100.0000,0.0000,38
collective,"239004082,239004143,239004144",post_bill9,1279400,1,0,,100.0000,0.0000,0.0000,7
collective,"239004082,239004143,239004144",post_bill9,1282000,1,0,,0.0000,100.0000,0.0000,8
collective,"239004082,239004143,239004144",post_bill9,1399000,1,1,1368500,0.0000,100.0000,0.0000,1
collective,"239004082,239004143,239004144",post_bill9,588200,2,2,705000,50.0000,50.0000,0.0000,15
collective,"239004082,239004143,239004144",post_bill9,617500,10,5,725000,30.0000,70.0000,0.0000,68
collective,"239004082,239004143,239004144",post_bill9,624900,1,1,750000,0.0000,100.0000,0.0000,7
collective,"239004082,239004143,239004144",post_bill9,638300,3,0,,66.6667,33.3333,0.0000,17
collective,"239004082,239004143,239004144",post_bill9,656900,2,2,735000,50.0000,50.0000,0.0000,2
collective,"239004082,239004143,239004144",post_bill9,696100,2,2,730000,0.0000,50.0000,50.0000,2
collective,"239004082,239004143,239004144",post_bill9,764200,1,1,750000,100.0000,0.0000,0.0000,1
collective,"239004082,239004143,239004144",post_bill9,800000,5,4,955000,0.0000,100.0000,0.0000,59
collective,"239004082,239004143,239004144",post_bill9,950400,1,1,1000000,0.0000,100.0000,0.0000,1
