year,scope,tmk,as_of_date,total_units,hi_pct,non_hi_pct,unknown_pct,non_hi_pct_of_resolved,unresolved_units,unresolved_pct,proxy_resolved_units,proxy_resolved_pct,hi_units,non_hi_units,mixed_units,unknown_units,resolved_units,transfer_count,first_transfer_count,newly_resolved_units,tmk_unit_pct,source,notes
2001,collective,,2001/12/31,316,14.7152,82.7532,2.5316,84.9026,7,2.2152,309,97.7848,46,261,1,8,308,68,30,30,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2001,tmk,239004082,2001/12/31,240,16.4583,80.2083,3.3333,82.9741,7,2.9167,233,97.0833,39,192,1,8,232,59,30,30,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2001,tmk,239004143,2001/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,5,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2001,tmk,239004144,2001/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,4,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2002,collective,,2002/12/31,316,14.7152,84.3354,0.9494,85.1438,2,0.6329,314,99.3671,46,266,1,3,313,57,5,5,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2002,tmk,239004082,2002/12/31,240,16.4583,82.2917,1.2500,83.3333,2,0.8333,238,99.1667,39,197,1,3,237,47,5,5,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
2002,tmk,239004143,2002/12/31,28,3.5714,96.4286,0.0000,96.4286,0,0.0000,28,100.0000,1,27,0,0,28,2,0,0,8.8608,fullownr_proxy,TMK 239004143 share of active collective portfolio at year-end
2002,tmk,239004144,2002/12/31,48,12.5000,87.5000,0.0000,87.5000,0,0.0000,48,100.0000,6,42,0,0,48,8,0,0,15.1899,fullownr_proxy,TMK 239004144 share of active collective portfolio at year-end
2003,collective,,2003/12/31,316,14.7152,84.3354,0.9494,85.1438,2,0.6329,314,99.3671,46,266,1,3,313,71,0,0,100.0000,fullownr_proxy,"year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004082, 239004143, 239004144"
2003,tmk,239004082,2003/12/31,240,16.4583,82.2917,1.2500,83.3333,2,0.8333,238,99.1667,39,197,1,3,237,56,0,0,75.9494,fullownr_proxy,TMK 239004082 share of active collective portfolio at year-end
