scope,tmk,period_start,period_end,total_units,hi_pct,non_hi_pct,unknown_pct,unresolved_units,unresolved_pct,proxy_resolved_units,proxy_resolved_pct,hi_units,non_hi_units,mixed_units,unknown_units,source,notes
collective,,1988/12/02,1988/12/07,28,0.0000,3.5714,96.4286,27,96.4286,1,3.5714,0,1,0,27,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004143
collective,,1988/12/08,1988/12/11,28,0.0000,7.1429,92.8571,26,92.8571,2,7.1429,0,2,0,26,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004143
collective,,1988/12/12,1988/12/12,28,0.0000,17.8571,82.1429,23,82.1429,5,17.8571,0,5,0,23,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004143
collective,,1988/12/13,1988/12/13,28,0.0000,25.0000,75.0000,21,75.0000,7,25.0000,0,7,0,21,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004143
collective,,1988/12/14,1988/12/14,28,0.0000,28.5714,71.4286,20,71.4286,8,28.5714,0,8,0,20,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004143
collective,,1988/12/15,1988/12/15,28,0.0000,32.1429,67.8571,19,67.8571,9,32.1429,0,9,0,19,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004143
collective,,1988/12/16,1988/12/18,28,0.0000,35.7143,64.2857,18,64.2857,10,35.7143,0,10,0,18,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004143
collective,,1988/12/19,1988/12/19,28,0.0000,39.2857,60.7143,17,60.7143,11,39.2857,0,11,0,17,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004143
collective,,1988/12/20,1988/12/20,28,0.0000,42.8571,57.1429,16,57.1429,12,42.8571,0,12,0,16,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004143
collective,,1988/12/21,1988/12/21,28,0.0000,46.4286,53.5714,15,53.5714,13,46.4286,0,13,0,15,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004143
collective,,1988/12/22,1988/12/29,28,0.0000,50.0000,50.0000,14,50.0000,14,50.0000,0,14,0,14,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004143
collective,,1988/12/30,1988/12/31,28,3.5714,50.0000,46.4286,13,46.4286,15,53.5714,1,14,0,13,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004143
collective,,1989/01/01,1989/01/05,28,3.5714,50.0000,46.4286,13,46.4286,15,53.5714,1,14,0,13,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004143
collective,,1989/01/06,1989/01/08,28,3.5714,53.5714,42.8571,12,42.8571,16,57.1429,1,15,0,12,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 239004143
