scope,tmk,year,building_value_bucket,units_in_bucket,transfer_count,priced_sale_count,median_price,mean_price,median_price_yoy_pct,price_index,notes
collective,,1988,ALL,,15,15,188500,190117,,100.0000,TMK-wide aggregate across all building-value buckets
collective,,1989,ALL,,77,74,183000,188985,-2.9178,97.0822,TMK-wide aggregate across all building-value buckets
collective,,1990,ALL,,72,69,285000,289214,55.7377,151.1936,TMK-wide aggregate across all building-value buckets
collective,,1991,ALL,,52,50,290000,287370,1.7544,153.8462,TMK-wide aggregate across all building-value buckets
collective,,1992,ALL,,19,13,295000,324846,1.7241,156.4987,TMK-wide aggregate across all building-value buckets
collective,,1993,ALL,,31,18,258250,269500,-12.4576,137.0027,TMK-wide aggregate across all building-value buckets
collective,,1994,ALL,,19,16,230000,240619,-10.9390,122.0159,TMK-wide aggregate across all building-value buckets
collective,,1995,ALL,,33,24,222500,218243,-3.2609,118.0371,TMK-wide aggregate across all building-value buckets
collective,,1996,ALL,,24,14,212500,225427,-4.4944,112.7321,TMK-wide aggregate across all building-value buckets
collective,,1997,ALL,,26,21,234000,226905,10.1176,124.1379,TMK-wide aggregate across all building-value buckets
collective,,1998,ALL,,28,15,220000,242950,-5.9829,116.7109,TMK-wide aggregate across all building-value buckets
collective,,1999,ALL,,77,62,249000,253597,13.1818,132.0955,TMK-wide aggregate across all building-value buckets
collective,,2000,ALL,,109,90,285000,293598,14.4578,151.1936,TMK-wide aggregate across all building-value buckets
collective,,2001,ALL,,68,45,305000,328976,7.0175,161.8037,TMK-wide aggregate across all building-value buckets
collective,,2002,ALL,,57,39,355000,356846,16.3934,188.3289,TMK-wide aggregate across all building-value buckets
collective,,2003,ALL,,71,42,411000,415661,15.7746,218.0371,TMK-wide aggregate across all building-value buckets
collective,,2004,ALL,,56,38,496000,500680,20.6813,263.1300,TMK-wide aggregate across all building-value buckets
collective,,2005,ALL,,51,28,682500,666086,37.6008,362.0690,TMK-wide aggregate across all building-value buckets
collective,,2006,ALL,,31,20,795500,820700,16.5568,422.0159,TMK-wide aggregate across all building-value buckets
collective,,2007,ALL,,39,22,675000,699524,-15.1477,358.0902,TMK-wide aggregate across all building-value buckets
collective,,2008,ALL,,20,9,640000,656944,-5.1852,339.5225,TMK-wide aggregate across all building-value buckets
collective,,2009,ALL,,14,8,501233,506933,-21.6823,265.9061,TMK-wide aggregate across all building-value buckets
collective,,2010,ALL,,26,17,533000,513533,6.3378,282.7586,TMK-wide aggregate across all building-value buckets
collective,,2011,ALL,,26,18,489266,521407,-8.2052,259.5578,TMK-wide aggregate across all building-value buckets
collective,,2012,ALL,,22,13,500000,555998,2.1938,265.2520,TMK-wide aggregate across all building-value buckets
collective,,2013,ALL,,34,24,550000,555083,10.0000,291.7772,TMK-wide aggregate across all building-value buckets
collective,,2014,ALL,,26,18,680000,663258,23.6364,360.7427,TMK-wide aggregate across all building-value buckets
collective,,2015,ALL,,23,15,610000,577200,-10.2941,323.6074,TMK-wide aggregate across all building-value buckets
collective,,2016,ALL,,19,6,627500,657900,2.8689,332.8912,TMK-wide aggregate across all building-value buckets
collective,,2017,ALL,,35,26,594500,619021,-5.2590,315.3844,TMK-wide aggregate across all building-value buckets
