scope,tmk,year,building_value_bucket,units_in_bucket,transfer_count,priced_sale_count,median_price,mean_price,median_price_yoy_pct,price_index,notes
collective,,1988,1003400,24,3,3,168000,162167,,100.0000,
collective,,1989,1003400,24,14,12,190000,182167,13.0952,113.0952,
collective,,1990,1003400,24,18,18,241000,242222,26.8421,143.4524,
collective,,1991,1003400,24,11,10,241000,245750,0.0000,143.4524,
collective,,1992,1003400,24,2,1,285000,285000,18.2573,169.6429,
collective,,1993,1003400,24,2,2,239000,239000,-16.1404,142.2619,
collective,,1994,1003400,24,3,2,215950,215950,-9.6444,128.5417,
collective,,1995,1003400,24,3,2,215000,215000,-0.4399,127.9762,
collective,,1996,1003400,24,4,3,199514,201343,-7.2028,118.7583,
collective,,1997,1003400,24,2,0,,,,,transfers without arm's-length price
collective,,1998,1003400,24,0,0,,,,,no transfers
collective,,1999,1003400,24,3,2,226250,226250,,134.6726,
collective,,2000,1003400,24,7,7,269000,200214,18.8950,160.1190,
collective,,2001,1003400,24,1,1,317900,317900,18.1784,189.2262,
collective,,2002,1003400,24,1,1,335000,335000,5.3791,199.4048,
collective,,2003,1003400,24,5,5,438000,428400,30.7463,260.7143,
collective,,2004,1003400,24,8,7,500000,518571,14.1553,297.6190,
collective,,2005,1003400,24,3,3,620000,616333,24.0000,369.0476,
collective,,2006,1003400,24,3,2,768500,768500,23.9516,457.4405,
collective,,2007,1003400,24,1,1,735000,735000,-4.3591,437.5000,
collective,,2008,1003400,24,1,0,,,,,transfers without arm's-length price
collective,,2009,1003400,24,0,0,,,,,no transfers
collective,,2010,1003400,24,2,2,475000,475000,,282.7381,
collective,,2011,1003400,24,1,1,421933,421933,-11.1720,251.1506,
collective,,2012,1003400,24,2,1,450000,450000,6.6520,267.8571,
collective,,2013,1003400,24,4,4,555000,489125,23.3333,330.3571,
collective,,2014,1003400,24,1,1,530000,530000,-4.5045,315.4762,
collective,,2015,1003400,24,2,0,,,,,transfers without arm's-length price
collective,,2016,1003400,24,1,1,630000,630000,,375.0000,
collective,,2017,1003400,24,2,2,562500,562500,-10.7143,334.8214,
collective,,2018,1003400,24,6,5,594500,587624,5.6889,353.8690,
