scope,tmk,building_value_bucket,series_x,series_y,lag_years,pearson_r,spearman_rho,n_observations,notes
collective,,ALL,transfer_count,median_price_yoy_pct,0,0.4368,0.4859,38,same-year turnover vs YoY median price change
collective,,ALL,transfer_count,median_price_yoy_pct,1,0.4854,0.5120,38,turnover leads price change by one year
collective,,ALL,transfer_count,median_price,0,-0.3355,-0.1841,39,same-year turnover vs median price level
collective,,ALL,transfer_count,price_index,0,-0.3355,-0.1841,39,same-year turnover vs price index
collective,,1003400,transfer_count,median_price_yoy_pct,0,0.3759,0.4369,24,bucket turnover vs YoY median price change
collective,,1003400,transfer_count,median_price_yoy_pct,1,0.2612,0.3154,24,bucket turnover leads price change by one year
collective,,1009100,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
collective,,1009100,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
collective,,1028700,transfer_count,median_price_yoy_pct,0,0.2901,0.3560,8,bucket turnover vs YoY median price change
collective,,1028700,transfer_count,median_price_yoy_pct,1,-0.4110,-0.0843,8,bucket turnover leads price change by one year
collective,,1031000,transfer_count,median_price_yoy_pct,0,,,2,bucket turnover vs YoY median price change
collective,,1031000,transfer_count,median_price_yoy_pct,1,,,2,bucket turnover leads price change by one year
collective,,1066700,transfer_count,median_price_yoy_pct,0,,,2,bucket turnover vs YoY median price change
collective,,1066700,transfer_count,median_price_yoy_pct,1,,,2,bucket turnover leads price change by one year
collective,,1127000,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
collective,,1127000,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
collective,,1128100,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
collective,,1128100,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
collective,,1252100,transfer_count,median_price_yoy_pct,0,0.5393,0.1512,26,bucket turnover vs YoY median price change
collective,,1252100,transfer_count,median_price_yoy_pct,1,-0.0704,-0.0518,26,bucket turnover leads price change by one year
collective,,1279400,transfer_count,median_price_yoy_pct,0,-0.3179,-0.2236,5,bucket turnover vs YoY median price change
collective,,1279400,transfer_count,median_price_yoy_pct,1,-0.4143,-0.3591,5,bucket turnover leads price change by one year
collective,,1282000,transfer_count,median_price_yoy_pct,0,0.6244,0.2684,7,bucket turnover vs YoY median price change
collective,,1282000,transfer_count,median_price_yoy_pct,1,-0.1824,-0.0994,7,bucket turnover leads price change by one year
collective,,1350100,transfer_count,median_price_yoy_pct,0,,,2,bucket turnover vs YoY median price change
collective,,1350100,transfer_count,median_price_yoy_pct,1,,,2,bucket turnover leads price change by one year
collective,,1395100,transfer_count,median_price_yoy_pct,0,,,2,bucket turnover vs YoY median price change
collective,,1395100,transfer_count,median_price_yoy_pct,1,,,2,bucket turnover leads price change by one year
collective,,1399000,transfer_count,median_price_yoy_pct,0,,,1,bucket turnover vs YoY median price change
collective,,1399000,transfer_count,median_price_yoy_pct,1,,,1,bucket turnover leads price change by one year
collective,,588200,transfer_count,median_price_yoy_pct,0,0.3205,0.6012,14,bucket turnover vs YoY median price change
collective,,588200,transfer_count,median_price_yoy_pct,1,0.3894,0.4782,14,bucket turnover leads price change by one year
collective,,589600,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
collective,,589600,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
collective,,617500,transfer_count,median_price_yoy_pct,0,0.2899,0.3496,32,bucket turnover vs YoY median price change
collective,,617500,transfer_count,median_price_yoy_pct,1,0.4255,0.4805,32,bucket turnover leads price change by one year
collective,,624900,transfer_count,median_price_yoy_pct,0,0.1018,0.4913,10,bucket turnover vs YoY median price change
collective,,624900,transfer_count,median_price_yoy_pct,1,-0.2941,-0.1711,10,bucket turnover leads price change by one year
collective,,637800,transfer_count,median_price_yoy_pct,0,,,1,bucket turnover vs YoY median price change
collective,,637800,transfer_count,median_price_yoy_pct,1,,,1,bucket turnover leads price change by one year
collective,,638300,transfer_count,median_price_yoy_pct,0,0.3743,0.3737,20,bucket turnover vs YoY median price change
collective,,638300,transfer_count,median_price_yoy_pct,1,0.2351,0.3598,20,bucket turnover leads price change by one year
collective,,656900,transfer_count,median_price_yoy_pct,0,,,1,bucket turnover vs YoY median price change
collective,,656900,transfer_count,median_price_yoy_pct,1,,,1,bucket turnover leads price change by one year
collective,,696100,transfer_count,median_price_yoy_pct,0,,,1,bucket turnover vs YoY median price change
collective,,696100,transfer_count,median_price_yoy_pct,1,,,1,bucket turnover leads price change by one year
collective,,756100,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
collective,,756100,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
collective,,764200,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
collective,,764200,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
