tmk,cpr,unit,parid,tax_rate_class_code,tax_rate_class_label,land_class_code,land_exemption,building_exemption,has_any_exemption,is_owner_occupied,is_homestead_exemption,is_ltr_exemption,owner_address_region
239004082,0089,D 101,390040820089,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0090,D 102,390040820090,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0091,D 103,390040820091,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0092,D 104,390040820092,12,LONG TERM RENTAL,12,0,200000,yes,no,no,yes,usa
239004082,0093,D 105,390040820093,11,TVR-STRH,11,0,0,no,no,no,no,foreign
239004082,0094,D 106,390040820094,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0095,D 107,390040820095,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0096,D 108,390040820096,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0097,D 109,390040820097,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0098,D 110,390040820098,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0099,D 111,390040820099,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0100,D 112,390040820100,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0101,D 201,390040820101,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0102,D 202,390040820102,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0103,D 203,390040820103,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0104,D 204,390040820104,11,TVR-STRH,11,0,0,no,no,no,no,foreign
239004082,0105,D 205,390040820105,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0106,D 206,390040820106,11,TVR-STRH,11,0,0,no,no,no,no,hi
239004082,0107,D 207,390040820107,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0108,D 208,390040820108,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0109,D 209,390040820109,11,TVR-STRH,11,0,0,no,no,no,no,foreign
239004082,0110,D 210,390040820110,11,TVR-STRH,11,0,0,no,no,no,no,foreign
239004082,0111,D 211,390040820111,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0112,D 212,390040820112,11,TVR-STRH,11,0,0,no,no,no,no,hi
239004082,0113,E 101,390040820113,11,TVR-STRH,11,0,0,no,no,no,no,hi
239004082,0114,E 102,390040820114,11,TVR-STRH,11,0,0,no,no,no,no,hi
239004082,0115,E 103,390040820115,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0116,E 104,390040820116,9,OWNER-OCCUPIED,11,0,300000,yes,yes,yes,no,hi
239004082,0117,E 201,390040820117,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0118,E 202,390040820118,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0119,E 203,390040820119,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0120,E 204,390040820120,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0221,F 101,390040820221,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0222,F 102,390040820222,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0223,F 103,390040820223,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0224,F 104,390040820224,11,TVR-STRH,11,0,0,no,no,no,no,unknown
239004082,0225,F 105,390040820225,11,TVR-STRH,11,0,0,no,no,no,no,foreign
239004082,0226,F 106,390040820226,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0227,F 107,390040820227,11,TVR-STRH,11,0,0,no,no,no,no,unknown
239004082,0228,F 108,390040820228,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0229,F 109,390040820229,9,OWNER-OCCUPIED,11,0,300000,yes,yes,yes,no,hi
239004082,0230,F 110,390040820230,9,OWNER-OCCUPIED,11,0,300000,yes,yes,yes,no,hi
239004082,0231,F 201,390040820231,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0232,F 202,390040820232,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0233,F 203,390040820233,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0234,F 204,390040820234,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0235,F 205,390040820235,9,OWNER-OCCUPIED,11,0,300000,yes,yes,yes,no,hi
239004082,0236,F 206,390040820236,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0237,F 207,390040820237,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0238,F 208,390040820238,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0239,F 209,390040820239,11,TVR-STRH,11,0,0,no,no,no,no,usa
239004082,0240,F 210,390040820240,11,TVR-STRH,11,0,0,no,no,no,no,usa
