scope,tmk,period_start,period_end,total_units,hi_pct,non_hi_pct,unknown_pct,unresolved_units,unresolved_pct,proxy_resolved_units,proxy_resolved_pct,hi_units,non_hi_units,mixed_units,unknown_units,source,notes
collective,,1990/02/01,1990/02/28,152,0.0000,0.6579,99.3421,151,99.3421,1,0.6579,0,1,0,151,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008082
collective,,1990/03/01,1990/11/08,152,0.0000,1.3158,98.6842,150,98.6842,2,1.3158,0,2,0,150,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008082
collective,,1990/11/09,1990/11/20,152,0.6579,1.3158,98.0263,149,98.0263,3,1.9737,1,2,0,149,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008082
collective,,1990/11/21,1990/11/28,152,1.3158,1.3158,97.3684,148,97.3684,4,2.6316,2,2,0,148,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008082
collective,,1990/11/29,1990/11/30,152,1.3158,1.9737,96.7105,147,96.7105,5,3.2895,2,3,0,147,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008082
collective,,1990/12/01,1990/12/02,152,1.3158,2.6316,96.0526,146,96.0526,6,3.9474,2,4,0,146,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008082
collective,,1990/12/03,1990/12/11,152,1.3158,3.2895,95.3947,145,95.3947,7,4.6053,2,5,0,145,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008082
collective,,1990/12/12,1990/12/12,152,1.3158,3.9474,94.7368,144,94.7368,8,5.2632,2,6,0,144,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008082
collective,,1990/12/13,1990/12/14,152,2.6316,13.1579,84.2105,128,84.2105,24,15.7895,4,20,0,128,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008082
collective,,1990/12/15,1990/12/30,152,2.6316,13.8158,83.5526,127,83.5526,25,16.4474,4,21,0,127,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008082
collective,,1990/12/31,1991/01/06,152,2.6316,14.4737,82.8947,126,82.8947,26,17.1053,4,22,0,126,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008082
collective,,1991/01/07,1991/01/07,152,3.2895,14.4737,82.2368,125,82.2368,27,17.7632,5,22,0,125,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008082
collective,,1991/01/08,1991/01/30,152,5.2632,23.0263,71.7105,109,71.7105,43,28.2895,8,35,0,109,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008082
collective,,1991/01/31,1991/02/18,152,5.2632,23.6842,71.0526,108,71.0526,44,28.9474,8,36,0,108,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008082
collective,,1991/02/19,1991/02/19,152,5.2632,23.6842,71.0526,108,71.0526,44,28.9474,8,36,0,108,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008082
collective,,1991/02/20,1991/02/25,152,5.9211,42.1053,51.9737,79,51.9737,73,48.0263,9,64,0,79,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008082
