scope,tmk,year,building_value_bucket,units_in_bucket,transfer_count,priced_sale_count,median_price,mean_price,median_price_yoy_pct,price_index,notes
collective,,1990,ALL,,29,29,450000,435550,,100.0000,TMK-wide aggregate across all building-value buckets
collective,,1991,ALL,,125,123,445000,434491,-1.1111,98.8889,TMK-wide aggregate across all building-value buckets
collective,,1992,ALL,,24,21,350000,352444,-21.3483,77.7778,TMK-wide aggregate across all building-value buckets
collective,,1993,ALL,,24,23,376000,802162,7.4286,83.5556,TMK-wide aggregate across all building-value buckets
collective,,1994,ALL,,14,13,295000,319000,-21.5426,65.5556,TMK-wide aggregate across all building-value buckets
collective,,1995,ALL,,11,9,250000,290833,-15.2542,55.5556,TMK-wide aggregate across all building-value buckets
collective,,1996,ALL,,37,32,232500,234289,-7.0000,51.6667,TMK-wide aggregate across all building-value buckets
collective,,1997,ALL,,34,28,245000,236071,5.3763,54.4444,TMK-wide aggregate across all building-value buckets
collective,,1998,ALL,,28,24,247500,256658,1.0204,55.0000,TMK-wide aggregate across all building-value buckets
collective,,1999,ALL,,49,42,286500,307643,15.7576,63.6667,TMK-wide aggregate across all building-value buckets
collective,,2000,ALL,,22,19,350000,394105,22.1640,77.7778,TMK-wide aggregate across all building-value buckets
collective,,2001,ALL,,23,14,432500,465793,23.5714,96.1111,TMK-wide aggregate across all building-value buckets
collective,,2002,ALL,,31,24,447500,474604,3.4682,99.4444,TMK-wide aggregate across all building-value buckets
collective,,2003,ALL,,39,30,511030,510002,14.1966,113.5622,TMK-wide aggregate across all building-value buckets
collective,,2004,ALL,,27,17,700000,698588,36.9783,155.5556,TMK-wide aggregate across all building-value buckets
collective,,2005,ALL,,15,11,900000,931143,28.5714,200.0000,TMK-wide aggregate across all building-value buckets
collective,,2006,ALL,,25,18,912500,945169,1.3889,202.7778,TMK-wide aggregate across all building-value buckets
collective,,2007,ALL,,26,19,870000,869474,-4.6575,193.3333,TMK-wide aggregate across all building-value buckets
collective,,2008,ALL,,16,7,835000,791429,-4.0230,185.5556,TMK-wide aggregate across all building-value buckets
collective,,2009,ALL,,8,5,610000,620000,-26.9461,135.5556,TMK-wide aggregate across all building-value buckets
collective,,2010,ALL,,17,10,625000,658700,2.4590,138.8889,TMK-wide aggregate across all building-value buckets
collective,,2011,ALL,,13,10,622500,554499,-0.4000,138.3333,TMK-wide aggregate across all building-value buckets
collective,,2012,ALL,,16,11,575000,623727,-7.6305,127.7778,TMK-wide aggregate across all building-value buckets
collective,,2013,ALL,,26,16,656469,715215,14.1685,145.8820,TMK-wide aggregate across all building-value buckets
collective,,2014,ALL,,16,9,800000,825476,21.8641,177.7778,TMK-wide aggregate across all building-value buckets
collective,,2015,ALL,,11,9,895000,824422,11.8750,198.8889,TMK-wide aggregate across all building-value buckets
collective,,2016,ALL,,13,8,735000,747375,-17.8771,163.3333,TMK-wide aggregate across all building-value buckets
collective,,2017,ALL,,9,7,860000,887300,17.0068,191.1111,TMK-wide aggregate across all building-value buckets
collective,,2018,ALL,,15,13,790000,846292,-8.1395,175.5556,TMK-wide aggregate across all building-value buckets
collective,,2019,ALL,,15,11,764300,803855,-3.2532,169.8444,TMK-wide aggregate across all building-value buckets
collective,,2020,ALL,,21,16,820000,855334,7.2877,182.2222,TMK-wide aggregate across all building-value buckets
collective,,2021,ALL,,20,18,927500,981346,13.1098,206.1111,TMK-wide aggregate across all building-value buckets
collective,,2022,ALL,,23,19,1350000,1341263,45.5526,300.0000,TMK-wide aggregate across all building-value buckets
collective,,2023,ALL,,11,9,1750000,1739226,29.6296,388.8889,TMK-wide aggregate across all building-value buckets
collective,,2024,ALL,,9,5,1318000,1187122,-24.6857,292.8889,TMK-wide aggregate across all building-value buckets
collective,,2025,ALL,,5,4,1147000,1161000,-12.9742,254.8889,TMK-wide aggregate across all building-value buckets
collective,,2026,ALL,,0,0,,,,,TMK-wide aggregate across all building-value buckets
tmk,221008082,1990,ALL,,29,29,450000,435550,,100.0000,TMK-wide aggregate across all building-value buckets
tmk,221008082,1991,ALL,,125,123,445000,434491,-1.1111,98.8889,TMK-wide aggregate across all building-value buckets
tmk,221008082,1992,ALL,,24,21,350000,352444,-21.3483,77.7778,TMK-wide aggregate across all building-value buckets
tmk,221008082,1993,ALL,,24,23,376000,802162,7.4286,83.5556,TMK-wide aggregate across all building-value buckets
tmk,221008082,1994,ALL,,14,13,295000,319000,-21.5426,65.5556,TMK-wide aggregate across all building-value buckets
tmk,221008082,1995,ALL,,11,9,250000,290833,-15.2542,55.5556,TMK-wide aggregate across all building-value buckets
tmk,221008082,1996,ALL,,37,32,232500,234289,-7.0000,51.6667,TMK-wide aggregate across all building-value buckets
tmk,221008082,1997,ALL,,34,28,245000,236071,5.3763,54.4444,TMK-wide aggregate across all building-value buckets
tmk,221008082,1998,ALL,,28,24,247500,256658,1.0204,55.0000,TMK-wide aggregate across all building-value buckets
tmk,221008082,1999,ALL,,49,42,286500,307643,15.7576,63.6667,TMK-wide aggregate across all building-value buckets
tmk,221008082,2000,ALL,,22,19,350000,394105,22.1640,77.7778,TMK-wide aggregate across all building-value buckets
