scope,tmk,year,building_value_bucket,units_in_bucket,transfer_count,priced_sale_count,median_price,mean_price,median_price_yoy_pct,price_index,notes
collective,,1990,100,1,0,0,,,,,no transfers
collective,,1991,100,1,0,0,,,,,no transfers
collective,,1992,100,1,0,0,,,,,no transfers
collective,,1993,100,1,0,0,,,,,no transfers
collective,,1994,100,1,0,0,,,,,no transfers
collective,,1995,100,1,0,0,,,,,no transfers
collective,,1996,100,1,1,1,100000,100000,,100.0000,
collective,,1997,100,1,0,0,,,,,no transfers
collective,,1998,100,1,0,0,,,,,no transfers
collective,,1999,100,1,0,0,,,,,no transfers
collective,,2000,100,1,0,0,,,,,no transfers
collective,,2001,100,1,0,0,,,,,no transfers
collective,,2002,100,1,0,0,,,,,no transfers
collective,,2003,100,1,0,0,,,,,no transfers
collective,,2004,100,1,0,0,,,,,no transfers
collective,,2005,100,1,0,0,,,,,no transfers
collective,,2006,100,1,0,0,,,,,no transfers
collective,,2007,100,1,0,0,,,,,no transfers
collective,,2008,100,1,0,0,,,,,no transfers
collective,,2009,100,1,0,0,,,,,no transfers
collective,,2010,100,1,0,0,,,,,no transfers
collective,,2011,100,1,0,0,,,,,no transfers
collective,,2012,100,1,0,0,,,,,no transfers
collective,,2013,100,1,0,0,,,,,no transfers
collective,,2014,100,1,0,0,,,,,no transfers
collective,,2015,100,1,0,0,,,,,no transfers
collective,,2016,100,1,0,0,,,,,no transfers
collective,,2017,100,1,0,0,,,,,no transfers
collective,,2018,100,1,0,0,,,,,no transfers
collective,,2019,100,1,0,0,,,,,no transfers
collective,,2020,100,1,0,0,,,,,no transfers
collective,,2021,100,1,0,0,,,,,no transfers
collective,,2022,100,1,0,0,,,,,no transfers
collective,,2023,100,1,0,0,,,,,no transfers
collective,,2024,100,1,0,0,,,,,no transfers
collective,,2025,100,1,0,0,,,,,no transfers
collective,,1990,1008400,1,0,0,,,,,no transfers
collective,,1991,1008400,1,1,1,415000,415000,,100.0000,
collective,,1992,1008400,1,0,0,,,,,no transfers
collective,,1993,1008400,1,0,0,,,,,no transfers
collective,,1994,1008400,1,0,0,,,,,no transfers
collective,,1995,1008400,1,0,0,,,,,no transfers
collective,,1996,1008400,1,0,0,,,,,no transfers
collective,,1997,1008400,1,0,0,,,,,no transfers
collective,,1998,1008400,1,0,0,,,,,no transfers
collective,,1999,1008400,1,1,1,288000,288000,,69.3976,
collective,,2000,1008400,1,0,0,,,,,no transfers
collective,,2001,1008400,1,0,0,,,,,no transfers
collective,,2002,1008400,1,0,0,,,,,no transfers
collective,,2003,1008400,1,1,1,50000,50000,,12.0482,
collective,,2004,1008400,1,1,1,500000,500000,900.0000,120.4819,
collective,,2005,1008400,1,0,0,,,,,no transfers
collective,,2006,1008400,1,0,0,,,,,no transfers
