scope,tmk,building_value_bucket,series_x,series_y,lag_years,pearson_r,spearman_rho,n_observations,notes
collective,,ALL,transfer_count,median_price_yoy_pct,0,0.0936,0.3001,35,same-year turnover vs YoY median price change
collective,,ALL,transfer_count,median_price_yoy_pct,1,-0.0060,0.3918,35,turnover leads price change by one year
collective,,ALL,transfer_count,median_price,0,-0.3444,-0.4986,36,same-year turnover vs median price level
collective,,ALL,transfer_count,price_index,0,-0.3444,-0.4986,36,same-year turnover vs price index
collective,,100,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
collective,,100,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
collective,,1008400,transfer_count,median_price_yoy_pct,0,,,1,bucket turnover vs YoY median price change
collective,,1008400,transfer_count,median_price_yoy_pct,1,,,1,bucket turnover leads price change by one year
collective,,1011600,transfer_count,median_price_yoy_pct,0,,,1,bucket turnover vs YoY median price change
collective,,1011600,transfer_count,median_price_yoy_pct,1,,,1,bucket turnover leads price change by one year
collective,,1012300,transfer_count,median_price_yoy_pct,0,-0.1926,-0.1323,16,bucket turnover vs YoY median price change
collective,,1012300,transfer_count,median_price_yoy_pct,1,0.2375,0.1717,16,bucket turnover leads price change by one year
collective,,1012400,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
collective,,1012400,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
collective,,1034300,transfer_count,median_price_yoy_pct,0,,,5,bucket turnover vs YoY median price change
collective,,1034300,transfer_count,median_price_yoy_pct,1,,,5,bucket turnover leads price change by one year
collective,,1038700,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
collective,,1038700,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
collective,,1110900,transfer_count,median_price_yoy_pct,0,,,1,bucket turnover vs YoY median price change
collective,,1110900,transfer_count,median_price_yoy_pct,1,,,1,bucket turnover leads price change by one year
collective,,1143400,transfer_count,median_price_yoy_pct,0,,,0,bucket turnover vs YoY median price change
collective,,1143400,transfer_count,median_price_yoy_pct,1,,,0,bucket turnover leads price change by one year
collective,,1151000,transfer_count,median_price_yoy_pct,0,0.0147,0.0205,28,bucket turnover vs YoY median price change
collective,,1151000,transfer_count,median_price_yoy_pct,1,0.0094,0.1838,28,bucket turnover leads price change by one year
collective,,1172200,transfer_count,median_price_yoy_pct,0,-0.1993,-0.3162,5,bucket turnover vs YoY median price change
collective,,1172200,transfer_count,median_price_yoy_pct,1,-0.7634,-0.5270,5,bucket turnover leads price change by one year
