year,scope,tmk,as_of_date,total_units,hi_pct,non_hi_pct,unknown_pct,non_hi_pct_of_resolved,unresolved_units,unresolved_pct,proxy_resolved_units,proxy_resolved_pct,hi_units,non_hi_units,mixed_units,unknown_units,resolved_units,transfer_count,first_transfer_count,newly_resolved_units,tmk_unit_pct,source,notes
2001,collective,,2001/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,15,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2001,tmk,221008083,2001/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,15,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2002,collective,,2002/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,13,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2002,tmk,221008083,2002/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,13,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2003,collective,,2003/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,18,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2003,tmk,221008083,2003/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,18,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2004,collective,,2004/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,20,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2004,tmk,221008083,2004/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,20,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
2005,collective,,2005/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,17,0,0,100.0000,fullownr_proxy,year-end snapshot; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
2005,tmk,221008083,2005/12/31,120,33.1944,66.5278,0.2778,66.7131,0,0.0000,120,100.0000,39,79,2,0,120,17,0,0,100.0000,fullownr_proxy,TMK 221008083 share of active collective portfolio at year-end
