scope,tmk,period_start,period_end,total_units,hi_pct,non_hi_pct,unknown_pct,unresolved_units,unresolved_pct,proxy_resolved_units,proxy_resolved_pct,hi_units,non_hi_units,mixed_units,unknown_units,source,notes
collective,,1992/11/18,1992/12/13,120,0.8333,0.0000,99.1667,119,99.1667,1,0.8333,1,0,0,119,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
collective,,1992/12/14,1993/01/19,120,0.8333,0.8333,98.3333,118,98.3333,2,1.6667,1,1,0,118,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
collective,,1993/01/20,1993/02/08,120,0.8333,1.6667,97.5000,117,97.5000,3,2.5000,1,2,0,117,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
collective,,1993/02/09,1993/03/21,120,1.6667,1.6667,96.6667,116,96.6667,4,3.3333,2,2,0,116,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
collective,,1993/03/22,1993/05/11,120,1.6667,2.5000,95.8333,115,95.8333,5,4.1667,2,3,0,115,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
collective,,1993/05/12,1993/06/15,120,1.6667,3.3333,95.0000,114,95.0000,6,5.0000,2,4,0,114,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
collective,,1993/06/16,1993/06/21,120,1.6667,4.1667,94.1667,113,94.1667,7,5.8333,2,5,0,113,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
collective,,1993/06/22,1994/02/14,120,1.6667,4.1667,94.1667,113,94.1667,7,5.8333,2,5,0,113,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
collective,,1994/02/15,1994/02/28,120,1.6667,5.0000,93.3333,112,93.3333,8,6.6667,2,6,0,112,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
collective,,1994/03/01,1994/03/01,120,1.6667,5.8333,92.5000,111,92.5000,9,7.5000,2,7,0,111,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
collective,,1994/03/02,1994/03/05,120,1.6667,7.5000,90.8333,109,90.8333,11,9.1667,2,9,0,109,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
collective,,1994/03/06,1994/03/10,120,1.6667,7.5000,90.8333,109,90.8333,11,9.1667,2,9,0,109,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
collective,,1994/03/11,1994/03/27,120,2.5000,7.5000,90.0000,108,90.0000,12,10.0000,3,9,0,108,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
collective,,1994/03/28,1994/04/21,120,2.7778,7.7778,89.4444,107,89.1667,13,10.8333,3,9,1,107,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
collective,,1994/04/22,1994/05/16,120,2.7778,8.6111,88.6111,106,88.3333,14,11.6667,3,10,1,106,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
collective,,1994/05/17,1994/05/17,120,2.7778,8.6111,88.6111,106,88.3333,14,11.6667,3,10,1,106,fullownr_proxy,between transfer events; residency from 2026 fullownr proxy applied after first transfer; historical owner addresses not in sales extract; active TMKs: 221008083
