scope,tmk,year,building_value_bucket,units_in_bucket,transfer_count,priced_sale_count,median_price,mean_price,median_price_yoy_pct,price_index,notes
collective,,1992,ALL,,2,2,552500,552500,,100.0000,TMK-wide aggregate across all building-value buckets
collective,,1993,ALL,,6,6,435000,417567,-21.2670,78.7330,TMK-wide aggregate across all building-value buckets
collective,,1994,ALL,,21,20,346500,382450,-20.3448,62.7149,TMK-wide aggregate across all building-value buckets
collective,,1995,ALL,,9,6,297500,384500,-14.1414,53.8462,TMK-wide aggregate across all building-value buckets
collective,,1996,ALL,,26,24,302950,306794,1.8319,54.8326,TMK-wide aggregate across all building-value buckets
collective,,1997,ALL,,80,78,288925,292856,-4.6295,52.2941,TMK-wide aggregate across all building-value buckets
collective,,1998,ALL,,15,10,381000,381680,31.8681,68.9593,TMK-wide aggregate across all building-value buckets
collective,,1999,ALL,,23,18,373750,376356,-1.9029,67.6471,TMK-wide aggregate across all building-value buckets
collective,,2000,ALL,,23,18,550000,544241,47.1572,99.5475,TMK-wide aggregate across all building-value buckets
collective,,2001,ALL,,15,12,662500,634583,20.4545,119.9095,TMK-wide aggregate across all building-value buckets
collective,,2002,ALL,,13,6,655000,671667,-1.1321,118.5520,TMK-wide aggregate across all building-value buckets
collective,,2003,ALL,,18,11,595000,656909,-9.1603,107.6923,TMK-wide aggregate across all building-value buckets
collective,,2004,ALL,,20,14,775000,1600234,30.2521,140.2715,TMK-wide aggregate across all building-value buckets
collective,,2005,ALL,,17,11,920000,979229,18.7097,166.5158,TMK-wide aggregate across all building-value buckets
collective,,2006,ALL,,14,8,937500,1108625,1.9022,169.6833,TMK-wide aggregate across all building-value buckets
collective,,2007,ALL,,15,8,1050000,1026875,12.0000,190.0452,TMK-wide aggregate across all building-value buckets
collective,,2008,ALL,,11,7,815000,797248,-22.3810,147.5113,TMK-wide aggregate across all building-value buckets
collective,,2009,ALL,,11,7,815000,991286,0.0000,147.5113,TMK-wide aggregate across all building-value buckets
collective,,2010,ALL,,10,6,862982,869408,5.8874,156.1959,TMK-wide aggregate across all building-value buckets
collective,,2011,ALL,,7,6,602500,595333,-30.1840,109.0498,TMK-wide aggregate across all building-value buckets
collective,,2012,ALL,,11,6,755000,718250,25.3112,136.6516,TMK-wide aggregate across all building-value buckets
collective,,2013,ALL,,17,12,797000,885448,5.5629,144.2534,TMK-wide aggregate across all building-value buckets
collective,,2014,ALL,,15,10,630000,548700,-20.9536,114.0271,TMK-wide aggregate across all building-value buckets
collective,,2015,ALL,,12,9,860000,870278,36.5079,155.6561,TMK-wide aggregate across all building-value buckets
collective,,2016,ALL,,10,7,990000,1073571,15.1163,179.1855,TMK-wide aggregate across all building-value buckets
collective,,2017,ALL,,14,11,975000,976773,-1.5152,176.4706,TMK-wide aggregate across all building-value buckets
collective,,2018,ALL,,13,6,772500,810000,-20.7692,139.8190,TMK-wide aggregate across all building-value buckets
collective,,2019,ALL,,18,11,975000,968555,26.2136,176.4706,TMK-wide aggregate across all building-value buckets
collective,,2020,ALL,,8,5,820000,859800,-15.8974,148.4163,TMK-wide aggregate across all building-value buckets
collective,,2021,ALL,,17,12,1125000,1132667,37.1951,203.6199,TMK-wide aggregate across all building-value buckets
collective,,2022,ALL,,11,8,1707500,1778125,51.7778,309.0498,TMK-wide aggregate across all building-value buckets
collective,,2023,ALL,,7,4,1875000,1994375,9.8097,339.3665,TMK-wide aggregate across all building-value buckets
collective,,2024,ALL,,9,5,1650000,1661000,-12.0000,298.6425,TMK-wide aggregate across all building-value buckets
collective,,2025,ALL,,6,3,1600000,1783333,-3.0303,289.5928,TMK-wide aggregate across all building-value buckets
collective,,2026,ALL,,4,3,1250000,1425000,-21.8750,226.2443,TMK-wide aggregate across all building-value buckets
tmk,221008083,1992,ALL,,2,2,552500,552500,,100.0000,TMK-wide aggregate across all building-value buckets
tmk,221008083,1993,ALL,,6,6,435000,417567,-21.2670,78.7330,TMK-wide aggregate across all building-value buckets
tmk,221008083,1994,ALL,,21,20,346500,382450,-20.3448,62.7149,TMK-wide aggregate across all building-value buckets
tmk,221008083,1995,ALL,,9,6,297500,384500,-14.1414,53.8462,TMK-wide aggregate across all building-value buckets
tmk,221008083,1996,ALL,,26,24,302950,306794,1.8319,54.8326,TMK-wide aggregate across all building-value buckets
tmk,221008083,1997,ALL,,80,78,288925,292856,-4.6295,52.2941,TMK-wide aggregate across all building-value buckets
tmk,221008083,1998,ALL,,15,10,381000,381680,31.8681,68.9593,TMK-wide aggregate across all building-value buckets
tmk,221008083,1999,ALL,,23,18,373750,376356,-1.9029,67.6471,TMK-wide aggregate across all building-value buckets
tmk,221008083,2000,ALL,,23,18,550000,544241,47.1572,99.5475,TMK-wide aggregate across all building-value buckets
tmk,221008083,2001,ALL,,15,12,662500,634583,20.4545,119.9095,TMK-wide aggregate across all building-value buckets
tmk,221008083,2002,ALL,,13,6,655000,671667,-1.1321,118.5520,TMK-wide aggregate across all building-value buckets
tmk,221008083,2003,ALL,,18,11,595000,656909,-9.1603,107.6923,TMK-wide aggregate across all building-value buckets
tmk,221008083,2004,ALL,,20,14,775000,1600234,30.2521,140.2715,TMK-wide aggregate across all building-value buckets
tmk,221008083,2005,ALL,,17,11,920000,979229,18.7097,166.5158,TMK-wide aggregate across all building-value buckets
tmk,221008083,2006,ALL,,14,8,937500,1108625,1.9022,169.6833,TMK-wide aggregate across all building-value buckets
tmk,221008083,2007,ALL,,15,8,1050000,1026875,12.0000,190.0452,TMK-wide aggregate across all building-value buckets
tmk,221008083,2008,ALL,,11,7,815000,797248,-22.3810,147.5113,TMK-wide aggregate across all building-value buckets
tmk,221008083,2009,ALL,,11,7,815000,991286,0.0000,147.5113,TMK-wide aggregate across all building-value buckets
tmk,221008083,2010,ALL,,10,6,862982,869408,5.8874,156.1959,TMK-wide aggregate across all building-value buckets
tmk,221008083,2011,ALL,,7,6,602500,595333,-30.1840,109.0498,TMK-wide aggregate across all building-value buckets
tmk,221008083,2012,ALL,,11,6,755000,718250,25.3112,136.6516,TMK-wide aggregate across all building-value buckets
tmk,221008083,2013,ALL,,17,12,797000,885448,5.5629,144.2534,TMK-wide aggregate across all building-value buckets
tmk,221008083,2014,ALL,,15,10,630000,548700,-20.9536,114.0271,TMK-wide aggregate across all building-value buckets
tmk,221008083,2015,ALL,,12,9,860000,870278,36.5079,155.6561,TMK-wide aggregate across all building-value buckets
tmk,221008083,2016,ALL,,10,7,990000,1073571,15.1163,179.1855,TMK-wide aggregate across all building-value buckets
tmk,221008083,2017,ALL,,14,11,975000,976773,-1.5152,176.4706,TMK-wide aggregate across all building-value buckets
tmk,221008083,2018,ALL,,13,6,772500,810000,-20.7692,139.8190,TMK-wide aggregate across all building-value buckets
tmk,221008083,2019,ALL,,18,11,975000,968555,26.2136,176.4706,TMK-wide aggregate across all building-value buckets
tmk,221008083,2020,ALL,,8,5,820000,859800,-15.8974,148.4163,TMK-wide aggregate across all building-value buckets
tmk,221008083,2021,ALL,,17,12,1125000,1132667,37.1951,203.6199,TMK-wide aggregate across all building-value buckets
tmk,221008083,2022,ALL,,11,8,1707500,1778125,51.7778,309.0498,TMK-wide aggregate across all building-value buckets
tmk,221008083,2023,ALL,,7,4,1875000,1994375,9.8097,339.3665,TMK-wide aggregate across all building-value buckets
tmk,221008083,2024,ALL,,9,5,1650000,1661000,-12.0000,298.6425,TMK-wide aggregate across all building-value buckets
tmk,221008083,2025,ALL,,6,3,1600000,1783333,-3.0303,289.5928,TMK-wide aggregate across all building-value buckets
tmk,221008083,2026,ALL,,4,3,1250000,1425000,-21.8750,226.2443,TMK-wide aggregate across all building-value buckets
